Entrezgene	gene_name	expression
7105	TSPAN6	6288
64102	TNMD	52
8813	DPM1	2236
57147	SCYL3	474
55732	C1orf112	961
2268	FGR	36
3075	CFH	429
2519	FUCA2	3181
2729	GCLC	1245
4800	NFYA	1650
90529	STPG1	419
57185	NIPAL3	446
81887	LAS1L	2529
22875	ENPP4	740
6405	SEMA3F	4739
1080	CFTR	11
54467	ANKIB1	2660
1595	CYP51A1	10
889	KRIT1	586
5893	RAD52	478
572	BAD	502
51056	LAP3	3195
4267	CD99	5413
9957	HS3ST1	111
26	AOC1	1
51384	WNT16	7
23072	HECW1	5
8379	MAD1L1	6
3927	LASP1	1782
29916	SNX11	827
55365	TMEM176A	432
4074	M6PR	550
90293	KLHL13	739
56603	CYP26B1	317
3382	ICA1	312
79007	DBNDD1	1753
57679	ALS2	1487
843	CASP10	219
8837	CFLAR	1372
7035	TFPI	601
55471	NDUFAF7	542
10181	RBM5	4137
9108	MTMR7	324
6542	SLC7A2	1693
381	ARF5	2838
23098	SARM1	81
26073	POLDIP2	3092
23129	PLXND1	1640
204	AK2	5213
952	CD38	159
2288	FKBP4	2486
23028	KDM1A	7078
10180	RBM6	2303
84254	CAMKK1	581
5965	RECQL	177
55610	VPS50	845
126393	HSPB6	27
115703	ARHGAP33	704
4706	NDUFAB1	6470
5166	PDK4	2350
85413	SLC22A16	33
51364	ZMYND10	46
170302	ARX	19
10165	SLC25A13	1361
7982	ST7	1163
996	CDC27	3196
6521	SLC4A1	7
799	CALCR	3
3052	HCCS	1019
1856	DVL2	3282
5976	UPF1	2130
8935	SKAP2	1988
292	SLC25A5	6514
55013	MCUB	755
3207	HOXA11	2085
5439	POLR2J	2813
56919	DHX33	2047
4222	MEOX1	795
221981	THSD7A	516
3980	LIG3	1746
79657	RPAP3	2014
6296	ACSM3	151
81691	REXO5	271
57019	CIAPIN1	3303
56928	SPPL2B	1547
80256	FAM214B	395
51226	COPZ2	68
5577	PRKAR2B	791
10943	MSL3	2728
1387	CREBBP	5681
9256	TSPOAP1	1222
4353	MPO	12
5444	PON1	9
6936	GCFC2	1411
84058	WDR54	2734
54677	CROT	855
5244	ABCB4	149
55904	KMT2E	5231
57414	RHBDD2	2893
30812	SOX8	16
25998	IBTK	2353
7748	ZNF195	2420
23077	MYCBP2	1104
26224	FBXL3	3959
3683	ITGAL	41
5164	PDK2	660
3675	ITGA3	1498
7543	ZFX	1437
3920	LAMP2	4061
3674	ITGA2B	65
51666	ASB4	3
51573	GDE1	1129
55049	REX1BD	1678
9244	CRLF1	37
114881	OSBPL7	307
26022	TMEM98	6192
51087	YBX2	875
9020	MAP3K14	188
6833	ABCC8	247
54972	TMEM132A	3328
163	AP2B1	4997
6863	TAC1	441
10127	ZNF263	1018
6376	CX3CL1	145
64847	SPATA20	682
8913	CACNA1G	48
51330	TNFRSF12A	222
1750	DLX6	22
4293	MAP3K9	244
5898	RALA	3293
55971	BAIAP2L1	846
80853	KDM7A	1284
2115	ETV1	4017
55750	AGK	1415
221	ALDH3B1	36
57157	PHTF2	2392
10344	CCL26	8
9855	FARP2	1060
10083	USH1C	88
79017	GGCT	746
10926	DBF4	1291
6915	TBXA2R	144
3475	IFRD1	1259
56891	LGALS14	2
1352	COX10	874
9569	GTF2IRD1	5340
54623	PAF1	1807
27072	VPS41	3306
9912	ARHGAP44	194
60528	ELAC2	2699
85477	SCIN	45
414	ARSD	1132
8228	PNPLA4	731
8735	MYH13	29
79602	ADIPOR2	2773
51265	CDKL3	163
151531	UPP2	64
10942	PRSS21	120
57787	MARK4	2082
8842	PROM1	216
115098	CCDC124	2312
90273	CEACAM21	17
5048	PAFAH1B1	3764
4843	NOS2	83
1770	DNAH9	62
9703	KIAA0100	2358
8522	GAS7	514
79090	TRAPPC6A	545
4145	MATK	9
1087	CEACAM7	1
974	CD79B	61
6329	SCN4A	30
54879	ST7L	735
8277	TKTL1	12
5080	PAX6	4
113000	RPUSD1	510
64285	RHBDF1	299
55692	LUC7L	3190
9254	CACNA2D2	432
8938	BAIAP3	49
115939	TSR3	739
9091	PIGQ	1287
57585	CRAMP1	2473
7005	TEAD3	2330
6401	SELE	2
55735	DNAJC11	330
2328	FMO3	19
29116	MYLIP	2350
27035	NOX1	150
1870	E2F2	480
5689	PSMB1	13705
6853	SYN1	34
3720	JARID2	3917
6792	CDKL5	211
57172	CAMK1G	117
728642	CDK11A	33
65220	NADK	867
7021	TFAP2B	6
9940	DLEC1	7
9265	CYTH3	1235
53616	ADAM22	472
6856	SYPL1	4806
1534	CYB561	505
9043	SPAG9	3285
1951	CELSR3	171
10157	AASS	965
55200	PLEKHG6	43
51188	SS18L2	1012
84954	MPND	211
4257	MGST1	2718
1407	CRY1	1123
8993	PGLYRP1	4
4784	NFIX	156
6482	ST3GAL1	1185
64386	MMP25	47
9235	IL32	2397
5310	PKD1	500
23542	MAPK8IP2	22
9862	MED24	3261
23221	RHOBTB2	225
54497	HEATR5B	715
7095	SEC62	6807
6224	RPS20	77201
7812	CSDE1	16210
9690	UBE3C	2334
5980	REV3L	2690
10178	TENM1	144
5081	PAX7	44
10747	MASP2	9
389434	IYD	1
199870	FAM76A	1061
80342	TRAF3IP3	15
29954	POMT2	969
51534	VTA1	4243
51085	MLXIPL	281
9031	BAZ1B	5240
10048	RANBP9	2074
51513	ETV7	18
83932	SPRTN	1113
51603	EEF1AKNMT	1846
8798	DYRK4	1166
7756	ZNF207	8475
7384	UQCRC1	7400
83930	STARD3NL	4648
928	CD9	3385
57467	HHATL	11
9918	NCAPD2	4061
25900	IFFO1	523
2696	GIPR	17
51533	PHF7	79
56920	SEMA3G	237
11188	NISCH	4398
23166	STAB1	790
80199	FUZ	213
6540	SLC6A13	22
3423	IDS	91
