Entrezgene	gene_name	expression
7105	TSPAN6	9103
64102	TNMD	3
8813	DPM1	2379
57147	SCYL3	1075
55732	C1orf112	1569
2268	FGR	65
3075	CFH	654
2519	FUCA2	2639
2729	GCLC	1263
4800	NFYA	2361
90529	STPG1	1052
57185	NIPAL3	1017
81887	LAS1L	2755
22875	ENPP4	1809
6405	SEMA3F	8317
1080	CFTR	74
54467	ANKIB1	4212
1595	CYP51A1	126
889	KRIT1	744
5893	RAD52	1498
572	BAD	375
51056	LAP3	1835
4267	CD99	4177
9957	HS3ST1	130
26	AOC1	15
51384	WNT16	2
23072	HECW1	19
8379	MAD1L1	15
3927	LASP1	7731
29916	SNX11	814
55365	TMEM176A	930
4074	M6PR	1719
90293	KLHL13	2428
56603	CYP26B1	485
3382	ICA1	70
79007	DBNDD1	1583
57679	ALS2	2068
843	CASP10	254
8837	CFLAR	3124
7035	TFPI	1422
55471	NDUFAF7	913
10181	RBM5	5772
9108	MTMR7	313
6542	SLC7A2	1566
381	ARF5	6546
23098	SARM1	449
26073	POLDIP2	3923
23129	PLXND1	3610
204	AK2	6723
952	CD38	145
2288	FKBP4	6268
23028	KDM1A	13639
10180	RBM6	4854
84254	CAMKK1	162
5965	RECQL	818
55610	VPS50	1456
126393	HSPB6	109
115703	ARHGAP33	4905
4706	NDUFAB1	3369
5166	PDK4	6581
85413	SLC22A16	128
51364	ZMYND10	94
340273	ABCB5	2
10165	SLC25A13	3292
7982	ST7	2636
996	CDC27	4324
6521	SLC4A1	24
799	CALCR	10
3052	HCCS	865
1856	DVL2	5057
64063	PRSS22	4
5976	UPF1	5923
8935	SKAP2	564
292	SLC25A5	7132
55013	MCUB	678
3207	HOXA11	5302
5439	POLR2J	2884
56919	DHX33	2399
4222	MEOX1	4071
221981	THSD7A	367
3980	LIG3	4043
79657	RPAP3	3999
6296	ACSM3	3590
81691	REXO5	468
57019	CIAPIN1	2440
56928	SPPL2B	3365
80256	FAM214B	605
51226	COPZ2	116
5577	PRKAR2B	1472
10943	MSL3	2616
1387	CREBBP	22044
9256	TSPOAP1	4398
4353	MPO	42
5444	PON1	126
6936	GCFC2	2353
84058	WDR54	2408
54677	CROT	867
5244	ABCB4	455
55904	KMT2E	20501
57414	RHBDD2	8660
30812	SOX8	504
25998	IBTK	2857
7748	ZNF195	2587
23077	MYCBP2	1571
26224	FBXL3	3432
3683	ITGAL	113
5164	PDK2	2618
3675	ITGA3	3559
7543	ZFX	4686
3920	LAMP2	7060
3674	ITGA2B	162
51666	ASB4	15
51573	GDE1	4309
55049	REX1BD	982
9244	CRLF1	20
114881	OSBPL7	760
26022	TMEM98	7835
51087	YBX2	1027
3883	KRT33A	1
9020	MAP3K14	660
6833	ABCC8	496
54972	TMEM132A	6887
163	AP2B1	17472
10127	ZNF263	1958
6376	CX3CL1	965
64847	SPATA20	1922
8913	CACNA1G	1517
51330	TNFRSF12A	1007
1750	DLX6	13
4293	MAP3K9	922
5898	RALA	5131
55971	BAIAP2L1	4392
80853	KDM7A	2368
2115	ETV1	7308
55750	AGK	2828
221	ALDH3B1	54
55001	TTC22	4
57157	PHTF2	4982
10344	CCL26	3
