Entrezgene	gene_name	expression
7105	TSPAN6	2726
64102	TNMD	13846
8813	DPM1	2845
57147	SCYL3	727
55732	C1orf112	524
2268	FGR	122
3075	CFH	3426
2519	FUCA2	2161
2729	GCLC	1122
4800	NFYA	3801
90529	STPG1	230
57185	NIPAL3	422
81887	LAS1L	923
22875	ENPP4	4447
6405	SEMA3F	2214
1080	CFTR	29
54467	ANKIB1	3163
1595	CYP51A1	65
889	KRIT1	716
5893	RAD52	459
572	BAD	360
51056	LAP3	3804
4267	CD99	19601
9957	HS3ST1	598
26	AOC1	9
51384	WNT16	63
23072	HECW1	26
8379	MAD1L1	16
3927	LASP1	3556
29916	SNX11	603
55365	TMEM176A	1340
4074	M6PR	1116
90293	KLHL13	2987
56603	CYP26B1	506
3382	ICA1	161
79007	DBNDD1	1051
57679	ALS2	1611
843	CASP10	271
8837	CFLAR	2487
7035	TFPI	2101
55471	NDUFAF7	652
10181	RBM5	1764
9108	MTMR7	247
6542	SLC7A2	3784
381	ARF5	7837
23098	SARM1	174
26073	POLDIP2	6282
23129	PLXND1	3210
204	AK2	5084
952	CD38	108
2288	FKBP4	3714
23028	KDM1A	6421
10180	RBM6	1160
84254	CAMKK1	317
5965	RECQL	488
55610	VPS50	2490
126393	HSPB6	10423
115703	ARHGAP33	564
4706	NDUFAB1	12374
5166	PDK4	6444
85413	SLC22A16	65
51364	ZMYND10	37
340273	ABCB5	43
170302	ARX	735
10165	SLC25A13	1420
7982	ST7	4267
996	CDC27	4487
6521	SLC4A1	10
799	CALCR	167
3052	HCCS	1164
1856	DVL2	3588
64063	PRSS22	5
5976	UPF1	4413
8935	SKAP2	1517
292	SLC25A5	7585
55013	MCUB	573
3207	HOXA11	1333
5439	POLR2J	8175
56919	DHX33	1614
4222	MEOX1	625
221981	THSD7A	2441
3980	LIG3	1778
79657	RPAP3	2036
6296	ACSM3	237
81691	REXO5	305
57019	CIAPIN1	3038
56928	SPPL2B	1468
80256	FAM214B	591
51226	COPZ2	1542
5577	PRKAR2B	409
10943	MSL3	1594
1387	CREBBP	11763
9256	TSPOAP1	171
4353	MPO	102
5444	PON1	19
6936	GCFC2	2087
84058	WDR54	637
54677	CROT	1252
5244	ABCB4	71
55904	KMT2E	13391
57414	RHBDD2	4523
30812	SOX8	1973
25998	IBTK	5032
7748	ZNF195	929
23077	MYCBP2	2284
26224	FBXL3	4248
3683	ITGAL	148
5164	PDK2	5360
3675	ITGA3	881
7543	ZFX	2925
3920	LAMP2	12526
3674	ITGA2B	73
51666	ASB4	14588
51573	GDE1	2176
55049	REX1BD	2407
9244	CRLF1	155
114881	OSBPL7	414
26022	TMEM98	6023
51087	YBX2	80
9020	MAP3K14	759
6833	ABCC8	49
54972	TMEM132A	5636
163	AP2B1	13108
6863	TAC1	13
10127	ZNF263	1419
6376	CX3CL1	720
64847	SPATA20	1110
8913	CACNA1G	2435
51330	TNFRSF12A	692
1750	DLX6	89
4293	MAP3K9	33
5898	RALA	3992
55971	BAIAP2L1	325
80853	KDM7A	3957
2115	ETV1	6676
55750	AGK	2516
221	ALDH3B1	1575
57157	PHTF2	4110
10344	CCL26	23
9855	FARP2	2354
10083	USH1C	9
79017	GGCT	1278
10926	DBF4	1470
6915	TBXA2R	135
3475	IFRD1	2030
1352	COX10	2464
9569	GTF2IRD1	10002
54623	PAF1	2464
27072	VPS41	5036
9912	ARHGAP44	187
60528	ELAC2	2894
85477	SCIN	113
414	ARSD	909
8228	PNPLA4	1515
8735	MYH13	45
79602	ADIPOR2	2574
51265	CDKL3	141
151531	UPP2	16
10942	PRSS21	3
57787	MARK4	5689
8842	PROM1	2802
115098	CCDC124	3030
90273	CEACAM21	33
5048	PAFAH1B1	6661
4843	NOS2	57
1770	DNAH9	67
9703	KIAA0100	3278
8522	GAS7	857
79090	TRAPPC6A	1361
4145	MATK	96
974	CD79B	32
6329	SCN4A	3142
54879	ST7L	452
8277	TKTL1	21
5080	PAX6	22
113000	RPUSD1	777
64285	RHBDF1	3765
55692	LUC7L	991
9254	CACNA2D2	644
8938	BAIAP3	280
115939	TSR3	1842
9091	PIGQ	949
57585	CRAMP1	1135
7005	TEAD3	3984
6401	SELE	3
55735	DNAJC11	472
2328	FMO3	112
29116	MYLIP	6220
27035	NOX1	35
1870	E2F2	265
5689	PSMB1	11317
6853	SYN1	59
3720	JARID2	2777
6792	CDKL5	316
57172	CAMK1G	101
728642	CDK11A	12
65220	NADK	1102
7021	TFAP2B	2
83741	TFAP2D	6
9940	DLEC1	18
9265	CYTH3	4154
53616	ADAM22	3902
6856	SYPL1	13745
1534	CYB561	285
9043	SPAG9	6876
1951	CELSR3	62
10157	AASS	1411
55200	PLEKHG6	10
51188	SS18L2	721
84954	MPND	293
4257	MGST1	1559
1407	CRY1	1093
4784	NFIX	27946
6482	ST3GAL1	1440
64386	MMP25	81
9235	IL32	6147
5310	PKD1	3014
23542	MAPK8IP2	38
9862	MED24	4181
23221	RHOBTB2	3421
54497	HEATR5B	1850
7095	SEC62	11017
6224	RPS20	467361
7812	CSDE1	29782
9690	UBE3C	5585
5980	REV3L	5885
10178	TENM1	548
5081	PAX7	1921
10747	MASP2	40
389434	IYD	2
199870	FAM76A	639
80342	TRAF3IP3	31
29954	POMT2	916
51534	VTA1	5680
51085	MLXIPL	485
9031	BAZ1B	12125
10048	RANBP9	3485
51513	ETV7	22
83932	SPRTN	603
51603	EEF1AKNMT	1851
8798	DYRK4	1268
7756	ZNF207	8431
7384	UQCRC1	9885
83930	STARD3NL	3825
928	CD9	5525
57467	HHATL	1497
9918	NCAPD2	5032
25900	IFFO1	929
2696	GIPR	10
51533	PHF7	237
56920	SEMA3G	434
11188	NISCH	3783
23166	STAB1	1720
80199	FUZ	444
6540	SLC6A13	968
3423	IDS	492
5646	PRSS3	76
7752	ZNF200	488
920	CD4	2490
10233	LRRC23	673
695	BTK	131
3077	HFE	182
22955	SCMH1	1799
2534	FYN	9207
3097	HIVEP2	3267
2326	FMO1	3466
6924	ELOA	3130
11313	LYPLA2	2603
1185	CLCN6	1515
9902	MRC2	10127
6534	SLC6A7	17
10867	TSPAN9	6616
55727	BTBD7	1885
9546	APBA3	1219
54903	MKS1	690
51099	ABHD5	511
3730	ANOS1	1065
26993	AKAP8L	1565
54799	MBTD1	3795
51096	UTP18	2402
54476	RNF216	3587
54902	TTC19	2260
5725	PTBP1	13564
8193	DPF1	67
9066	SYT7	917
23395	LARS2	758
5286	PIK3C2A	1973
5329	PLAUR	945
54443	ANLN	2083
58525	WIZ	7451
23637	RABGAP1	2242
1634	DCN	98376
54814	QPCTL	127
5536	PPP5C	3026
23177	CEP68	2788
8491	MAP4K3	2661
27033	ZBTB32	12
7305	TYROBP	5149
57146	TMEM159	1238
2556	GABRA3	17
672	BRCA1	682
2067	ERCC1	5182
933	CD22	53
7869	SEMA3B	697
51360	MBTPS2	2488
4007	PRICKLE3	354
4057	LTF	13
2137	EXTL3	7166
9971	NR1H4	3
60481	ELOVL5	6520
240	ALOX5	171
8284	KDM5D	4
57658	CALCOCO1	3127
55148	UBR7	2798
11183	MAP4K5	2076
30845	EHD3	497
5704	PSMC4	3917
23324	MAN2B2	1120
57709	SLC7A14	5
5010	CLDN11	18
51629	SLC25A39	5654
9961	MVP	343
51667	NUB1	5081
5238	PGM3	3828
112611	RWDD2A	669
1195	CLK1	5223
55703	POLR3B	576
23357	ANGEL1	930
9604	RNF14	3242
1774	DNASE1L1	120
1663	DDX11	1055
50865	HEBP1	2003
9052	GPRC5A	174
10046	MAMLD1	1302
923	CD6	75
10460	TACC3	1330
23376	UFL1	5894
23649	POLA2	557
23144	ZC3H3	9513
823	CAPN1	6052
55	ACP3	5
4190	MDH1	17379
10463	SLC30A9	5106
10903	MTMR11	1004
1355	COX15	1681
440193	CCDC88C	504
10138	YAF2	1778
10771	ZMYND11	7126
7454	WAS	452
1800	DPEP1	55
637	BID	1611
9782	MATR3	203
29881	NPC1L1	14
64132	XYLT2	1493
84220	RGPD5	8
81551	STMN4	7
23386	NUDCD3	6066
3670	ISL1	194
55349	CHDH	182
53832	IL20RA	1534
55830	GLT8D1	2862
27032	ATP2C1	4582
3479	IGF1	219
92745	SLC38A5	696
10928	RALBP1	4858
22902	RUFY3	2055
1272	CNTN1	173
6556	SLC11A1	98
25937	WWTR1	9659
8540	AGPS	2316
63932	CXorf56	623
477	ATP1A2	12047
55622	TTC27	733
147948	ZNF582	112
23584	VSIG2	14
23187	PHLDB1	3661
8685	MARCO	102
1591	CYP24A1	19
56981	PRDM11	1267
57586	SYT13	271
6591	SNAI2	4366
972	CD74	97175
3082	HGF	3017
54764	ZRANB1	1211
23154	NCDN	1307
25960	ADGRA2	6026
55734	ZFP64	1814
4331	MNAT1	717
23034	SAMD4A	3751
864	RUNX3	174
4361	MRE11	1271
58473	PLEKHB1	165
1992	SERPINB1	1693
64816	CYP3A43	2
11136	SLC7A9	11
6683	SPAST	2588
9369	NRXN3	131
114879	OSBPL5	802
9716	AQR	3346
1373	CPS1	114
2273	FHL1	11041
51507	RTF2	4508
55655	NLRP2	47
57210	SLC45A4	923
9921	RNF10	9102
55778	ZNF839	140
64429	ZDHHC6	1523
57476	GRAMD1B	1664
6050	RNH1	4539
4719	NDUFS1	7371
9821	RB1CC1	7545
23071	ERP44	3163
211	ALAS1	2225
330	BIRC3	105
