Entrezgene	gene_name	expression
7105	TSPAN6	3863
64102	TNMD	17
8813	DPM1	2772
57147	SCYL3	759
55732	C1orf112	199
2268	FGR	165
3075	CFH	220
2519	FUCA2	2887
2729	GCLC	1769
4800	NFYA	1325
90529	STPG1	866
57185	NIPAL3	2695
81887	LAS1L	4523
22875	ENPP4	2261
6405	SEMA3F	24930
1080	CFTR	52
54467	ANKIB1	4936
1595	CYP51A1	4
889	KRIT1	1437
5893	RAD52	1358
572	BAD	806
51056	LAP3	1019
4267	CD99	12754
9957	HS3ST1	617
26	AOC1	3
51384	WNT16	65
23072	HECW1	9
8379	MAD1L1	12
3927	LASP1	7044
29916	SNX11	4437
55365	TMEM176A	290
4074	M6PR	596
90293	KLHL13	3040
56603	CYP26B1	431
3382	ICA1	606
79007	DBNDD1	249
57679	ALS2	1900
843	CASP10	277
8837	CFLAR	6629
7035	TFPI	353
55471	NDUFAF7	1431
10181	RBM5	7144
9108	MTMR7	248
6542	SLC7A2	869
381	ARF5	4054
23098	SARM1	428
26073	POLDIP2	7781
23129	PLXND1	5690
204	AK2	8828
952	CD38	32
2288	FKBP4	3875
23028	KDM1A	7882
10180	RBM6	4548
84254	CAMKK1	480
5965	RECQL	88
55610	VPS50	2100
126393	HSPB6	1298
115703	ARHGAP33	5241
4706	NDUFAB1	2157
5166	PDK4	4294
85413	SLC22A16	6
51364	ZMYND10	120
170302	ARX	2
10165	SLC25A13	1364
7982	ST7	2783
996	CDC27	2895
6521	SLC4A1	25
799	CALCR	62
3052	HCCS	1463
1856	DVL2	2085
64063	PRSS22	36
5976	UPF1	7105
8935	SKAP2	625
292	SLC25A5	5576
55013	MCUB	293
3207	HOXA11	37
5439	POLR2J	7861
56919	DHX33	1509
4222	MEOX1	2739
221981	THSD7A	391
3980	LIG3	2521
79657	RPAP3	1811
6296	ACSM3	3931
81691	REXO5	349
57019	CIAPIN1	1202
56928	SPPL2B	4311
80256	FAM214B	754
51226	COPZ2	1554
5577	PRKAR2B	2037
10943	MSL3	2187
1387	CREBBP	14975
9256	TSPOAP1	2766
4353	MPO	47
5444	PON1	2625
6936	GCFC2	2445
84058	WDR54	2439
54677	CROT	1480
5244	ABCB4	3008
55904	KMT2E	19029
57414	RHBDD2	12983
30812	SOX8	388
25998	IBTK	4816
7748	ZNF195	1813
23077	MYCBP2	2251
26224	FBXL3	6297
3683	ITGAL	329
5164	PDK2	872
3675	ITGA3	11099
7543	ZFX	3681
3920	LAMP2	12506
3674	ITGA2B	161
51666	ASB4	31
51573	GDE1	1909
55049	REX1BD	1719
9244	CRLF1	448
114881	OSBPL7	972
26022	TMEM98	5410
51087	YBX2	418
3883	KRT33A	2
9020	MAP3K14	891
6833	ABCC8	13
54972	TMEM132A	8659
163	AP2B1	4374
6863	TAC1	4
10127	ZNF263	2367
6376	CX3CL1	2293
64847	SPATA20	6931
8913	CACNA1G	1800
51330	TNFRSF12A	1673
1750	DLX6	19
4293	MAP3K9	760
5898	RALA	3733
55971	BAIAP2L1	1168
80853	KDM7A	1789
2115	ETV1	1442
55750	AGK	4367
221	ALDH3B1	259
55001	TTC22	9
57157	PHTF2	3355
10344	CCL26	5
9855	FARP2	1479
10083	USH1C	75
79017	GGCT	1334
10926	DBF4	2242
6915	TBXA2R	108
3475	IFRD1	2706
1352	COX10	723
9569	GTF2IRD1	4009
54623	PAF1	12267
27072	VPS41	5049
9912	ARHGAP44	119
60528	ELAC2	1698
85477	SCIN	130
414	ARSD	3247
8228	PNPLA4	2352
79602	ADIPOR2	4428
51265	CDKL3	165
151531	UPP2	96
10942	PRSS21	1
57787	MARK4	1884
8842	PROM1	22
115098	CCDC124	4883
90273	CEACAM21	15
5048	PAFAH1B1	7746
4843	NOS2	18
1770	DNAH9	322
9703	KIAA0100	3183
9058	SLC13A2	1
8522	GAS7	1444
79090	TRAPPC6A	1753
4145	MATK	70
974	CD79B	13
6329	SCN4A	16
54879	ST7L	1105
8277	TKTL1	14
5080	PAX6	6
113000	RPUSD1	2145
64285	RHBDF1	2029
55692	LUC7L	5757
9254	CACNA2D2	8766
8938	BAIAP3	1400
115939	TSR3	1103
9091	PIGQ	2405
57585	CRAMP1	1295
7005	TEAD3	1850
6401	SELE	3
55735	DNAJC11	1002
2328	FMO3	13
29116	MYLIP	4428
27035	NOX1	617
1870	E2F2	1054
5689	PSMB1	16145
6853	SYN1	4876
3720	JARID2	10560
6792	CDKL5	478
57172	CAMK1G	567
728642	CDK11A	179
65220	NADK	943
7021	TFAP2B	5
83741	TFAP2D	3
9940	DLEC1	52
9265	CYTH3	2740
53616	ADAM22	3696
6856	SYPL1	10259
1534	CYB561	1768
9043	SPAG9	4779
1951	CELSR3	165
10157	AASS	2777
55200	PLEKHG6	95
51188	SS18L2	1683
84954	MPND	380
4257	MGST1	582
1407	CRY1	1821
8993	PGLYRP1	2
4784	NFIX	19235
6482	ST3GAL1	1959
64386	MMP25	48
9235	IL32	895
5310	PKD1	1861
23542	MAPK8IP2	234
9862	MED24	7214
23221	RHOBTB2	729
54497	HEATR5B	1681
7095	SEC62	26535
6224	RPS20	279356
7812	CSDE1	37931
9690	UBE3C	2924
5980	REV3L	3165
5081	PAX7	8
10747	MASP2	160
389434	IYD	5
199870	FAM76A	2033
80342	TRAF3IP3	55
29954	POMT2	2162
51534	VTA1	4493
51085	MLXIPL	4518
9031	BAZ1B	12581
10048	RANBP9	1400
51513	ETV7	34
83932	SPRTN	1054
51603	EEF1AKNMT	1377
8798	DYRK4	2645
7756	ZNF207	10954
7384	UQCRC1	9785
83930	STARD3NL	3230
928	CD9	8379
57467	HHATL	183
9918	NCAPD2	5875
25900	IFFO1	1628
2696	GIPR	11
51533	PHF7	260
56920	SEMA3G	46
11188	NISCH	5472
23166	STAB1	1002
80199	FUZ	403
6540	SLC6A13	328
3423	IDS	84
5646	PRSS3	96
7752	ZNF200	1456
920	CD4	3679
10233	LRRC23	2742
695	BTK	56
3077	HFE	465
22955	SCMH1	2969
2534	FYN	34932
3097	HIVEP2	2481
2326	FMO1	94
6924	ELOA	5466
11313	LYPLA2	2050
1185	CLCN6	2157
