Entrezgene	gene_name	expression
7105	TSPAN6	8901
64102	TNMD	5189
8813	DPM1	3637
57147	SCYL3	932
55732	C1orf112	773
2268	FGR	221
3075	CFH	1963
2519	FUCA2	4342
2729	GCLC	1392
4800	NFYA	3483
90529	STPG1	1367
57185	NIPAL3	1834
81887	LAS1L	4556
22875	ENPP4	1136
6405	SEMA3F	18166
1080	CFTR	7
54467	ANKIB1	6080
1595	CYP51A1	35
889	KRIT1	1437
5893	RAD52	960
572	BAD	809
51056	LAP3	2898
4267	CD99	25675
9957	HS3ST1	515
26	AOC1	18
51384	WNT16	13513
23072	HECW1	118
8379	MAD1L1	13
3927	LASP1	12695
29916	SNX11	1447
55365	TMEM176A	5917
4074	M6PR	1094
90293	KLHL13	883
56603	CYP26B1	2307
3382	ICA1	483
79007	DBNDD1	1121
57679	ALS2	2529
843	CASP10	983
8837	CFLAR	5293
7035	TFPI	954
55471	NDUFAF7	1728
10181	RBM5	5208
9108	MTMR7	325
6542	SLC7A2	1006
381	ARF5	7288
23098	SARM1	812
26073	POLDIP2	7391
23129	PLXND1	12818
204	AK2	6461
952	CD38	151
2288	FKBP4	4575
23028	KDM1A	9233
10180	RBM6	4739
84254	CAMKK1	272
5965	RECQL	717
55610	VPS50	2608
126393	HSPB6	4854
115703	ARHGAP33	2332
4706	NDUFAB1	4482
5166	PDK4	5052
85413	SLC22A16	135
51364	ZMYND10	53
340273	ABCB5	6
170302	ARX	129
10165	SLC25A13	2619
7982	ST7	3651
996	CDC27	5837
6521	SLC4A1	18
799	CALCR	109
3052	HCCS	1364
1856	DVL2	6264
64063	PRSS22	4
5976	UPF1	9704
8935	SKAP2	1797
292	SLC25A5	12104
55013	MCUB	1194
3207	HOXA11	12974
5439	POLR2J	6271
56919	DHX33	2898
4222	MEOX1	7980
221981	THSD7A	771
3980	LIG3	3686
79657	RPAP3	2931
6296	ACSM3	1604
81691	REXO5	347
57019	CIAPIN1	2703
56928	SPPL2B	6251
80256	FAM214B	661
