Entrezgene	gene_name	expression
7105	TSPAN6	9883
64102	TNMD	767
8813	DPM1	3742
57147	SCYL3	700
55732	C1orf112	542
2268	FGR	75
3075	CFH	11014
2519	FUCA2	2827
2729	GCLC	1222
4800	NFYA	1911
90529	STPG1	272
57185	NIPAL3	580
81887	LAS1L	1514
22875	ENPP4	1421
6405	SEMA3F	4259
1080	CFTR	7
54467	ANKIB1	4174
1595	CYP51A1	25
889	KRIT1	982
5893	RAD52	689
572	BAD	839
51056	LAP3	2745
4267	CD99	14414
9957	HS3ST1	802
26	AOC1	133
51384	WNT16	891
23072	HECW1	14
8379	MAD1L1	5
3927	LASP1	2154
29916	SNX11	1063
55365	TMEM176A	1406
4074	M6PR	468
90293	KLHL13	2618
56603	CYP26B1	449
3382	ICA1	290
79007	DBNDD1	558
57679	ALS2	1403
843	CASP10	198
8837	CFLAR	1665
7035	TFPI	367
55471	NDUFAF7	910
10181	RBM5	3288
9108	MTMR7	268
6542	SLC7A2	1394
381	ARF5	4251
23098	SARM1	89
26073	POLDIP2	2835
23129	PLXND1	576
204	AK2	5432
952	CD38	103
2288	FKBP4	1061
23028	KDM1A	8492
10180	RBM6	1784
84254	CAMKK1	82
5965	RECQL	114
55610	VPS50	1657
126393	HSPB6	389
115703	ARHGAP33	655
4706	NDUFAB1	8295
5166	PDK4	4691
85413	SLC22A16	74
51364	ZMYND10	48
340273	ABCB5	3
170302	ARX	17
10165	SLC25A13	1036
7982	ST7	1828
996	CDC27	3670
6521	SLC4A1	14
799	CALCR	2
3052	HCCS	1350
1856	DVL2	3136
64063	PRSS22	7
5976	UPF1	1568
8935	SKAP2	1890
292	SLC25A5	9395
55013	MCUB	911
3207	HOXA11	4124
5439	POLR2J	4021
56919	DHX33	1617
4222	MEOX1	6341
221981	THSD7A	4557
3980	LIG3	1131
79657	RPAP3	3138
6296	ACSM3	520
81691	REXO5	282
57019	CIAPIN1	1700
56928	SPPL2B	1269
80256	FAM214B	265
51226	COPZ2	377
5577	PRKAR2B	3771
10943	MSL3	2170
1387	CREBBP	9193
9256	TSPOAP1	462
4353	MPO	13
5444	PON1	30
6936	GCFC2	2687
84058	WDR54	1997
54677	CROT	1239
5244	ABCB4	242
55904	KMT2E	10406
57414	RHBDD2	3622
30812	SOX8	856
25998	IBTK	2327
7748	ZNF195	3091
23077	MYCBP2	1636
26224	FBXL3	7273
3683	ITGAL	87
5164	PDK2	796
3675	ITGA3	716
7543	ZFX	2174
3920	LAMP2	10205
3674	ITGA2B	45
51666	ASB4	22
51573	GDE1	3192
55049	REX1BD	2345
9244	CRLF1	634
114881	OSBPL7	164
26022	TMEM98	11159
51087	YBX2	210
9020	MAP3K14	232
6833	ABCC8	81
54972	TMEM132A	2927
163	AP2B1	4071
6863	TAC1	652
10127	ZNF263	905
6376	CX3CL1	357
64847	SPATA20	1423
8913	CACNA1G	595
51330	TNFRSF12A	1834
1750	DLX6	15
4293	MAP3K9	137
5898	RALA	3768
55971	BAIAP2L1	630
80853	KDM7A	939
2115	ETV1	9350
55750	AGK	1660
221	ALDH3B1	80
55001	TTC22	4
57157	PHTF2	3305
10344	CCL26	17
9855	FARP2	1428
10083	USH1C	215
79017	GGCT	934
10926	DBF4	2509
6915	TBXA2R	59
3475	IFRD1	1424
56891	LGALS14	15
1352	COX10	671
9569	GTF2IRD1	2434
54623	PAF1	1863
27072	VPS41	3417
9912	ARHGAP44	246
60528	ELAC2	1542
85477	SCIN	955
414	ARSD	954
8228	PNPLA4	873
8735	MYH13	5
79602	ADIPOR2	2042
51265	CDKL3	122
151531	UPP2	26
10942	PRSS21	101
57787	MARK4	1293
8842	PROM1	3899
115098	CCDC124	1747
90273	CEACAM21	8
5048	PAFAH1B1	5824
4843	NOS2	16
1770	DNAH9	151
9703	KIAA0100	1200
9058	SLC13A2	12
8522	GAS7	657
79090	TRAPPC6A	1114
4145	MATK	45
974	CD79B	73
6329	SCN4A	39
54879	ST7L	793
8277	TKTL1	19
5080	PAX6	11
113000	RPUSD1	565
64285	RHBDF1	787
55692	LUC7L	1886
9254	CACNA2D2	733
8938	BAIAP3	216
115939	TSR3	581
9091	PIGQ	1014
57585	CRAMP1	768
7005	TEAD3	1164
6401	SELE	1
55735	DNAJC11	250
2328	FMO3	90
29116	MYLIP	5678
27035	NOX1	231
1870	E2F2	348
5689	PSMB1	15311
6853	SYN1	28
3720	JARID2	1404
6792	CDKL5	558
57172	CAMK1G	323
728642	CDK11A	35
65220	NADK	726
7021	TFAP2B	3
9940	DLEC1	13
9265	CYTH3	2029
53616	ADAM22	1178
6856	SYPL1	9573
1534	CYB561	321
9043	SPAG9	5937
1951	CELSR3	51
10157	AASS	720
55200	PLEKHG6	81
51188	SS18L2	1769
84954	MPND	320
4257	MGST1	2704
1407	CRY1	2310
4784	NFIX	4162
6482	ST3GAL1	960
64386	MMP25	14
9235	IL32	1234
5310	PKD1	525
23542	MAPK8IP2	25
9862	MED24	2092
23221	RHOBTB2	153
54497	HEATR5B	932
7095	SEC62	14494
6224	RPS20	301522
7812	CSDE1	22616
9690	UBE3C	2402
5980	REV3L	2877
10178	TENM1	880
5081	PAX7	30
10747	MASP2	16
389434	IYD	10
199870	FAM76A	1052
80342	TRAF3IP3	19
29954	POMT2	793
51534	VTA1	4342
51085	MLXIPL	102
9031	BAZ1B	4882
10048	RANBP9	1919
51513	ETV7	29
83932	SPRTN	1616
51603	EEF1AKNMT	1198
8798	DYRK4	1541
7756	ZNF207	9672
7384	UQCRC1	9323
