Entrezgene	gene_name	expression
7105	TSPAN6	13592
64102	TNMD	71
8813	DPM1	3128
57147	SCYL3	718
55732	C1orf112	1063
2268	FGR	73
3075	CFH	436
2519	FUCA2	2279
2729	GCLC	979
4800	NFYA	2582
90529	STPG1	473
57185	NIPAL3	854
81887	LAS1L	3821
22875	ENPP4	670
6405	SEMA3F	12810
1080	CFTR	15
54467	ANKIB1	2415
1595	CYP51A1	25
889	KRIT1	550
5893	RAD52	645
572	BAD	515
51056	LAP3	3355
4267	CD99	9988
9957	HS3ST1	774
26	AOC1	58
51384	WNT16	5
23072	HECW1	11
8379	MAD1L1	8
3927	LASP1	7860
29916	SNX11	1057
55365	TMEM176A	1165
4074	M6PR	1541
90293	KLHL13	328
56603	CYP26B1	1078
3382	ICA1	265
79007	DBNDD1	3347
57679	ALS2	2320
843	CASP10	297
8837	CFLAR	2676
7035	TFPI	496
55471	NDUFAF7	729
10181	RBM5	4421
9108	MTMR7	524
6542	SLC7A2	3680
381	ARF5	4517
23098	SARM1	275
26073	POLDIP2	5698
23129	PLXND1	3308
204	AK2	6629
952	CD38	280
2288	FKBP4	8421
23028	KDM1A	19362
10180	RBM6	4038
84254	CAMKK1	106
5965	RECQL	651
55610	VPS50	1066
126393	HSPB6	393
115703	ARHGAP33	3676
4706	NDUFAB1	6618
5166	PDK4	1264
85413	SLC22A16	23
51364	ZMYND10	28
340273	ABCB5	2
170302	ARX	5
10165	SLC25A13	2748
7982	ST7	2205
996	CDC27	4470
6521	SLC4A1	3
799	CALCR	10
3052	HCCS	1363
1856	DVL2	4956
64063	PRSS22	15
5976	UPF1	8586
8935	SKAP2	1451
292	SLC25A5	9034
55013	MCUB	683
3207	HOXA11	5683
5439	POLR2J	4067
56919	DHX33	2848
4222	MEOX1	30315
221981	THSD7A	336
3980	LIG3	3776
79657	RPAP3	3990
6296	ACSM3	190
81691	REXO5	393
57019	CIAPIN1	5414
56928	SPPL2B	3988
80256	FAM214B	1267
51226	COPZ2	386
5577	PRKAR2B	2205
10943	MSL3	2517
1387	CREBBP	16495
9256	TSPOAP1	1439
4353	MPO	44
5444	PON1	28
6936	GCFC2	1983
84058	WDR54	4167
54677	CROT	869
5244	ABCB4	168
55904	KMT2E	8548
57414	RHBDD2	12045
30812	SOX8	1485
25998	IBTK	2974
7748	ZNF195	3955
23077	MYCBP2	2331
26224	FBXL3	2311
3683	ITGAL	255
5164	PDK2	2481
3675	ITGA3	2303
7543	ZFX	2318
3920	LAMP2	5404
3674	ITGA2B	71
51666	ASB4	8
51573	GDE1	5076
55049	REX1BD	2112
9244	CRLF1	750
114881	OSBPL7	623
26022	TMEM98	9052
51087	YBX2	152
9020	MAP3K14	404
6833	ABCC8	116
10368	CACNG3	1
54972	TMEM132A	10967
163	AP2B1	14194
6863	TAC1	8
10127	ZNF263	1652
6376	CX3CL1	639
64847	SPATA20	2121
8913	CACNA1G	635
51330	TNFRSF12A	991
1750	DLX6	11
4293	MAP3K9	1610
5898	RALA	5484
55971	BAIAP2L1	3059
80853	KDM7A	1335
2115	ETV1	12999
55750	AGK	2650
221	ALDH3B1	203
55001	TTC22	6
57157	PHTF2	2114
10344	CCL26	2
9855	FARP2	1873
10083	USH1C	19
79017	GGCT	1261
10926	DBF4	2509
6915	TBXA2R	151
3475	IFRD1	1068
56891	LGALS14	54
1352	COX10	1427
9569	GTF2IRD1	5247
54623	PAF1	4296
27072	VPS41	4053
9912	ARHGAP44	651
60528	ELAC2	5764
85477	SCIN	30
414	ARSD	1644
8228	PNPLA4	1242
8735	MYH13	7
