Entrezgene	gene_name	expression
7105	TSPAN6	10805
64102	TNMD	10
8813	DPM1	3941
57147	SCYL3	887
55732	C1orf112	2056
2268	FGR	32
3075	CFH	591
2519	FUCA2	3474
2729	GCLC	2807
4800	NFYA	4388
90529	STPG1	570
57185	NIPAL3	627
81887	LAS1L	3991
22875	ENPP4	736
6405	SEMA3F	6392
1080	CFTR	10
54467	ANKIB1	2447
1595	CYP51A1	159
889	KRIT1	1066
5893	RAD52	875
572	BAD	585
51056	LAP3	3662
4267	CD99	18412
9957	HS3ST1	142
26	AOC1	7
51384	WNT16	4
23072	HECW1	8
8379	MAD1L1	1
3927	LASP1	7239
29916	SNX11	702
55365	TMEM176A	383
4074	M6PR	1516
90293	KLHL13	1375
56603	CYP26B1	627
3382	ICA1	82
79007	DBNDD1	3960
57679	ALS2	1818
843	CASP10	196
8837	CFLAR	2097
7035	TFPI	702
55471	NDUFAF7	898
10181	RBM5	4452
9108	MTMR7	232
6542	SLC7A2	3713
381	ARF5	6101
23098	SARM1	377
26073	POLDIP2	6051
23129	PLXND1	4346
204	AK2	9020
952	CD38	77
2288	FKBP4	15522
23028	KDM1A	24289
10180	RBM6	4625
84254	CAMKK1	144
5965	RECQL	672
55610	VPS50	1831
126393	HSPB6	215
115703	ARHGAP33	3752
4706	NDUFAB1	14310
5166	PDK4	1240
85413	SLC22A16	5
51364	ZMYND10	22
340273	ABCB5	16
170302	ARX	1
10165	SLC25A13	3552
7982	ST7	3727
996	CDC27	4685
6521	SLC4A1	11
799	CALCR	8
3052	HCCS	992
1856	DVL2	5739
5976	UPF1	7285
8935	SKAP2	777
292	SLC25A5	18492
55013	MCUB	2754
3207	HOXA11	5677
5439	POLR2J	7554
56919	DHX33	3383
4222	MEOX1	6320
221981	THSD7A	339
3980	LIG3	4511
79657	RPAP3	5031
6296	ACSM3	494
81691	REXO5	424
57019	CIAPIN1	6336
56928	SPPL2B	2601
80256	FAM214B	705
51226	COPZ2	112
5577	PRKAR2B	3098
10943	MSL3	2764
1387	CREBBP	23476
9256	TSPOAP1	1563
4353	MPO	29
5444	PON1	4
6936	GCFC2	2905
84058	WDR54	4045
54677	CROT	960
5244	ABCB4	72
55904	KMT2E	9532
57414	RHBDD2	7158
30812	SOX8	468
25998	IBTK	3174
7748	ZNF195	5726
23077	MYCBP2	3934
26224	FBXL3	3200
3683	ITGAL	82
5164	PDK2	1897
3675	ITGA3	1301
7543	ZFX	2453
3920	LAMP2	5466
3674	ITGA2B	41
51666	ASB4	10
51573	GDE1	6894
55049	REX1BD	2995
9244	CRLF1	1538
114881	OSBPL7	633
26022	TMEM98	9058
51087	YBX2	463
3883	KRT33A	1
9020	MAP3K14	617
6833	ABCC8	76
54972	TMEM132A	8988
163	AP2B1	15486
6863	TAC1	108
10127	ZNF263	3125
6376	CX3CL1	219
64847	SPATA20	556
8913	CACNA1G	876
51330	TNFRSF12A	245
1750	DLX6	3
4293	MAP3K9	827
5898	RALA	4148
55971	BAIAP2L1	1816
80853	KDM7A	2595
2115	ETV1	7223
55750	AGK	4755
221	ALDH3B1	73
55001	TTC22	5
57157	PHTF2	2592
10344	CCL26	3
9855	FARP2	2264
10083	USH1C	116
79017	GGCT	1413
10926	DBF4	5693
6915	TBXA2R	170
3475	IFRD1	2344
56891	LGALS14	3
1352	COX10	1989
9569	GTF2IRD1	4683
54623	PAF1	2775
27072	VPS41	2398
9912	ARHGAP44	444
60528	ELAC2	5030
85477	SCIN	38
414	ARSD	645
8228	PNPLA4	1010
8735	MYH13	20
79602	ADIPOR2	6109
51265	CDKL3	138
151531	UPP2	5
10942	PRSS21	79
57787	MARK4	5199
8842	PROM1	2234
115098	CCDC124	6275
