Entrezgene	gene_name	expression
7105	TSPAN6	16472
64102	TNMD	7
8813	DPM1	3578
57147	SCYL3	1226
55732	C1orf112	1648
2268	FGR	44
3075	CFH	722
2519	FUCA2	3292
2729	GCLC	1010
4800	NFYA	5494
90529	STPG1	1013
57185	NIPAL3	2299
81887	LAS1L	4129
22875	ENPP4	844
6405	SEMA3F	24517
1080	CFTR	49
54467	ANKIB1	8949
1595	CYP51A1	404
889	KRIT1	1043
5893	RAD52	716
572	BAD	659
51056	LAP3	4144
4267	CD99	13185
9957	HS3ST1	80
26	AOC1	4
51384	WNT16	4
23072	HECW1	4
8379	MAD1L1	2
3927	LASP1	11427
29916	SNX11	1117
55365	TMEM176A	668
4074	M6PR	2994
90293	KLHL13	755
56603	CYP26B1	987
3382	ICA1	127
79007	DBNDD1	703
57679	ALS2	3287
843	CASP10	339
8837	CFLAR	7027
7035	TFPI	1024
55471	NDUFAF7	1468
10181	RBM5	6028
9108	MTMR7	881
6542	SLC7A2	6958
381	ARF5	5098
23098	SARM1	678
26073	POLDIP2	6599
23129	PLXND1	7264
204	AK2	11519
952	CD38	196
2288	FKBP4	8202
23028	KDM1A	28047
10180	RBM6	5406
84254	CAMKK1	145
5965	RECQL	1510
55610	VPS50	2370
126393	HSPB6	67
115703	ARHGAP33	4675
4706	NDUFAB1	5679
5166	PDK4	13497
85413	SLC22A16	15
51364	ZMYND10	30
340273	ABCB5	3
10165	SLC25A13	4130
7982	ST7	2217
996	CDC27	9492
6521	SLC4A1	21
799	CALCR	3
3052	HCCS	1756
1856	DVL2	8953
64063	PRSS22	4
5976	UPF1	13792
8935	SKAP2	3329
292	SLC25A5	9604
55013	MCUB	1022
3207	HOXA11	7868
5439	POLR2J	3132
56919	DHX33	3581
4222	MEOX1	29614
221981	THSD7A	578
3980	LIG3	5979
79657	RPAP3	5623
6296	ACSM3	453
81691	REXO5	401
57019	CIAPIN1	3028
56928	SPPL2B	4022
80256	FAM214B	1288
51226	COPZ2	74
5577	PRKAR2B	5459
10943	MSL3	4070
1387	CREBBP	36474
9256	TSPOAP1	3831
4353	MPO	22
5444	PON1	158
6936	GCFC2	2624
84058	WDR54	4303
54677	CROT	3175
5244	ABCB4	577
55904	KMT2E	22866
57414	RHBDD2	11507
30812	SOX8	1562
25998	IBTK	5187
7748	ZNF195	4605
23077	MYCBP2	3997
26224	FBXL3	8019
3683	ITGAL	125
5164	PDK2	3310
3675	ITGA3	5378
7543	ZFX	6840
3920	LAMP2	8726
3674	ITGA2B	106
51666	ASB4	3464
51573	GDE1	7516
55049	REX1BD	2389
9244	CRLF1	206
114881	OSBPL7	545
26022	TMEM98	9369
51087	YBX2	850
9020	MAP3K14	630
6833	ABCC8	3142
10368	CACNG3	1
54972	TMEM132A	16352
163	AP2B1	27934
6863	TAC1	5
10127	ZNF263	2889
6376	CX3CL1	868
64847	SPATA20	2562
8913	CACNA1G	325
51330	TNFRSF12A	674
1750	DLX6	9
4293	MAP3K9	987
5898	RALA	11665
55971	BAIAP2L1	1432
