Entrezgene	gene_name	expression
7105	TSPAN6	26406
64102	TNMD	65
8813	DPM1	5636
57147	SCYL3	1984
55732	C1orf112	2291
2268	FGR	46
3075	CFH	863
2519	FUCA2	3280
2729	GCLC	1556
4800	NFYA	7877
90529	STPG1	1538
57185	NIPAL3	2574
81887	LAS1L	10747
22875	ENPP4	1377
6405	SEMA3F	23726
1080	CFTR	45
54467	ANKIB1	13829
1595	CYP51A1	350
889	KRIT1	1277
5893	RAD52	1051
572	BAD	794
51056	LAP3	4006
4267	CD99	17152
9957	HS3ST1	151
26	AOC1	67
51384	WNT16	5
23072	HECW1	42
8379	MAD1L1	18
3927	LASP1	12661
29916	SNX11	1600
55365	TMEM176A	2745
4074	M6PR	2169
90293	KLHL13	164
56603	CYP26B1	278
3382	ICA1	405
79007	DBNDD1	1708
57679	ALS2	4577
843	CASP10	469
8837	CFLAR	5342
7035	TFPI	614
55471	NDUFAF7	1280
10181	RBM5	9408
9108	MTMR7	855
6542	SLC7A2	3218
381	ARF5	7103
23098	SARM1	668
26073	POLDIP2	9237
23129	PLXND1	9534
204	AK2	10069
952	CD38	189
2288	FKBP4	3727
23028	KDM1A	25752
10180	RBM6	8551
84254	CAMKK1	246
5965	RECQL	1528
55610	VPS50	3086
126393	HSPB6	55
115703	ARHGAP33	3521
4706	NDUFAB1	6608
5166	PDK4	2031
85413	SLC22A16	23
51364	ZMYND10	75
340273	ABCB5	2
170302	ARX	3
10165	SLC25A13	4891
7982	ST7	3570
996	CDC27	10618
6521	SLC4A1	54
799	CALCR	1
3052	HCCS	3413
1856	DVL2	6832
64063	PRSS22	5
5976	UPF1	15144
8935	SKAP2	2587
292	SLC25A5	23335
55013	MCUB	1142
3207	HOXA11	14384
5439	POLR2J	3620
56919	DHX33	3855
4222	MEOX1	38127
221981	THSD7A	659
3980	LIG3	8265
79657	RPAP3	5338
6296	ACSM3	1130
81691	REXO5	614
57019	CIAPIN1	2693
56928	SPPL2B	5864
80256	FAM214B	973
51226	COPZ2	264
5577	PRKAR2B	3099
10943	MSL3	7373
1387	CREBBP	39078
9256	TSPOAP1	4084
4353	MPO	56
5444	PON1	60
6936	GCFC2	4203
84058	WDR54	3961
54677	CROT	3225
5244	ABCB4	1113
55904	KMT2E	23080
57414	RHBDD2	9534
30812	SOX8	1004
25998	IBTK	6338
7748	ZNF195	7803
23077	MYCBP2	4753
26224	FBXL3	6438
3683	ITGAL	229
5164	PDK2	3915
3675	ITGA3	6787
7543	ZFX	10972
3920	LAMP2	21643
3674	ITGA2B	128
51666	ASB4	16
51573	GDE1	6981
55049	REX1BD	2724
9244	CRLF1	431
114881	OSBPL7	868
26022	TMEM98	13072
51087	YBX2	2024
9020	MAP3K14	766
6833	ABCC8	617
54972	TMEM132A	13967
163	AP2B1	25291
6863	TAC1	11
10127	ZNF263	3833
6376	CX3CL1	656
64847	SPATA20	4853
8913	CACNA1G	1150
51330	TNFRSF12A	476
1750	DLX6	4
4293	MAP3K9	2169
5898	RALA	7752
55971	BAIAP2L1	3414
80853	KDM7A	2734
2115	ETV1	15846
55750	AGK	4900
221	ALDH3B1	65
55001	TTC22	3
57157	PHTF2	5236
10344	CCL26	5
9855	FARP2	5786
10083	USH1C	438
79017	GGCT	1422
10926	DBF4	3841
6915	TBXA2R	212
3475	IFRD1	675
56891	LGALS14	83
1352	COX10	2458
9569	GTF2IRD1	9450
54623	PAF1	5332
27072	VPS41	7690
9912	ARHGAP44	1578
60528	ELAC2	8558
85477	SCIN	126
414	ARSD	5625
8228	PNPLA4	3367
8735	MYH13	22
79602	ADIPOR2	6244
51265	CDKL3	105
151531	UPP2	101
10942	PRSS21	310
57787	MARK4	7693
8842	PROM1	759
115098	CCDC124	4342
90273	CEACAM21	12
5048	PAFAH1B1	13462
4843	NOS2	267
1770	DNAH9	751
9703	KIAA0100	13538
9058	SLC13A2	3
8522	GAS7	6898
79090	TRAPPC6A	880
4145	MATK	52
974	CD79B	37
6329	SCN4A	249
54879	ST7L	1339
8277	TKTL1	28
5080	PAX6	14
113000	RPUSD1	1791
64285	RHBDF1	1831
55692	LUC7L	4930
9254	CACNA2D2	5568
8938	BAIAP3	2335
115939	TSR3	2243
9091	PIGQ	4390
57585	CRAMP1	2577
7005	TEAD3	3667
6401	SELE	3
55735	DNAJC11	3437
2328	FMO3	31
29116	MYLIP	4571
27035	NOX1	340
1870	E2F2	3211
5689	PSMB1	13645
6853	SYN1	597
3720	JARID2	15089
6792	CDKL5	2820
57172	CAMK1G	423
728642	CDK11A	76
65220	NADK	4032
7021	TFAP2B	2
9940	DLEC1	38
9265	CYTH3	7194
53616	ADAM22	1651
6856	SYPL1	11497
1534	CYB561	1774
9043	SPAG9	10637
1951	CELSR3	111
10157	AASS	5087
55200	PLEKHG6	559
51188	SS18L2	1356
84954	MPND	1032
4257	MGST1	958
1407	CRY1	2196
8993	PGLYRP1	1
4784	NFIX	1855
6482	ST3GAL1	8646
64386	MMP25	28
9235	IL32	1841
5310	PKD1	6637
23542	MAPK8IP2	190
9862	MED24	13292
23221	RHOBTB2	2150
54497	HEATR5B	2947
7095	SEC62	18827
6224	RPS20	81060
7812	CSDE1	73795
9690	UBE3C	7285
5980	REV3L	8780
10178	TENM1	571
5081	PAX7	5
10747	MASP2	312
389434	IYD	4
199870	FAM76A	1415
80342	TRAF3IP3	30
29954	POMT2	6204
51534	VTA1	8844
51085	MLXIPL	1069
9031	BAZ1B	21827
10048	RANBP9	5914
51513	ETV7	76
83932	SPRTN	1467
51603	EEF1AKNMT	4111
8798	DYRK4	1405
7756	ZNF207	24083
7384	UQCRC1	12992
83930	STARD3NL	5821
928	CD9	12344
57467	HHATL	30
9918	NCAPD2	35695
25900	IFFO1	1661
2696	GIPR	21
51533	PHF7	211
56920	SEMA3G	637
11188	NISCH	15657
23166	STAB1	1787
80199	FUZ	771
6540	SLC6A13	162
3423	IDS	932
5646	PRSS3	153
7752	ZNF200	2811
920	CD4	1208
10233	LRRC23	1229
695	BTK	42
3077	HFE	32
22955	SCMH1	6398
2534	FYN	26338
3097	HIVEP2	2769
2326	FMO1	91
6924	ELOA	5913
11313	LYPLA2	7025
1185	CLCN6	2626
9902	MRC2	8684
6534	SLC6A7	3
10867	TSPAN9	5131
55727	BTBD7	9041
9546	APBA3	1238
54903	MKS1	2779
51099	ABHD5	3999
3730	ANOS1	1048
26993	AKAP8L	3115
54799	MBTD1	7188
51096	UTP18	4214
54476	RNF216	11112
54902	TTC19	8288
5725	PTBP1	71578
8193	DPF1	427
9066	SYT7	3226
23395	LARS2	3575
5286	PIK3C2A	12008
5329	PLAUR	1230
54443	ANLN	10967
58525	WIZ	16529
23637	RABGAP1	8882
1634	DCN	2138
54814	QPCTL	454
5536	PPP5C	5753
23177	CEP68	5333
8491	MAP4K3	8709
27033	ZBTB32	13
7305	TYROBP	647
57146	TMEM159	414
2556	GABRA3	19
672	BRCA1	5294
2067	ERCC1	3930
933	CD22	1888
7869	SEMA3B	1496
51360	MBTPS2	8270
4007	PRICKLE3	751
4057	LTF	44
2137	EXTL3	12352
9971	NR1H4	1
60481	ELOVL5	7666
240	ALOX5	391
8284	KDM5D	5590
57658	CALCOCO1	6175
55148	UBR7	8223
11183	MAP4K5	7172
30845	EHD3	1181
5704	PSMC4	7070
23324	MAN2B2	2220
57709	SLC7A14	52
5010	CLDN11	130
51629	SLC25A39	11915
9961	MVP	531
51667	NUB1	6403
5238	PGM3	3048
112611	RWDD2A	780
1195	CLK1	8867
55703	POLR3B	2233
23357	ANGEL1	4075
9604	RNF14	4427
1774	DNASE1L1	561
1663	DDX11	4670
50865	HEBP1	3655
9052	GPRC5A	136
10046	MAMLD1	482
923	CD6	642
10460	TACC3	12903
23376	UFL1	5800
23649	POLA2	1163
23144	ZC3H3	4935
823	CAPN1	10067
55	ACP3	130
4190	MDH1	12734
10463	SLC30A9	12665
10903	MTMR11	1354
1355	COX15	4501
440193	CCDC88C	27238
10138	YAF2	3404
10771	ZMYND11	5265
7454	WAS	224
1800	DPEP1	1505
637	BID	1866
9782	MATR3	1204
29881	NPC1L1	1
64132	XYLT2	4178
84220	RGPD5	25
81551	STMN4	142
23386	NUDCD3	11406
3670	ISL1	3
55349	CHDH	587
53832	IL20RA	2264
1179	CLCA1	1
22802	CLCA4	1
55830	GLT8D1	7426
27032	ATP2C1	21378
3479	IGF1	33
92745	SLC38A5	18
10928	RALBP1	8905
22902	RUFY3	3142
1272	CNTN1	46
6556	SLC11A1	47
25937	WWTR1	10416
8540	AGPS	4236
63932	CXorf56	2301
477	ATP1A2	656
55622	TTC27	2468
147948	ZNF582	466
23584	VSIG2	63
23187	PHLDB1	5023
8685	MARCO	1
1591	CYP24A1	16
56981	PRDM11	5801
57586	SYT13	2244
6591	SNAI2	4980
972	CD74	20205
3082	HGF	69
54764	ZRANB1	2571
23154	NCDN	3056
25960	ADGRA2	9380
55734	ZFP64	6502
4331	MNAT1	1828
23034	SAMD4A	326
864	RUNX3	97
4361	MRE11	4550
58473	PLEKHB1	2000
1992	SERPINB1	2178
64816	CYP3A43	10
11136	SLC7A9	49
6683	SPAST	7680
9369	NRXN3	894
114879	OSBPL5	1886
9716	AQR	13381
1373	CPS1	171
2273	FHL1	16373
51507	RTF2	7840
2554	GABRA1	1
55655	NLRP2	29
57210	SLC45A4	2584
9921	RNF10	15191
55778	ZNF839	704
64429	ZDHHC6	3904
57476	GRAMD1B	3535
6050	RNH1	5801
4719	NDUFS1	8662
9821	RB1CC1	10201
23071	ERP44	6135
211	ALAS1	3721
330	BIRC3	68
11215	AKAP11	8946
51022	GLRX2	2138
6617	SNAPC1	1827
51071	DERA	1905
11171	STRAP	17310
1244	ABCC2	98
50619	DEF6	525
51177	PLEKHO1	13339
2730	GCLM	1615
23304	UBR2	5209
30846	EHD2	3139
55635	DEPDC1	3996
25901	CCDC28A	1736
58528	RRAGD	2993
3298	HSF2	5562
51230	PHF20	7770
8630	HSD17B6	55
10062	NR1H3	467
1890	TYMP	109
29781	NCAPH2	5631
10953	TOMM34	11761
11231	SEC63	13802
23633	KPNA6	13118
7431	VIM	16053
355	FAS	1380
8635	RNASET2	959
960	CD44	952
3755	KCNG1	6694
56895	AGPAT4	2072
57823	SLAMF7	52
11119	BTN3A1	1550
4285	MIPEP	1518
5583	PRKCH	636
3645	INSRR	206
3459	IFNGR1	3579
11285	B4GALT7	2975
9047	SH2D2A	725
7444	VRK2	945
7133	TNFRSF1B	701
55591	VEZT	10969
5452	POU2F2	171
65980	BRD9	4378
6642	SNX1	9307
9519	TBPL1	1570
56938	ARNTL2	971
9774	BCLAF1	32412
55334	SLC39A9	13551
286	ANK1	91
3381	IBSP	2
51106	TFB1M	795
9135	RABEP1	6760
3149	HMGB3	31726
23279	NUP160	22308
578	BAK1	1656
4593	MUSK	8
22807	IKZF2	532
2896	GRN	14981
51306	FAM13B	5258
57514	ARHGAP31	1782
55166	CENPQ	1536
6301	SARS1	9440
8498	RANBP3	9304
5926	ARID4A	4160
7260	EIPR1	2504
10908	PNPLA6	5608
8100	IFT88	2285
56052	ALG1	1034
55596	ZCCHC8	3724
10061	ABCF2	2828
54480	CHPF2	3770
57554	LRRC7	462
2530	FUT8	1066
55236	UBA6	7375
9846	GAB2	1749
535	ATP6V0A1	5496
8554	PIAS1	9020
9497	SLC4A7	8321
321	APBA2	8724
5606	MAP2K3	3376
79645	EFCAB1	675
9168	TMSB10	49554
28990	ASTE1	1012
25897	RNF19A	6701
8504	PEX3	1812
11345	GABARAPL2	5183
4653	MYOC	22
26751	SH3YL1	5320
84908	FAM136A	5387
7414	VCL	23632
55789	DEPDC1B	4907
23604	DAPK2	460
8439	NSMAF	5771
159	ADSS2	3742
26228	STAP1	6
7077	TIMP2	33426
5981	RFC1	11165
55773	TBC1D23	3860
8452	CUL3	9982
9172	MYOM2	2014
5009	OTC	27
10858	CYP46A1	586
26009	ZZZ3	6363
9099	USP2	462
846	CASR	19
27175	TUBG2	2052
51121	RPL26L1	2904
2324	FLT4	3353
54888	NSUN2	4945
54455	FBXO42	5168
4238	MFAP3	2265
84245	MRI1	980
4234	METTL1	1065
3224	HOXC8	782
175	AGA	1907
55300	PI4K2B	2665
259282	BOD1L1	13022
27430	MAT2B	11941
7092	TLL1	2148
23644	EDC4	2927
7204	TRIO	20832
1462	VCAN	3787
23274	CLEC16A	5276
4481	MSR1	652
999	CDH1	2292
23517	MTREX	8255
1767	DNAH5	19
9765	ZFYVE16	5894
79567	RIPOR1	2852
729	C6	3
26064	RAI14	7758
11063	SOX30	57
11284	PNKP	3625
54831	BEST2	6
23035	PHLPP2	1157
54908	SPDL1	4886
27067	STAU2	7195
54896	SLC66A1	1738
1497	CTNS	1872
65078	RTN4R	3645
79142	PHF23	3773
1008	CDH10	8
3631	INPP4A	6999
5874	RAB27B	143
5685	PSMA4	13986
23026	MYO16	16
55341	LSG1	4612
10039	PARP3	996
3371	TNC	29478
90326	THAP3	964
140876	RIPOR3	70
55775	TDP1	4914
84883	AIFM2	451
55812	SPATA7	1664
9440	MED17	1338
54884	RETSAT	1256
822	CAPG	1080
1175	AP2S1	6494
7399	USH2A	15
11055	ZPBP	3
7038	TG	261
10863	ADAM28	118
8538	BARX2	81
54165	DCUN1D1	5286
23338	JADE2	522
7546	ZIC2	3
3937	LCP2	776
54802	TRIT1	2927
153	ADRB1	2
9820	CUL7	6123
1495	CTNNA1	42378
5256	PHKA2	4830
54875	CNTLN	3090
2042	EPHA3	3612
3309	HSPA5	43805
1829	DSG2	10216
54960	GEMIN8	2753
8481	OFD1	5559
2824	GPM6B	5751
51438	MAGEC2	17
80243	PREX2	2178
22884	WDR37	1343
64848	YTHDC2	4687
56474	CTPS2	12376
51606	ATP6V1H	4921
5431	POLR2B	12138
56204	FAM214A	4908
116984	ARAP2	432
7175	TPR	33710
1356	CP	10
23247	KATNIP	3078
84062	DTNBP1	2043
7504	XK	679
57101	ANO2	906
57102	C12orf4	2772
6322	SCML1	3305
55841	WWC3	7759
395	ARHGAP6	2221
27146	FAM184B	388
4134	MAP4	22078
57120	GOPC	6103
6098	ROS1	2
57646	USP28	6370
9734	HDAC9	1644
26262	TSPAN17	1948
51491	NOP16	1043
57545	CC2D2A	3780
50484	RRM2B	3658
168850	ZNF800	3183
608	TNFRSF17	28
92017	SNX29	4165
55885	LMO3	3
55173	MRPS10	5071
2978	GUCA1A	1
51773	RSF1	12715
55187	VPS13D	5605
10659	CELF2	1016
23196	FAM120A	24702
23518	R3HDM1	12914
1298	COL9A2	2164
4254	KITLG	1752
1161	ERCC8	2819
11174	ADAMTS6	159
9563	H6PD	15052
9341	VAMP3	13877
8863	PER3	2640
3604	TNFRSF9	16
55040	EPN3	5945
4052	LTBP1	21712
5954	RCN1	7124
2006	ELN	1370
5982	RFC2	5453
57492	ARID1B	33415
81037	CLPTM1L	7319
23327	NEDD4L	9060
50943	FOXP3	155
89801	PPP1R3F	1250
3074	HEXB	4769
79810	PTCD2	2110
340533	NEXMIF	11
51528	JKAMP	3959
27122	DKK3	2250
7984	ARHGEF5	1823
9603	NFE2L3	2034
63933	MCUR1	5249
51474	LIMA1	4623
25875	LETMD1	5254
9498	SLC4A8	2533
10319	LAMC3	3654
5733	PTGER3	22
79931	TNIP3	3
5601	MAPK9	5413
91522	COL23A1	178
9564	BCAR1	4423
84067	FAM160A2	3566
9709	HERPUD1	2024
9454	HOMER3	3573
5888	RAD51	1847
10721	POLQ	2345
5291	PIK3CB	2885
1535	CYBA	3695
84321	THOC3	5000
23593	HEBP2	5356
10198	MPHOSPH9	4085
54477	PLEKHA5	4856
5652	PRSS8	843
80143	SIKE1	13827
23223	RRP12	4413
57600	FNIP2	5186
6307	MSMO1	3394
55761	TTC17	9862
60529	ALX4	47
23105	FSTL4	25
1112	FOXN3	6550
728464	METTL24	319
8574	AKR7A2	5139
51154	MRTO4	4319
4826	NNAT	13992
55850	USE1	1454
23101	MCF2L2	127
83714	NRIP2	629
3909	LAMA3	428
55745	AP5M1	5507
29945	ANAPC4	2342
3784	KCNQ1	1123
27095	TRAPPC3	3267
9967	THRAP3	17935
29085	PHPT1	3864
954	ENTPD2	6
4065	LY75	15
51742	ARID4B	11345
23596	OPN3	312
10806	SDCCAG8	1650
5798	PTPRN	6
55733	HHAT	1885
23095	KIF1B	14550
2296	FOXC1	13604
25771	TBC1D22A	2793
23224	SYNE2	19072
57475	PLEKHH1	8598
10079	ATP9A	45692
140689	CBLN4	160
25884	CHRDL2	72
23201	FAM168A	14910
84957	RELT	635
2581	GALC	5874
51602	NOP58	6088
26099	SZRD1	12070
3757	KCNH2	6532
8454	CUL1	12078
10827	FAM114A2	2570
26999	CYFIP2	17985
23118	TAB2	19081
116254	GINM1	4625
5610	EIF2AK2	12017
57602	USP36	5855
58508	KMT2C	19952
55283	MCOLN3	735
114800	CCDC85A	23
23369	PUM2	28884
84545	MRPL43	2932
3700	ITIH4	8
3697	ITIH1	1
54969	HPF1	3070
51663	ZFR	20688
55609	ZNF280C	8234
10886	NPFFR2	9
112885	PHF21B	556
7185	TRAF1	1978
54542	RC3H2	11342
55540	IL17RB	598
10758	TRAF3IP2	1964
8908	GYG2	2696
131566	DCBLD2	8655
6646	SOAT1	5514
5318	PKP2	2268
4438	MSH4	126
2155	F7	59
2665	GDI2	18768
639	PRDM1	920
9474	ATG5	4130
57458	TMCC3	18945
57095	PITHD1	4120
57504	MTA3	6675
8975	USP13	3433
23200	ATP11B	11601
3918	LAMC2	3991
5218	CDK14	4880
29927	SEC61A1	20549
4659	PPP1R12A	12742
5923	RASGRF1	16
816	CAMK2B	724
9696	CROCC	4115
55718	POLR3E	3849
493	ATP2B4	12251
9877	ZC3H11A	10
55781	RIOK2	2883
54432	YIPF1	3250
55706	NDC1	10079
1608	DGKG	113
84256	FLYWCH1	3575
64718	UNKL	1480
6916	TBXAS1	542
64761	PARP12	1458
5832	ALDH18A1	12624
6894	TARBP1	4469
5188	GATB	1844
4084	MXD1	1315
5128	CDK17	7427
548645	DNAJC25	1076
6515	SLC2A3	1135
5662	PSD	194
9150	CTDP1	1864
8531	YBX3	29066
55359	STYK1	41
65125	WNK1	46346
55749	CCAR1	11861
11054	OGFR	3426
2769	GNA15	31
84699	CREB3L3	1
55650	PIGV	1118
10076	PTPRU	1198
9410	SNRNP40	5971
23504	RIMBP2	2259
1301	COL11A1	25
79832	QSER1	18846
51660	MPC1	1553
30	ACAA1	1227
586	BCAT1	1359
51564	HDAC7	14416
11178	LZTS1	6834
93166	PRDM6	44
7478	WNT8A	8
6676	SPAG4	245
10787	NCKAP1	24545
60488	MRPS35	5653
2983	GUCY1B1	3194
6433	SFSWAP	7018
10188	TNK2	3015
23041	MON2	6837
1001	CDH3	646
416	ARSF	2
65056	GPBP1	22539
84649	DGAT2	759
7771	ZNF112	1442
1431	CS	22756
4058	LTK	171
64951	MRPS24	5
63916	ELMO2	8125
23063	WAPL	8719
81671	VMP1	5726
10513	APPBP2	8440
5424	POLD1	3985
124925	SEZ6	20
1975	EIF4B	46787
28968	SLC6A16	97
29998	BICRA	6036
56848	SPHK2	1472
6141	RPL18	70922
770	CA11	1819
79763	ISOC2	1124
11338	U2AF2	10347
29924	EPN1	15009
55588	MED29	10241
57491	AHRR	32
2928	GSC2	1
10838	ZNF275	14280
8776	MTMR1	7956
2817	GPC1	8586
57143	ADCK1	1289
3029	HAGH	1935
6047	RNF4	5813
841	CASP8	1651
22998	LIMCH1	2910
55726	INTS13	2854
51768	TM7SF3	4019
1747	DLX3	866
53340	SPA17	1239
10077	TSPAN32	40
8839	CCN5	8
58524	DMRT3	216
10402	ST3GAL6	570
9914	ATP2C2	120
4804	NGFR	6281
50937	CDON	6465
6873	TAF2	7263
28996	HIPK2	30585
23534	TNPO3	4479
8625	RFXANK	3700
54929	TMEM161A	2875
9170	LPAR2	1882
5476	CTSA	5085
10147	SUGP2	12780
6558	SLC12A2	7961
28966	SNX24	1047
2139	EYA2	438
1265	CNN2	1920
10347	ABCA7	682
9627	SNCAIP	12635
11218	DDX20	4448
53339	BTBD1	8127
55711	FAR2	467
8537	BCAS1	17
5449	POU1F1	7
1117	CHI3L2	4
22904	SBNO2	3865
5378	PMS1	3508
10362	HMG20B	6038
10203	CALCRL	1019
6882	TAF11	3826
23294	ANKS1A	7248
8943	AP3D1	18106
7629	ZNF76	2589
9351	SLC9A3R2	4289
4913	NTHL1	1570
54887	UHRF1BP1	6744
2773	GNAI3	13493
3843	IPO5	39790
4942	OAT	5180
10885	WDR3	4720
5586	PKN2	9456
57418	WDR18	3963
9697	TRAM2	4294
9423	NTN1	685
9340	GLP2R	11
55388	MCM10	1810
1606	DGKA	581
2065	ERBB3	203
91526	ANKRD44	852
3735	KARS1	8019
23536	ADAT1	1538
10954	PDIA5	952
55633	TBC1D22B	2038
4710	NDUFB4	9396
23013	SPEN	24177
4638	MYLK	3119
55854	ZC3H15	8483
6416	MAP2K4	7153
55248	PACC1	2282
9892	SNAP91	3
9748	SLK	11638
51167	CYB5R4	719
1308	COL17A1	77
119391	GSTO2	109
55176	SEC61A2	1434
5588	PRKCQ	677
7089	TLE2	1401
51665	ASB1	3743
83641	FAM107B	3676
4199	ME1	96
23216	TBC1D1	12119
8621	CDK13	11841
10797	MTHFD2	3768
84679	SLC9A7	3366
55810	FOXJ2	5853
4904	YBX1	47670
5141	PDE4A	932
5525	PPP2R5A	4203
1496	CTNNA2	95
1994	ELAVL1	20687
7075	TIE1	2767
57609	DIP2B	9190
6602	SMARCD1	22178
9682	KDM4A	1765
4802	NFYC	8007
84217	ZMYND12	67
6550	SLC9A3	199
25791	NGEF	916
259266	ASPM	10582
8832	CD84	177
64834	ELOVL1	2256
6688	SPI1	380
30834	POLR1H	1379
744	MPPED2	165
51208	CLDN18	22
27107	ZBTB11	3710
4287	ATXN3	2616
9950	GOLGA5	4082
2263	FGFR2	17796
55631	LRRC40	4665
51015	ISOC1	2477
2009	EML1	4938
60487	TRMT11	2737
55623	THUMPD1	9696
91283	MSANTD3	2302
26153	KIF26A	249
55102	ATG2B	4986
10565	ARFGEF1	7639
348158	ACSM2B	3
57623	ZFAT	1397
9650	MTFR1	2040
10734	STAG3	637
2235	FECH	3671
4649	MYO9A	2806
8653	DDX3Y	7901
5214	PFKP	2410
3422	IDI1	1588
6672	SP100	1139
1316	KLF6	3082
8611	PLPP1	1045
4756	NEO1	31181
23471	TRAM1	17715
5255	PHKA1	10468
7132	TNFRSF1A	7474
782	CACNB1	1263
7813	EVI5	4599
9399	STOML1	799
5315	PKM	116155
54505	DHX29	5215
30836	DNTTIP2	9006
79091	METTL22	1492
