Entrezgene	gene_name	expression
7105	TSPAN6	11423
64102	TNMD	9
8813	DPM1	3129
57147	SCYL3	888
55732	C1orf112	1477
2268	FGR	28
3075	CFH	460
2519	FUCA2	2579
2729	GCLC	393
4800	NFYA	2231
90529	STPG1	961
57185	NIPAL3	1325
81887	LAS1L	4024
22875	ENPP4	471
6405	SEMA3F	15271
1080	CFTR	57
54467	ANKIB1	3914
1595	CYP51A1	195
889	KRIT1	344
5893	RAD52	592
572	BAD	370
51056	LAP3	4203
4267	CD99	5460
9957	HS3ST1	73
26	AOC1	9
51384	WNT16	1
23072	HECW1	3
8379	MAD1L1	4
3927	LASP1	9746
29916	SNX11	902
55365	TMEM176A	367
4074	M6PR	2384
90293	KLHL13	6998
56603	CYP26B1	1266
3382	ICA1	66
79007	DBNDD1	1851
57679	ALS2	3359
843	CASP10	153
8837	CFLAR	4184
7035	TFPI	353
55471	NDUFAF7	1238
10181	RBM5	5280
9108	MTMR7	327
6542	SLC7A2	1967
381	ARF5	2133
23098	SARM1	495
26073	POLDIP2	5681
23129	PLXND1	4777
204	AK2	7342
952	CD38	141
2288	FKBP4	3850
23028	KDM1A	20279
10180	RBM6	3919
84254	CAMKK1	335
5965	RECQL	1409
55610	VPS50	698
126393	HSPB6	49
115703	ARHGAP33	5357
4706	NDUFAB1	4313
5166	PDK4	4615
85413	SLC22A16	36
51364	ZMYND10	21
10165	SLC25A13	1847
7982	ST7	654
996	CDC27	6524
6521	SLC4A1	6
3052	HCCS	1195
1856	DVL2	6135
5976	UPF1	8639
8935	SKAP2	1317
292	SLC25A5	9793
55013	MCUB	707
3207	HOXA11	4465
5439	POLR2J	1116
56919	DHX33	2939
4222	MEOX1	12139
221981	THSD7A	220
3980	LIG3	4896
79657	RPAP3	3327
6296	ACSM3	367
81691	REXO5	257
57019	CIAPIN1	4482
56928	SPPL2B	2428
80256	FAM214B	1516
51226	COPZ2	34
5577	PRKAR2B	1632
10943	MSL3	3188
1387	CREBBP	21324
9256	TSPOAP1	2220
4353	MPO	23
5444	PON1	839
6936	GCFC2	2301
84058	WDR54	3593
54677	CROT	1377
5244	ABCB4	277
55904	KMT2E	6518
57414	RHBDD2	3757
30812	SOX8	23
25998	IBTK	4994
7748	ZNF195	3816
23077	MYCBP2	3295
26224	FBXL3	3189
3683	ITGAL	144
5164	PDK2	4171
3675	ITGA3	7102
7543	ZFX	5186
3920	LAMP2	9734
3674	ITGA2B	113
51666	ASB4	208
51573	GDE1	4575
55049	REX1BD	2356
9244	CRLF1	251
114881	OSBPL7	801
26022	TMEM98	8980
51087	YBX2	254
9020	MAP3K14	1693
6833	ABCC8	5331
54972	TMEM132A	12292
163	AP2B1	28807
6863	TAC1	2
10127	ZNF263	1972
6376	CX3CL1	515
64847	SPATA20	763
8913	CACNA1G	433
51330	TNFRSF12A	278
1750	DLX6	5
4293	MAP3K9	956
5898	RALA	3729
55971	BAIAP2L1	871
80853	KDM7A	1001
2115	ETV1	1995
55750	AGK	1296
221	ALDH3B1	25
55001	TTC22	44
57157	PHTF2	2254
10344	CCL26	1
9855	FARP2	3462
10083	USH1C	124
79017	GGCT	439
10926	DBF4	1172
6915	TBXA2R	96
3475	IFRD1	410
