Entrezgene	gene_name	expression
7105	TSPAN6	19094
64102	TNMD	145
8813	DPM1	3644
57147	SCYL3	1625
55732	C1orf112	1810
2268	FGR	97
3075	CFH	1093
2519	FUCA2	3113
2729	GCLC	1553
4800	NFYA	8969
90529	STPG1	812
57185	NIPAL3	1812
81887	LAS1L	4290
22875	ENPP4	661
6405	SEMA3F	21363
1080	CFTR	11
54467	ANKIB1	11142
1595	CYP51A1	481
889	KRIT1	2068
5893	RAD52	1141
572	BAD	761
51056	LAP3	5131
4267	CD99	12548
9957	HS3ST1	428
26	AOC1	17
51384	WNT16	6
23072	HECW1	9
8379	MAD1L1	37
3927	LASP1	9379
29916	SNX11	1420
55365	TMEM176A	891
4074	M6PR	1690
90293	KLHL13	1666
56603	CYP26B1	2077
3382	ICA1	309
79007	DBNDD1	2086
57679	ALS2	3913
843	CASP10	559
8837	CFLAR	7366
7035	TFPI	273
55471	NDUFAF7	1413
10181	RBM5	9015
9108	MTMR7	679
6542	SLC7A2	5278
381	ARF5	11008
23098	SARM1	632
26073	POLDIP2	7755
23129	PLXND1	11321
204	AK2	10759
952	CD38	630
2288	FKBP4	7337
23028	KDM1A	29058
10180	RBM6	8182
84254	CAMKK1	159
5965	RECQL	1622
55610	VPS50	4319
126393	HSPB6	483
115703	ARHGAP33	6228
4706	NDUFAB1	6007
5166	PDK4	5212
85413	SLC22A16	12
51364	ZMYND10	109
340273	ABCB5	1
170302	ARX	1
10165	SLC25A13	8894
7982	ST7	2526
996	CDC27	9471
6521	SLC4A1	4
799	CALCR	2
3052	HCCS	1276
1856	DVL2	8230
64063	PRSS22	10
5976	UPF1	12990
8935	SKAP2	1972
292	SLC25A5	13008
55013	MCUB	1472
3207	HOXA11	5623
5439	POLR2J	5174
56919	DHX33	3481
4222	MEOX1	43745
221981	THSD7A	375
3980	LIG3	7351
79657	RPAP3	4614
6296	ACSM3	467
81691	REXO5	592
57019	CIAPIN1	5800
56928	SPPL2B	5117
80256	FAM214B	1163
51226	COPZ2	381
5577	PRKAR2B	4155
10943	MSL3	3944
1387	CREBBP	36235
9256	TSPOAP1	2519
4353	MPO	7
5444	PON1	30
6936	GCFC2	3976
84058	WDR54	4036
54677	CROT	2660
5244	ABCB4	84
55904	KMT2E	29290
57414	RHBDD2	23389
30812	SOX8	3355
25998	IBTK	5322
7748	ZNF195	7275
23077	MYCBP2	4182
26224	FBXL3	5309
3683	ITGAL	208
5164	PDK2	4563
3675	ITGA3	2909
7543	ZFX	9221
3920	LAMP2	10306
3674	ITGA2B	191
51666	ASB4	16
51573	GDE1	6161
55049	REX1BD	3373
9244	CRLF1	8270
114881	OSBPL7	832
26022	TMEM98	14444
51087	YBX2	664
9020	MAP3K14	825
6833	ABCC8	210
54972	TMEM132A	15825
163	AP2B1	26450
6863	TAC1	78
10127	ZNF263	3128
