Entrezgene	gene_name	expression
7105	TSPAN6	14503
64102	TNMD	818
8813	DPM1	3486
57147	SCYL3	1499
55732	C1orf112	2209
2268	FGR	103
3075	CFH	864
2519	FUCA2	6200
2729	GCLC	2722
4800	NFYA	5935
90529	STPG1	1064
57185	NIPAL3	1483
81887	LAS1L	3836
22875	ENPP4	1012
6405	SEMA3F	17128
1080	CFTR	54
54467	ANKIB1	5946
1595	CYP51A1	37
889	KRIT1	1840
5893	RAD52	1536
572	BAD	718
51056	LAP3	3015
4267	CD99	18744
9957	HS3ST1	1478
26	AOC1	235
51384	WNT16	506
23072	HECW1	130
8379	MAD1L1	30
3927	LASP1	10729
29916	SNX11	1101
55365	TMEM176A	3281
4074	M6PR	1806
90293	KLHL13	2979
56603	CYP26B1	2010
3382	ICA1	1330
79007	DBNDD1	1546
57679	ALS2	2779
843	CASP10	544
8837	CFLAR	4509
7035	TFPI	321
55471	NDUFAF7	1367
10181	RBM5	6974
9108	MTMR7	702
6542	SLC7A2	3371
381	ARF5	9419
23098	SARM1	360
26073	POLDIP2	6951
23129	PLXND1	5891
204	AK2	8989
952	CD38	100
2288	FKBP4	8025
23028	KDM1A	20459
10180	RBM6	6912
84254	CAMKK1	131
5965	RECQL	562
55610	VPS50	3263
126393	HSPB6	1448
115703	ARHGAP33	4204
4706	NDUFAB1	8723
5166	PDK4	3724
85413	SLC22A16	23
51364	ZMYND10	110
340273	ABCB5	1
170302	ARX	61
10165	SLC25A13	3467
7982	ST7	10851
996	CDC27	6233
6521	SLC4A1	6
799	CALCR	24
3052	HCCS	1375
1856	DVL2	9045
64063	PRSS22	42
5976	UPF1	9433
8935	SKAP2	3679
292	SLC25A5	7750
55013	MCUB	846
3207	HOXA11	14943
5439	POLR2J	7167
56919	DHX33	3723
4222	MEOX1	10428
221981	THSD7A	5815
3980	LIG3	3947
79657	RPAP3	6220
6296	ACSM3	804
81691	REXO5	869
57019	CIAPIN1	6487
56928	SPPL2B	4865
80256	FAM214B	890
51226	COPZ2	684
5577	PRKAR2B	2599
10943	MSL3	3512
1387	CREBBP	30517
9256	TSPOAP1	2420
4353	MPO	14
5444	PON1	19
6936	GCFC2	3241
84058	WDR54	2707
54677	CROT	2176
5244	ABCB4	1114
55904	KMT2E	28507
57414	RHBDD2	17955
30812	SOX8	555
25998	IBTK	4919
7748	ZNF195	5131
23077	MYCBP2	3545
26224	FBXL3	4310
3683	ITGAL	119
5164	PDK2	2244
3675	ITGA3	2039
7543	ZFX	3945
3920	LAMP2	10004
3674	ITGA2B	233
51666	ASB4	9
51573	GDE1	6554
55049	REX1BD	2818
9244	CRLF1	1401
114881	OSBPL7	1042
26022	TMEM98	16098
51087	YBX2	1023
9020	MAP3K14	527
6833	ABCC8	333
10368	CACNG3	8
54972	TMEM132A	9836
163	AP2B1	15991
6863	TAC1	19
10127	ZNF263	3281
6376	CX3CL1	1245
64847	SPATA20	1148
8913	CACNA1G	4439
51330	TNFRSF12A	1131
1750	DLX6	391
4293	MAP3K9	1000
5898	RALA	12970
55971	BAIAP2L1	4042
80853	KDM7A	3139
2115	ETV1	14838
55750	AGK	5792
221	ALDH3B1	182
55001	TTC22	4
57157	PHTF2	4195
10344	CCL26	22
9855	FARP2	3051
10083	USH1C	59
79017	GGCT	2766
10926	DBF4	4383
6915	TBXA2R	189
3475	IFRD1	2176
1352	COX10	2045
9569	GTF2IRD1	9592
54623	PAF1	4348
27072	VPS41	8905
9912	ARHGAP44	936
60528	ELAC2	4980
85477	SCIN	73
414	ARSD	3157
8228	PNPLA4	986
8735	MYH13	13
79602	ADIPOR2	8529
51265	CDKL3	136
151531	UPP2	85
10942	PRSS21	20
57787	MARK4	7664
8842	PROM1	3149
115098	CCDC124	4674
90273	CEACAM21	13
5048	PAFAH1B1	10206
4843	NOS2	183
1770	DNAH9	680
9703	KIAA0100	5417
9058	SLC13A2	5
8522	GAS7	4626
79090	TRAPPC6A	583
4145	MATK	33
974	CD79B	19
6329	SCN4A	60
54879	ST7L	1445
8277	TKTL1	63
5080	PAX6	45
113000	RPUSD1	758
64285	RHBDF1	836
55692	LUC7L	2916
9254	CACNA2D2	2840
8938	BAIAP3	265
115939	TSR3	781
9091	PIGQ	2028
57585	CRAMP1	1164
7005	TEAD3	8012
6401	SELE	46
55735	DNAJC11	1357
2328	FMO3	21
29116	MYLIP	6857
27035	NOX1	179
1870	E2F2	1862
5689	PSMB1	18935
6853	SYN1	99
3720	JARID2	10660
6792	CDKL5	1072
57172	CAMK1G	1418
728642	CDK11A	168
65220	NADK	2499
7021	TFAP2B	49
83741	TFAP2D	2
9940	DLEC1	24
9265	CYTH3	5559
53616	ADAM22	4637
6856	SYPL1	10699
1534	CYB561	1054
9043	SPAG9	8232
1951	CELSR3	214
10157	AASS	2664
