Entrezgene	gene_name	expression
7105	TSPAN6	16217
64102	TNMD	9
8813	DPM1	4079
57147	SCYL3	909
55732	C1orf112	743
2268	FGR	73
3075	CFH	466
2519	FUCA2	3253
2729	GCLC	1200
4800	NFYA	3924
90529	STPG1	860
57185	NIPAL3	1338
81887	LAS1L	3332
22875	ENPP4	819
6405	SEMA3F	19843
1080	CFTR	27
54467	ANKIB1	4952
1595	CYP51A1	80
889	KRIT1	741
5893	RAD52	736
572	BAD	783
51056	LAP3	3789
4267	CD99	7388
9957	HS3ST1	81
26	AOC1	63
51384	WNT16	2
23072	HECW1	28
8379	MAD1L1	7
3927	LASP1	7732
29916	SNX11	1156
55365	TMEM176A	1774
4074	M6PR	2004
90293	KLHL13	906
56603	CYP26B1	2606
3382	ICA1	125
79007	DBNDD1	2532
57679	ALS2	2760
843	CASP10	184
8837	CFLAR	2417
7035	TFPI	1438
55471	NDUFAF7	1162
10181	RBM5	6242
9108	MTMR7	283
6542	SLC7A2	1562
381	ARF5	4134
23098	SARM1	221
26073	POLDIP2	6562
23129	PLXND1	4508
204	AK2	10242
952	CD38	310
2288	FKBP4	8394
23028	KDM1A	21313
10180	RBM6	4835
84254	CAMKK1	256
5965	RECQL	395
55610	VPS50	1678
126393	HSPB6	200
115703	ARHGAP33	2110
4706	NDUFAB1	8889
5166	PDK4	6050
85413	SLC22A16	34
51364	ZMYND10	28
340273	ABCB5	6
170302	ARX	1
10165	SLC25A13	2977
7982	ST7	1563
996	CDC27	6829
6521	SLC4A1	12
799	CALCR	22
3052	HCCS	1693
1856	DVL2	6717
64063	PRSS22	7
5976	UPF1	8042
8935	SKAP2	2528
292	SLC25A5	11486
55013	MCUB	541
3207	HOXA11	7957
5439	POLR2J	4433
56919	DHX33	2828
4222	MEOX1	11355
221981	THSD7A	196
3980	LIG3	3206
79657	RPAP3	4101
6296	ACSM3	313
81691	REXO5	406
57019	CIAPIN1	6017
56928	SPPL2B	3419
80256	FAM214B	1157
51226	COPZ2	209
5577	PRKAR2B	2470
10943	MSL3	2997
1387	CREBBP	14639
9256	TSPOAP1	2115
4353	MPO	58
5444	PON1	119
6936	GCFC2	2641
84058	WDR54	7693
54677	CROT	1576
5244	ABCB4	382
55904	KMT2E	12303
57414	RHBDD2	12204
30812	SOX8	811
25998	IBTK	3850
7748	ZNF195	4644
23077	MYCBP2	1981
26224	FBXL3	5236
3683	ITGAL	101
5164	PDK2	1926
3675	ITGA3	5832
7543	ZFX	5095
3920	LAMP2	8100
3674	ITGA2B	262
51666	ASB4	77
51573	GDE1	4758
55049	REX1BD	3585
9244	CRLF1	455
114881	OSBPL7	462
26022	TMEM98	11732
51087	YBX2	994
9020	MAP3K14	989
6833	ABCC8	2525
54972	TMEM132A	12064
163	AP2B1	14911
6863	TAC1	5
10127	ZNF263	2423
6376	CX3CL1	526
64847	SPATA20	2201
8913	CACNA1G	980
51330	TNFRSF12A	385
1750	DLX6	4
4293	MAP3K9	679
5898	RALA	7183
55971	BAIAP2L1	2198
80853	KDM7A	1686
2115	ETV1	9716
55750	AGK	2910
221	ALDH3B1	95
55001	TTC22	77
57157	PHTF2	3756
10344	CCL26	5
9855	FARP2	2602
10083	USH1C	608
79017	GGCT	1392
10926	DBF4	3039
6915	TBXA2R	147
3475	IFRD1	1658
56891	LGALS14	61
1352	COX10	1998
9569	GTF2IRD1	5850
54623	PAF1	5197
27072	VPS41	5739
9912	ARHGAP44	452
60528	ELAC2	4838
85477	SCIN	42
414	ARSD	2299
8228	PNPLA4	1995
8735	MYH13	3
79602	ADIPOR2	6995
51265	CDKL3	122
151531	UPP2	81
10942	PRSS21	290
57787	MARK4	6810
8842	PROM1	2554
115098	CCDC124	4476
90273	CEACAM21	13
5048	PAFAH1B1	9254
4843	NOS2	170
1770	DNAH9	129
9703	KIAA0100	5703
9058	SLC13A2	1
8522	GAS7	1217
79090	TRAPPC6A	1357
4145	MATK	31
1087	CEACAM7	2
974	CD79B	29
6329	SCN4A	35
54879	ST7L	1010
8277	TKTL1	109
5080	PAX6	8
113000	RPUSD1	1316
64285	RHBDF1	1130
55692	LUC7L	5589
9254	CACNA2D2	2428
8938	BAIAP3	145
115939	TSR3	2145
9091	PIGQ	3917
57585	CRAMP1	2025
7005	TEAD3	2335
6401	SELE	4
55735	DNAJC11	1066
2328	FMO3	54
29116	MYLIP	5887
27035	NOX1	253
1870	E2F2	1452
5689	PSMB1	16236
6853	SYN1	375
3720	JARID2	10774
6792	CDKL5	593
57172	CAMK1G	805
728642	CDK11A	62
65220	NADK	2215
7021	TFAP2B	6
83741	TFAP2D	3
9940	DLEC1	19
9265	CYTH3	2850
53616	ADAM22	776
6856	SYPL1	9886
1534	CYB561	1527
9043	SPAG9	8343
1951	CELSR3	188
10157	AASS	1774
55200	PLEKHG6	176
51188	SS18L2	1692
84954	MPND	946
4257	MGST1	1556
1407	CRY1	2025
8993	PGLYRP1	1
4784	NFIX	452
6482	ST3GAL1	2312
64386	MMP25	10
9235	IL32	1333
5310	PKD1	1717
23542	MAPK8IP2	121
9862	MED24	8429
23221	RHOBTB2	880
54497	HEATR5B	1751
7095	SEC62	15676
6224	RPS20	134191
7812	CSDE1	60670
9690	UBE3C	4407
5980	REV3L	5328
10178	TENM1	30
5081	PAX7	3
10747	MASP2	54
389434	IYD	3
199870	FAM76A	1228
80342	TRAF3IP3	16
29954	POMT2	2553
51534	VTA1	6465
51085	MLXIPL	573
9031	BAZ1B	13685
10048	RANBP9	3700
51513	ETV7	16
83932	SPRTN	976
51603	EEF1AKNMT	2382
8798	DYRK4	1947
7756	ZNF207	17956
7384	UQCRC1	16464
83930	STARD3NL	6587
928	CD9	3497
57467	HHATL	14
9918	NCAPD2	18449
25900	IFFO1	921
2696	GIPR	5
51533	PHF7	142
56920	SEMA3G	653
11188	NISCH	11384
23166	STAB1	662
80199	FUZ	512
6540	SLC6A13	111
3423	IDS	207
5646	PRSS3	23
7752	ZNF200	1485
920	CD4	846
10233	LRRC23	1385
695	BTK	39
3077	HFE	138
22955	SCMH1	3564
2534	FYN	8718
3097	HIVEP2	390
2326	FMO1	218
6924	ELOA	4886
11313	LYPLA2	8470
1185	CLCN6	2032
9902	MRC2	6614
6534	SLC6A7	1
10867	TSPAN9	3987
55727	BTBD7	4304
9546	APBA3	1362
54903	MKS1	2522
51099	ABHD5	1774
3730	ANOS1	75
26993	AKAP8L	2011
54799	MBTD1	7252
51096	UTP18	3682
54476	RNF216	4710
54902	TTC19	5172
5725	PTBP1	49156
8193	DPF1	174
9066	SYT7	751
23395	LARS2	2123
5286	PIK3C2A	7246
5329	PLAUR	1043
54443	ANLN	5063
58525	WIZ	9652
23637	RABGAP1	5247
1634	DCN	13582
54814	QPCTL	394
5536	PPP5C	3185
23177	CEP68	3177
8491	MAP4K3	5553
27033	ZBTB32	4
7305	TYROBP	1133
57146	TMEM159	501
2556	GABRA3	23
672	BRCA1	2106
2067	ERCC1	6262
933	CD22	4818
7869	SEMA3B	1714
51360	MBTPS2	2861
4007	PRICKLE3	331
4057	LTF	12
2137	EXTL3	4499
60481	ELOVL5	8294
240	ALOX5	321
8284	KDM5D	1
57658	CALCOCO1	4500
55148	UBR7	4147
11183	MAP4K5	4036
30845	EHD3	799
5704	PSMC4	8607
23324	MAN2B2	1076
57709	SLC7A14	12
5010	CLDN11	269
51629	SLC25A39	9807
9961	MVP	714
51667	NUB1	5846
5238	PGM3	2457
112611	RWDD2A	384
1195	CLK1	10019
55703	POLR3B	1457
23357	ANGEL1	1645
9604	RNF14	2661
1774	DNASE1L1	151
1663	DDX11	3456
50865	HEBP1	2915
9052	GPRC5A	177
10046	MAMLD1	167
923	CD6	70
10460	TACC3	8157
23376	UFL1	4198
23649	POLA2	827
23144	ZC3H3	4120
823	CAPN1	7508
55	ACP3	105
4190	MDH1	12577
10463	SLC30A9	8095
10903	MTMR11	935
1355	COX15	3160
440193	CCDC88C	23182
10138	YAF2	3898
10771	ZMYND11	8899
7454	WAS	231
1800	DPEP1	876
637	BID	2055
9782	MATR3	296
29881	NPC1L1	40
64132	XYLT2	2511
84220	RGPD5	21
81551	STMN4	114
23386	NUDCD3	5441
3670	ISL1	395
55349	CHDH	204
53832	IL20RA	63
1179	CLCA1	5
22802	CLCA4	2
55830	GLT8D1	5030
27032	ATP2C1	11800
3479	IGF1	40
92745	SLC38A5	59
10928	RALBP1	6016
22902	RUFY3	3250
1272	CNTN1	172
6556	SLC11A1	56
25937	WWTR1	5782
8540	AGPS	2948
63932	CXorf56	1495
477	ATP1A2	245
55622	TTC27	1465
147948	ZNF582	267
23584	VSIG2	46
23187	PHLDB1	2336
8685	MARCO	5
1591	CYP24A1	17
56981	PRDM11	2232
57586	SYT13	657
6591	SNAI2	2530
972	CD74	32176
3082	HGF	192
54764	ZRANB1	1335
23154	NCDN	1556
25960	ADGRA2	3049
55734	ZFP64	2597
4331	MNAT1	1909
23034	SAMD4A	209
864	RUNX3	92
4361	MRE11	3555
58473	PLEKHB1	995
1992	SERPINB1	1629
64816	CYP3A43	3
11136	SLC7A9	28
6683	SPAST	6532
9369	NRXN3	863
114879	OSBPL5	990
9716	AQR	6299
1373	CPS1	85
2273	FHL1	5827
51507	RTF2	4874
2554	GABRA1	3
55655	NLRP2	12
57210	SLC45A4	2000
9921	RNF10	11434
55778	ZNF839	233
64429	ZDHHC6	3052
57476	GRAMD1B	1181
6050	RNH1	5921
4719	NDUFS1	5477
9821	RB1CC1	6096
23071	ERP44	5263
211	ALAS1	2281
330	BIRC3	75
11215	AKAP11	4263
51022	GLRX2	2181
6617	SNAPC1	2338
51071	DERA	3605
11171	STRAP	17116
1244	ABCC2	72
50619	DEF6	413
51177	PLEKHO1	8830
2730	GCLM	702
23304	UBR2	3021
30846	EHD2	1821
55635	DEPDC1	3594
25901	CCDC28A	2027
58528	RRAGD	4367
3298	HSF2	4305
51230	PHF20	4305
8630	HSD17B6	105
10062	NR1H3	797
1890	TYMP	223
29781	NCAPH2	4590
10953	TOMM34	5947
11231	SEC63	9289
23633	KPNA6	6632
7431	VIM	57794
355	FAS	1099
8635	RNASET2	1123
960	CD44	549
3755	KCNG1	1672
56895	AGPAT4	1941
57823	SLAMF7	127
11119	BTN3A1	963
4285	MIPEP	961
5583	PRKCH	377
3645	INSRR	35
3459	IFNGR1	3735
11285	B4GALT7	2027
9047	SH2D2A	954
7444	VRK2	357
7133	TNFRSF1B	425
55591	VEZT	7583
5452	POU2F2	584
65980	BRD9	3447
6642	SNX1	6504
9519	TBPL1	3100
56938	ARNTL2	456
9774	BCLAF1	21484
55334	SLC39A9	7993
286	ANK1	80
3381	IBSP	4
51106	TFB1M	623
9135	RABEP1	3997
3149	HMGB3	11908
23279	NUP160	10046
578	BAK1	1608
4593	MUSK	29
22807	IKZF2	287
2896	GRN	8575
51306	FAM13B	3299
57514	ARHGAP31	514
55166	CENPQ	1511
6301	SARS1	10997
8498	RANBP3	6140
5926	ARID4A	3204
7260	EIPR1	2226
10908	PNPLA6	5691
8100	IFT88	1885
56052	ALG1	666
55596	ZCCHC8	2840
10061	ABCF2	2625
54480	CHPF2	1739
57554	LRRC7	159
2530	FUT8	319
55236	UBA6	3933
9846	GAB2	1158
535	ATP6V0A1	3342
8554	PIAS1	7938
9497	SLC4A7	7428
321	APBA2	5595
5606	MAP2K3	3203
79645	EFCAB1	342
9168	TMSB10	107110
28990	ASTE1	724
25897	RNF19A	4481
8504	PEX3	1350
11345	GABARAPL2	11424
4653	MYOC	16
26751	SH3YL1	2565
84908	FAM136A	6629
7414	VCL	7835
55789	DEPDC1B	3276
23604	DAPK2	187
8439	NSMAF	2949
159	ADSS2	2857
26228	STAP1	6
7077	TIMP2	18465
5981	RFC1	7436
55773	TBC1D23	3096
8452	CUL3	6267
9172	MYOM2	233
5009	OTC	6
10858	CYP46A1	113
26009	ZZZ3	5183
6570	SLC18A1	4
9099	USP2	429
846	CASR	21
27175	TUBG2	1232
51121	RPL26L1	3199
2324	FLT4	1892
54888	NSUN2	2294
54455	FBXO42	4143
4238	MFAP3	792
84245	MRI1	751
4234	METTL1	795
3224	HOXC8	7283
175	AGA	967
55300	PI4K2B	1999
259282	BOD1L1	6642
27430	MAT2B	14479
7092	TLL1	103
23644	EDC4	2318
7204	TRIO	10418
1462	VCAN	10289
23274	CLEC16A	2354
4481	MSR1	353
999	CDH1	929
23517	MTREX	4469
1767	DNAH5	58
9765	ZFYVE16	3355
79567	RIPOR1	3205
729	C6	6
26064	RAI14	4542
11063	SOX30	37
11284	PNKP	3043
54831	BEST2	1
23035	PHLPP2	1284
54908	SPDL1	3812
27067	STAU2	5948
54896	SLC66A1	1065
1497	CTNS	1391
65078	RTN4R	3348
79142	PHF23	4418
1008	CDH10	88
3631	INPP4A	3677
5874	RAB27B	31
5685	PSMA4	19360
23026	MYO16	56
55341	LSG1	2548
10039	PARP3	797
3371	TNC	1939
90326	THAP3	1280
140876	RIPOR3	126
55775	TDP1	2383
84883	AIFM2	302
55812	SPATA7	1418
9440	MED17	948
54884	RETSAT	773
822	CAPG	1687
1175	AP2S1	7397
7399	USH2A	34
11055	ZPBP	4
7038	TG	57
10863	ADAM28	81
8538	BARX2	229
54165	DCUN1D1	4649
23338	JADE2	109
7546	ZIC2	45
3937	LCP2	400
