Entrezgene	gene_name	expression
7105	TSPAN6	14867
64102	TNMD	581
8813	DPM1	3399
57147	SCYL3	1889
55732	C1orf112	2139
2268	FGR	89
3075	CFH	1294
2519	FUCA2	2649
2729	GCLC	1855
4800	NFYA	6611
90529	STPG1	1290
57185	NIPAL3	2230
81887	LAS1L	4509
22875	ENPP4	622
6405	SEMA3F	11796
1080	CFTR	69
54467	ANKIB1	5504
1595	CYP51A1	122
889	KRIT1	875
5893	RAD52	1514
572	BAD	661
51056	LAP3	4395
4267	CD99	7577
9957	HS3ST1	947
26	AOC1	21
51384	WNT16	88
23072	HECW1	170
8379	MAD1L1	23
3927	LASP1	12652
29916	SNX11	1035
55365	TMEM176A	589
4074	M6PR	2550
90293	KLHL13	2036
56603	CYP26B1	444
3382	ICA1	280
79007	DBNDD1	710
57679	ALS2	4301
843	CASP10	379
8837	CFLAR	2384
7035	TFPI	835
55471	NDUFAF7	1360
10181	RBM5	10230
9108	MTMR7	341
6542	SLC7A2	4073
381	ARF5	5366
23098	SARM1	1059
26073	POLDIP2	7240
23129	PLXND1	7848
204	AK2	8600
952	CD38	125
2288	FKBP4	8195
23028	KDM1A	27084
10180	RBM6	6324
84254	CAMKK1	302
5965	RECQL	1244
55610	VPS50	2178
126393	HSPB6	1518
115703	ARHGAP33	5896
4706	NDUFAB1	5478
5166	PDK4	1298
85413	SLC22A16	65
51364	ZMYND10	77
340273	ABCB5	23
170302	ARX	28555
10165	SLC25A13	2569
7982	ST7	4434
996	CDC27	7152
6521	SLC4A1	9
799	CALCR	42
3052	HCCS	1506
1856	DVL2	8103
64063	PRSS22	25
5976	UPF1	12335
8935	SKAP2	1489
292	SLC25A5	11181
55013	MCUB	461
3207	HOXA11	8077
5439	POLR2J	3302
56919	DHX33	4648
4222	MEOX1	4912
221981	THSD7A	1866
3980	LIG3	6459
79657	RPAP3	3914
6296	ACSM3	2273
81691	REXO5	619
57019	CIAPIN1	5229
56928	SPPL2B	4155
80256	FAM214B	1099
51226	COPZ2	585
5577	PRKAR2B	2883
10943	MSL3	3690
1387	CREBBP	32246
9256	TSPOAP1	4577
4353	MPO	27
5444	PON1	24
6936	GCFC2	2660
84058	WDR54	3161
54677	CROT	1628
5244	ABCB4	2033
55904	KMT2E	18444
57414	RHBDD2	7013
30812	SOX8	2394
25998	IBTK	5988
7748	ZNF195	6457
23077	MYCBP2	5286
26224	FBXL3	4386
3683	ITGAL	266
5164	PDK2	3714
3675	ITGA3	1156
7543	ZFX	8248
3920	LAMP2	9091
3674	ITGA2B	178
51666	ASB4	7
51573	GDE1	5522
55049	REX1BD	2771
9244	CRLF1	150
114881	OSBPL7	1213
26022	TMEM98	19528
51087	YBX2	181
9020	MAP3K14	705
6833	ABCC8	985
10368	CACNG3	1
54972	TMEM132A	16639
163	AP2B1	22829
6863	TAC1	3582
10127	ZNF263	2773
6376	CX3CL1	1254
64847	SPATA20	4804
8913	CACNA1G	5176
51330	TNFRSF12A	125
1750	DLX6	6
4293	MAP3K9	723
5898	RALA	6825
55971	BAIAP2L1	2377
80853	KDM7A	2551
2115	ETV1	20140
55750	AGK	3588
221	ALDH3B1	175
55001	TTC22	6
57157	PHTF2	4562
10344	CCL26	8
9855	FARP2	3842
10083	USH1C	36
79017	GGCT	1196
10926	DBF4	2664
6915	TBXA2R	240
3475	IFRD1	1181
1352	COX10	2191
9569	GTF2IRD1	7778
54623	PAF1	5868
27072	VPS41	8842
9912	ARHGAP44	848
60528	ELAC2	6613
85477	SCIN	276
414	ARSD	2645
8228	PNPLA4	2818
8735	MYH13	17
79602	ADIPOR2	5363
51265	CDKL3	123
151531	UPP2	64
10942	PRSS21	28
57787	MARK4	6276
8842	PROM1	3509
115098	CCDC124	4497
90273	CEACAM21	34
5048	PAFAH1B1	10305
4843	NOS2	225
1770	DNAH9	271
9703	KIAA0100	10675
9058	SLC13A2	7
8522	GAS7	2000
79090	TRAPPC6A	585
4145	MATK	45
1087	CEACAM7	2
974	CD79B	33
6329	SCN4A	102
54879	ST7L	1228
8277	TKTL1	78
5080	PAX6	5
113000	RPUSD1	1762
64285	RHBDF1	1509
55692	LUC7L	6655
9254	CACNA2D2	3293
8938	BAIAP3	41
115939	TSR3	2444
9091	PIGQ	3576
57585	CRAMP1	3077
7005	TEAD3	2967
6401	SELE	38
55735	DNAJC11	2534
2328	FMO3	256
29116	MYLIP	2745
27035	NOX1	151
1870	E2F2	1808
5689	PSMB1	10755
6853	SYN1	141
3720	JARID2	4427
6792	CDKL5	1427
57172	CAMK1G	2384
728642	CDK11A	56
65220	NADK	3942
7021	TFAP2B	6
9940	DLEC1	37
9265	CYTH3	5016
53616	ADAM22	3100
6856	SYPL1	6425
1534	CYB561	954
9043	SPAG9	14235
1951	CELSR3	129
10157	AASS	5699
55200	PLEKHG6	119
51188	SS18L2	1245
84954	MPND	755
4257	MGST1	2944
1407	CRY1	2948
8993	PGLYRP1	3
4784	NFIX	27782
6482	ST3GAL1	4776
64386	MMP25	99
9235	IL32	826
5310	PKD1	6325
23542	MAPK8IP2	111
9862	MED24	10897
23221	RHOBTB2	2031
54497	HEATR5B	3420
7095	SEC62	16181
6224	RPS20	118129
7812	CSDE1	61164
9690	UBE3C	5908
5980	REV3L	6582
10178	TENM1	4802
5081	PAX7	721
10747	MASP2	230
389434	IYD	13
199870	FAM76A	1160
80342	TRAF3IP3	59
29954	POMT2	4667
51534	VTA1	5778
51085	MLXIPL	45
9031	BAZ1B	19212
10048	RANBP9	4337
51513	ETV7	35
83932	SPRTN	1475
51603	EEF1AKNMT	4037
8798	DYRK4	1735
7756	ZNF207	20405
7384	UQCRC1	11732
83930	STARD3NL	5931
928	CD9	3608
57467	HHATL	35
9918	NCAPD2	22980
25900	IFFO1	1445
2696	GIPR	13
51533	PHF7	283
56920	SEMA3G	514
11188	NISCH	17491
23166	STAB1	2556
80199	FUZ	623
6540	SLC6A13	61
3423	IDS	572
5646	PRSS3	123
7752	ZNF200	1107
920	CD4	1237
10233	LRRC23	716
695	BTK	76
3077	HFE	678
22955	SCMH1	5419
2534	FYN	10886
3097	HIVEP2	978
2326	FMO1	244
6924	ELOA	6019
11313	LYPLA2	4639
1185	CLCN6	2682
9902	MRC2	13636
6534	SLC6A7	4
10867	TSPAN9	5520
55727	BTBD7	8568
9546	APBA3	1461
54903	MKS1	2565
51099	ABHD5	1681
3730	ANOS1	1150
26993	AKAP8L	2684
54799	MBTD1	7231
51096	UTP18	4021
54476	RNF216	6244
54902	TTC19	6274
5725	PTBP1	55332
8193	DPF1	804
9066	SYT7	179
23395	LARS2	3144
5286	PIK3C2A	10581
5329	PLAUR	1268
54443	ANLN	6521
58525	WIZ	18434
23637	RABGAP1	7891
1634	DCN	34310
54814	QPCTL	564
5536	PPP5C	5290
23177	CEP68	7190
8491	MAP4K3	4925
27033	ZBTB32	17
7305	TYROBP	952
57146	TMEM159	816
2556	GABRA3	4
672	BRCA1	4159
2067	ERCC1	5440
933	CD22	712
7869	SEMA3B	1556
51360	MBTPS2	3607
4007	PRICKLE3	275
4057	LTF	81
2137	EXTL3	11817
9971	NR1H4	8
60481	ELOVL5	7526
240	ALOX5	277
8284	KDM5D	5
57658	CALCOCO1	6519
55148	UBR7	6300
11183	MAP4K5	6966
30845	EHD3	1464
5704	PSMC4	7166
23324	MAN2B2	1320
57709	SLC7A14	64
5010	CLDN11	1489
51629	SLC25A39	8498
9961	MVP	793
51667	NUB1	5840
5238	PGM3	3450
112611	RWDD2A	436
1195	CLK1	11065
55703	POLR3B	2040
23357	ANGEL1	4817
9604	RNF14	2735
1774	DNASE1L1	365
1663	DDX11	4244
50865	HEBP1	3284
9052	GPRC5A	309
10046	MAMLD1	2127
923	CD6	130
10460	TACC3	11181
23376	UFL1	4193
23649	POLA2	846
23144	ZC3H3	5228
823	CAPN1	8624
55	ACP3	1290
4190	MDH1	11692
10463	SLC30A9	10180
10903	MTMR11	1589
1355	COX15	4298
