Entrezgene	gene_name	expression
7105	TSPAN6	12642
64102	TNMD	46
8813	DPM1	3063
57147	SCYL3	946
55732	C1orf112	971
2268	FGR	95
3075	CFH	338
2519	FUCA2	2905
2729	GCLC	1413
4800	NFYA	5088
90529	STPG1	599
57185	NIPAL3	1194
81887	LAS1L	4264
22875	ENPP4	667
6405	SEMA3F	9721
1080	CFTR	12
54467	ANKIB1	3756
1595	CYP51A1	26
889	KRIT1	922
5893	RAD52	735
572	BAD	603
51056	LAP3	3394
4267	CD99	11197
9957	HS3ST1	810
26	AOC1	18
51384	WNT16	3
23072	HECW1	8
8379	MAD1L1	14
3927	LASP1	9589
29916	SNX11	1104
55365	TMEM176A	794
4074	M6PR	1157
90293	KLHL13	2096
56603	CYP26B1	629
3382	ICA1	273
79007	DBNDD1	2994
57679	ALS2	2752
843	CASP10	605
8837	CFLAR	3590
7035	TFPI	1927
55471	NDUFAF7	1127
10181	RBM5	6776
9108	MTMR7	268
6542	SLC7A2	1242
381	ARF5	5403
23098	SARM1	395
26073	POLDIP2	6603
23129	PLXND1	7723
204	AK2	7819
952	CD38	225
2288	FKBP4	5682
23028	KDM1A	21378
10180	RBM6	5025
84254	CAMKK1	208
5965	RECQL	444
55610	VPS50	1781
126393	HSPB6	560
115703	ARHGAP33	3007
4706	NDUFAB1	6831
5166	PDK4	2803
85413	SLC22A16	19
51364	ZMYND10	46
170302	ARX	19
10165	SLC25A13	2412
7982	ST7	2714
996	CDC27	6975
6521	SLC4A1	4
799	CALCR	1
3052	HCCS	1623
1856	DVL2	6567
64063	PRSS22	3
5976	UPF1	8813
8935	SKAP2	2438
292	SLC25A5	10231
55013	MCUB	707
3207	HOXA11	9222
5439	POLR2J	3502
56919	DHX33	3532
4222	MEOX1	17177
221981	THSD7A	941
3980	LIG3	4109
79657	RPAP3	3512
6296	ACSM3	293
81691	REXO5	445
57019	CIAPIN1	4794
56928	SPPL2B	3883
80256	FAM214B	1117
51226	COPZ2	350
5577	PRKAR2B	1767
10943	MSL3	3659
1387	CREBBP	19182
9256	TSPOAP1	1852
4353	MPO	23
5444	PON1	4
6936	GCFC2	2990
84058	WDR54	3768
54677	CROT	1559
5244	ABCB4	288
55904	KMT2E	14200
57414	RHBDD2	7460
30812	SOX8	2223
25998	IBTK	3266
7748	ZNF195	4067
23077	MYCBP2	3178
26224	FBXL3	4258
3683	ITGAL	145
5164	PDK2	1709
3675	ITGA3	1461
7543	ZFX	5204
3920	LAMP2	6272
3674	ITGA2B	86
51573	GDE1	4603
55049	REX1BD	2379
9244	CRLF1	2657
114881	OSBPL7	701
26022	TMEM98	12011
51087	YBX2	588
9020	MAP3K14	686
6833	ABCC8	701
54972	TMEM132A	8984
163	AP2B1	14763
6863	TAC1	1
10127	ZNF263	2077
6376	CX3CL1	447
64847	SPATA20	1459
8913	CACNA1G	612
51330	TNFRSF12A	397
1750	DLX6	7
4293	MAP3K9	879
5898	RALA	8212
55971	BAIAP2L1	1415
80853	KDM7A	3167
2115	ETV1	17966
55750	AGK	3494
221	ALDH3B1	135
55001	TTC22	24
57157	PHTF2	3071
9855	FARP2	2137
10083	USH1C	48
79017	GGCT	1615
10926	DBF4	2805
6915	TBXA2R	313
3475	IFRD1	1734
1352	COX10	1951
9569	GTF2IRD1	4552
54623	PAF1	4659
27072	VPS41	5498
9912	ARHGAP44	1142
60528	ELAC2	4955
85477	SCIN	40
414	ARSD	1624
8228	PNPLA4	1318
8735	MYH13	9
79602	ADIPOR2	5451
51265	CDKL3	139
151531	UPP2	23
10942	PRSS21	93
57787	MARK4	6041
8842	PROM1	3652
115098	CCDC124	4646
90273	CEACAM21	10
5048	PAFAH1B1	8455
4843	NOS2	241
1770	DNAH9	142
9703	KIAA0100	5057
9058	SLC13A2	2
8522	GAS7	904
79090	TRAPPC6A	1163
4145	MATK	40
974	CD79B	109
6329	SCN4A	135
54879	ST7L	962
8277	TKTL1	48
5080	PAX6	3
113000	RPUSD1	1364
64285	RHBDF1	1237
55692	LUC7L	7095
9254	CACNA2D2	1544
8938	BAIAP3	393
115939	TSR3	1826
9091	PIGQ	3225
57585	CRAMP1	2390
7005	TEAD3	3988
6401	SELE	10
55735	DNAJC11	1290
2328	FMO3	13
29116	MYLIP	7533
27035	NOX1	240
1870	E2F2	1542
5689	PSMB1	13719
6853	SYN1	472
3720	JARID2	5190
6792	CDKL5	948
57172	CAMK1G	1105
728642	CDK11A	66
65220	NADK	1941
7021	TFAP2B	5
83741	TFAP2D	1
9940	DLEC1	20
9265	CYTH3	4284
53616	ADAM22	1128
6856	SYPL1	5521
1534	CYB561	821
9043	SPAG9	8570
1951	CELSR3	262
10157	AASS	1900
55200	PLEKHG6	94
51188	SS18L2	1266
84954	MPND	905
4257	MGST1	2504
1407	CRY1	2037
8993	PGLYRP1	3
4784	NFIX	1501
6482	ST3GAL1	3773
64386	MMP25	108
9235	IL32	4723
5310	PKD1	2600
23542	MAPK8IP2	61
9862	MED24	8039
23221	RHOBTB2	1091
54497	HEATR5B	1957
7095	SEC62	19084
6224	RPS20	117463
7812	CSDE1	47876
9690	UBE3C	3687
5980	REV3L	4674
10178	TENM1	76
5081	PAX7	23
10747	MASP2	76
389434	IYD	1
199870	FAM76A	1213
80342	TRAF3IP3	33
29954	POMT2	2088
51534	VTA1	5254
51085	MLXIPL	81
9031	BAZ1B	19007
10048	RANBP9	3043
51513	ETV7	9
83932	SPRTN	1086
51603	EEF1AKNMT	1952
8798	DYRK4	1529
7756	ZNF207	18761
7384	UQCRC1	13068
83930	STARD3NL	5816
928	CD9	4248
57467	HHATL	2
9918	NCAPD2	18481
25900	IFFO1	998
2696	GIPR	1
51533	PHF7	186
56920	SEMA3G	486
11188	NISCH	10368
23166	STAB1	1950
80199	FUZ	520
6540	SLC6A13	15
3423	IDS	122
5646	PRSS3	20
7752	ZNF200	1072
920	CD4	2081
10233	LRRC23	1148
695	BTK	65
3077	HFE	156
22955	SCMH1	4529
2534	FYN	9346
3097	HIVEP2	1535
2326	FMO1	81
6924	ELOA	4986
11313	LYPLA2	7665
1185	CLCN6	2133
9902	MRC2	7323
6534	SLC6A7	1
10867	TSPAN9	4768
55727	BTBD7	5060
9546	APBA3	1446
54903	MKS1	2517
51099	ABHD5	1446
3730	ANOS1	56
26993	AKAP8L	2001
54799	MBTD1	7669
51096	UTP18	2681
54476	RNF216	4388
54902	TTC19	4919
5725	PTBP1	53657
8193	DPF1	520
9066	SYT7	466
23395	LARS2	2215
5286	PIK3C2A	7552
5329	PLAUR	1146
54443	ANLN	5525
58525	WIZ	12544
23637	RABGAP1	5775
1634	DCN	19572
54814	QPCTL	333
