Entrezgene	gene_name	expression
7105	TSPAN6	18869
64102	TNMD	3
8813	DPM1	3795
57147	SCYL3	739
55732	C1orf112	1705
2268	FGR	39
3075	CFH	745
2519	FUCA2	3432
2729	GCLC	864
4800	NFYA	4171
90529	STPG1	1086
57185	NIPAL3	1195
81887	LAS1L	3768
22875	ENPP4	1659
6405	SEMA3F	18492
1080	CFTR	15
54467	ANKIB1	4485
1595	CYP51A1	142
889	KRIT1	1070
5893	RAD52	689
572	BAD	384
51056	LAP3	1943
4267	CD99	8154
9957	HS3ST1	77
26	AOC1	24
51384	WNT16	146
23072	HECW1	17
8379	MAD1L1	15
3927	LASP1	9859
29916	SNX11	724
55365	TMEM176A	1074
4074	M6PR	2523
90293	KLHL13	1851
56603	CYP26B1	1287
3382	ICA1	430
79007	DBNDD1	2413
57679	ALS2	3069
843	CASP10	207
8837	CFLAR	2236
7035	TFPI	268
55471	NDUFAF7	1182
10181	RBM5	4602
9108	MTMR7	534
6542	SLC7A2	1518
381	ARF5	5549
23098	SARM1	393
26073	POLDIP2	6185
23129	PLXND1	4269
204	AK2	9305
952	CD38	105
2288	FKBP4	14771
23028	KDM1A	20270
10180	RBM6	5506
84254	CAMKK1	272
5965	RECQL	1024
55610	VPS50	1318
126393	HSPB6	90
115703	ARHGAP33	2835
4706	NDUFAB1	4228
5166	PDK4	2742
85413	SLC22A16	8
51364	ZMYND10	96
340273	ABCB5	9
170302	ARX	2
10165	SLC25A13	3403
7982	ST7	1952
996	CDC27	7066
6521	SLC4A1	11
799	CALCR	1
3052	HCCS	2090
1856	DVL2	3996
64063	PRSS22	2
5976	UPF1	8115
8935	SKAP2	1726
292	SLC25A5	10236
55013	MCUB	420
3207	HOXA11	9589
5439	POLR2J	3156
56919	DHX33	2662
4222	MEOX1	7878
221981	THSD7A	368
3980	LIG3	3519
79657	RPAP3	5282
6296	ACSM3	1650
81691	REXO5	494
57019	CIAPIN1	3264
56928	SPPL2B	3358
80256	FAM214B	643
51226	COPZ2	239
5577	PRKAR2B	3588
10943	MSL3	4298
1387	CREBBP	20799
9256	TSPOAP1	2058
4353	MPO	18
5444	PON1	52
6936	GCFC2	2976
84058	WDR54	3299
54677	CROT	773
5244	ABCB4	38
55904	KMT2E	11757
57414	RHBDD2	11177
30812	SOX8	421
25998	IBTK	3305
7748	ZNF195	5089
23077	MYCBP2	2713
26224	FBXL3	3566
3683	ITGAL	71
5164	PDK2	2373
3675	ITGA3	7584
7543	ZFX	4950
3920	LAMP2	12133
3674	ITGA2B	72
51666	ASB4	28
51573	GDE1	5455
55049	REX1BD	1088
9244	CRLF1	239
114881	OSBPL7	419
26022	TMEM98	9947
51087	YBX2	293
9020	MAP3K14	451
6833	ABCC8	182
54972	TMEM132A	8542
163	AP2B1	16882
6863	TAC1	25
10127	ZNF263	1924
6376	CX3CL1	294
64847	SPATA20	1583
8913	CACNA1G	715
51330	TNFRSF12A	2891
1750	DLX6	8
4293	MAP3K9	1425
5898	RALA	8622
55971	BAIAP2L1	3242
80853	KDM7A	1819
2115	ETV1	6852
55750	AGK	3421
221	ALDH3B1	87
57157	PHTF2	3195
10344	CCL26	4
9855	FARP2	3231
10083	USH1C	39
79017	GGCT	1287
10926	DBF4	2725
6915	TBXA2R	78
3475	IFRD1	1568
56891	LGALS14	101
1352	COX10	1491
9569	GTF2IRD1	8037
54623	PAF1	3086
27072	VPS41	5845
9912	ARHGAP44	670
60528	ELAC2	3832
85477	SCIN	70
414	ARSD	2369
8228	PNPLA4	1867
8735	MYH13	8
79602	ADIPOR2	7693
51265	CDKL3	84
151531	UPP2	61
57787	MARK4	8013
8842	PROM1	2659
115098	CCDC124	2274
90273	CEACAM21	7
5048	PAFAH1B1	8007
4843	NOS2	74
1770	DNAH9	403
9703	KIAA0100	7014
8522	GAS7	237
79090	TRAPPC6A	498
4145	MATK	217
974	CD79B	15
6329	SCN4A	149
54879	ST7L	794
8277	TKTL1	45
5080	PAX6	7
113000	RPUSD1	1081
64285	RHBDF1	1499
55692	LUC7L	3743
9254	CACNA2D2	4156
8938	BAIAP3	166
115939	TSR3	1181
9091	PIGQ	3214
57585	CRAMP1	1540
7005	TEAD3	3160
6401	SELE	4
55735	DNAJC11	1671
2328	FMO3	1
29116	MYLIP	2561
27035	NOX1	99
1870	E2F2	1380
5689	PSMB1	11638
6853	SYN1	791
3720	JARID2	5032
6792	CDKL5	1021
57172	CAMK1G	168
728642	CDK11A	38
65220	NADK	2848
9940	DLEC1	32
9265	CYTH3	2889
53616	ADAM22	901
6856	SYPL1	8086
1534	CYB561	825
9043	SPAG9	5185
1951	CELSR3	983
10157	AASS	2511
55200	PLEKHG6	603
51188	SS18L2	1494
84954	MPND	720
4257	MGST1	1165
1407	CRY1	3664
8993	PGLYRP1	3
4784	NFIX	571
6482	ST3GAL1	2318
64386	MMP25	28
9235	IL32	563
5310	PKD1	2806
23542	MAPK8IP2	70
9862	MED24	6449
23221	RHOBTB2	1376
54497	HEATR5B	1884
7095	SEC62	33162
6224	RPS20	60154
7812	CSDE1	63458
9690	UBE3C	4663
5980	REV3L	4129
10178	TENM1	2
5081	PAX7	6
10747	MASP2	226
389434	IYD	2
199870	FAM76A	1464
80342	TRAF3IP3	15
29954	POMT2	3025
51534	VTA1	6077
51085	MLXIPL	2211
9031	BAZ1B	22480
10048	RANBP9	4849
51513	ETV7	6
83932	SPRTN	809
51603	EEF1AKNMT	1505
8798	DYRK4	1769
7756	ZNF207	13089
7384	UQCRC1	10744
83930	STARD3NL	6421
928	CD9	6025
57467	HHATL	27
9918	NCAPD2	25851
25900	IFFO1	734
2696	GIPR	11
51533	PHF7	298
56920	SEMA3G	605
11188	NISCH	12400
23166	STAB1	592
80199	FUZ	355
6540	SLC6A13	58
3423	IDS	389
5646	PRSS3	26
7752	ZNF200	999
920	CD4	1229
10233	LRRC23	1373
695	BTK	37
3077	HFE	189
22955	SCMH1	5427
2534	FYN	10334
3097	HIVEP2	2515
2326	FMO1	37
6924	ELOA	4573
11313	LYPLA2	6171
1185	CLCN6	2521
9902	MRC2	4517
6534	SLC6A7	2
10867	TSPAN9	4639
55727	BTBD7	3494
9546	APBA3	724
54903	MKS1	1615
51099	ABHD5	2932
3730	ANOS1	280
26993	AKAP8L	2483
54799	MBTD1	5297
51096	UTP18	2272
54476	RNF216	5992
54902	TTC19	3706
5725	PTBP1	44868
8193	DPF1	794
9066	SYT7	476
23395	LARS2	2301
5286	PIK3C2A	11862
5329	PLAUR	737
54443	ANLN	7660
58525	WIZ	7929
23637	RABGAP1	7119
1634	DCN	3699
54814	QPCTL	483
5536	PPP5C	3983
23177	CEP68	3680
8491	MAP4K3	6008
27033	ZBTB32	12
7305	TYROBP	536
57146	TMEM159	170
2556	GABRA3	4
672	BRCA1	3590
2067	ERCC1	2744
933	CD22	761
7869	SEMA3B	5899
51360	MBTPS2	4352
4007	PRICKLE3	334
4057	LTF	14
2137	EXTL3	8095
9971	NR1H4	18
60481	ELOVL5	9273
240	ALOX5	217
8284	KDM5D	2667
57658	CALCOCO1	3567
55148	UBR7	4086
11183	MAP4K5	3312
30845	EHD3	617
5704	PSMC4	4646
23324	MAN2B2	1039
57709	SLC7A14	101
5010	CLDN11	252
51629	SLC25A39	7558
9961	MVP	432
51667	NUB1	5232
5238	PGM3	3147
112611	RWDD2A	493
1195	CLK1	9204
55703	POLR3B	1393
23357	ANGEL1	1140
9604	RNF14	2191
1774	DNASE1L1	209
1663	DDX11	2951
50865	HEBP1	1712
9052	GPRC5A	130
10046	MAMLD1	350
923	CD6	38
10460	TACC3	7010
23376	UFL1	3108
23649	POLA2	399
23144	ZC3H3	4148
823	CAPN1	4413
55	ACP3	131
4190	MDH1	8514
10463	SLC30A9	6514
10903	MTMR11	827
1355	COX15	3948
440193	CCDC88C	8641
10138	YAF2	3431
10771	ZMYND11	5907
7454	WAS	176
1800	DPEP1	379
637	BID	944
9782	MATR3	570
29881	NPC1L1	40
64132	XYLT2	1854
84220	RGPD5	23
81551	STMN4	121
23386	NUDCD3	5574
55349	CHDH	505
53832	IL20RA	171
1179	CLCA1	1
22802	CLCA4	2
55830	GLT8D1	5462
27032	ATP2C1	14838
3479	IGF1	12
92745	SLC38A5	8
10928	RALBP1	6346
22902	RUFY3	3885
1272	CNTN1	146
6556	SLC11A1	73
25937	WWTR1	8394
8540	AGPS	4149
63932	CXorf56	1485
477	ATP1A2	374
55622	TTC27	750
147948	ZNF582	230
23584	VSIG2	78
23187	PHLDB1	2634
8685	MARCO	4
