Entrezgene	gene_name	expression
7105	TSPAN6	12368
64102	TNMD	52
8813	DPM1	3379
57147	SCYL3	1420
55732	C1orf112	1470
2268	FGR	252
3075	CFH	536
2519	FUCA2	1979
2729	GCLC	1136
4800	NFYA	3840
90529	STPG1	1084
57185	NIPAL3	2443
81887	LAS1L	5159
22875	ENPP4	1118
6405	SEMA3F	22242
1080	CFTR	34
54467	ANKIB1	5991
1595	CYP51A1	136
889	KRIT1	823
5893	RAD52	1171
572	BAD	699
51056	LAP3	2851
4267	CD99	4977
9957	HS3ST1	167
26	AOC1	37
51384	WNT16	5
23072	HECW1	5
8379	MAD1L1	16
3927	LASP1	12780
29916	SNX11	1583
55365	TMEM176A	2206
4074	M6PR	3371
90293	KLHL13	995
56603	CYP26B1	327
3382	ICA1	145
79007	DBNDD1	633
57679	ALS2	2753
843	CASP10	167
8837	CFLAR	5099
7035	TFPI	27
55471	NDUFAF7	1392
10181	RBM5	7657
9108	MTMR7	1109
6542	SLC7A2	12974
381	ARF5	3696
23098	SARM1	1035
26073	POLDIP2	9759
23129	PLXND1	6086
204	AK2	8022
952	CD38	230
2288	FKBP4	7787
23028	KDM1A	17460
10180	RBM6	6633
84254	CAMKK1	351
5965	RECQL	1466
55610	VPS50	1430
126393	HSPB6	514
115703	ARHGAP33	4578
4706	NDUFAB1	4757
5166	PDK4	6064
85413	SLC22A16	13
51364	ZMYND10	67
340273	ABCB5	2
170302	ARX	3
10165	SLC25A13	4055
7982	ST7	3702
996	CDC27	12632
6521	SLC4A1	6
799	CALCR	20
3052	HCCS	1357
1856	DVL2	9777
64063	PRSS22	6
5976	UPF1	7826
8935	SKAP2	1703
292	SLC25A5	6652
55013	MCUB	471
3207	HOXA11	8036
5439	POLR2J	3099
56919	DHX33	5241
4222	MEOX1	38804
221981	THSD7A	1501
3980	LIG3	6569
79657	RPAP3	5992
6296	ACSM3	497
81691	REXO5	361
57019	CIAPIN1	2794
56928	SPPL2B	4022
80256	FAM214B	1167
51226	COPZ2	378
5577	PRKAR2B	3492
10943	MSL3	3103
1387	CREBBP	26112
9256	TSPOAP1	2503
4353	MPO	107
5444	PON1	33
6936	GCFC2	2758
84058	WDR54	3082
54677	CROT	1115
5244	ABCB4	1049
55904	KMT2E	21881
57414	RHBDD2	11706
30812	SOX8	1453
25998	IBTK	3898
7748	ZNF195	5179
23077	MYCBP2	3356
26224	FBXL3	6705
3683	ITGAL	164
5164	PDK2	4087
3675	ITGA3	4793
7543	ZFX	4369
3920	LAMP2	12142
3674	ITGA2B	109
51666	ASB4	20
51573	GDE1	5591
55049	REX1BD	1979
9244	CRLF1	443
114881	OSBPL7	1640
26022	TMEM98	9622
51087	YBX2	1871
9020	MAP3K14	807
6833	ABCC8	3031
54972	TMEM132A	16646
163	AP2B1	28001
6863	TAC1	267
10127	ZNF263	2296
6376	CX3CL1	1080
64847	SPATA20	5839
8913	CACNA1G	2504
51330	TNFRSF12A	597
1750	DLX6	7
4293	MAP3K9	839
5898	RALA	7368
55971	BAIAP2L1	2326
80853	KDM7A	2785
2115	ETV1	12271
55750	AGK	3989
221	ALDH3B1	111
55001	TTC22	171
57157	PHTF2	7746
10344	CCL26	5
9855	FARP2	3505
10083	USH1C	1254
79017	GGCT	1091
10926	DBF4	2811
6915	TBXA2R	88
3475	IFRD1	1571
56891	LGALS14	62
1352	COX10	2617
9569	GTF2IRD1	13314
54623	PAF1	3862
27072	VPS41	7990
9912	ARHGAP44	1138
60528	ELAC2	8795
85477	SCIN	25
414	ARSD	1850
8228	PNPLA4	553
8735	MYH13	7
79602	ADIPOR2	9266
51265	CDKL3	127
151531	UPP2	11
10942	PRSS21	4
57787	MARK4	7085
8842	PROM1	928
115098	CCDC124	4024
90273	CEACAM21	13
5048	PAFAH1B1	16913
4843	NOS2	36
1770	DNAH9	645
9703	KIAA0100	12061
9058	SLC13A2	9
8522	GAS7	6087
79090	TRAPPC6A	1168
4145	MATK	35
974	CD79B	48
6329	SCN4A	192
54879	ST7L	948
8277	TKTL1	22
5080	PAX6	6
113000	RPUSD1	1277
64285	RHBDF1	618
55692	LUC7L	5450
9254	CACNA2D2	14213
8938	BAIAP3	262
115939	TSR3	2178
9091	PIGQ	5185
57585	CRAMP1	1658
7005	TEAD3	2657
6401	SELE	10
55735	DNAJC11	1622
2328	FMO3	12
29116	MYLIP	4109
27035	NOX1	262
1870	E2F2	2022
5689	PSMB1	14402
6853	SYN1	241
3720	JARID2	4805
6792	CDKL5	625
57172	CAMK1G	810
728642	CDK11A	72
65220	NADK	2316
9940	DLEC1	29
9265	CYTH3	3693
53616	ADAM22	985
6856	SYPL1	11184
1534	CYB561	1467
9043	SPAG9	13333
1951	CELSR3	1310
10157	AASS	2452
55200	PLEKHG6	531
51188	SS18L2	2109
84954	MPND	718
4257	MGST1	7936
1407	CRY1	1611
8993	PGLYRP1	1
4784	NFIX	1265
6482	ST3GAL1	3556
64386	MMP25	28
9235	IL32	903
5310	PKD1	3449
23542	MAPK8IP2	5661
9862	MED24	9358
23221	RHOBTB2	2893
54497	HEATR5B	2073
7095	SEC62	21032
6224	RPS20	96764
7812	CSDE1	53629
9690	UBE3C	4690
5980	REV3L	6925
10178	TENM1	589
5081	PAX7	6
10747	MASP2	144
389434	IYD	2
199870	FAM76A	1028
80342	TRAF3IP3	25
29954	POMT2	3176
51534	VTA1	6355
51085	MLXIPL	1796
9031	BAZ1B	16792
10048	RANBP9	3920
51513	ETV7	33
83932	SPRTN	1949
51603	EEF1AKNMT	2726
8798	DYRK4	2318
7756	ZNF207	19271
7384	UQCRC1	11468
83930	STARD3NL	6349
928	CD9	9601
57467	HHATL	539
9918	NCAPD2	30312
25900	IFFO1	1410
2696	GIPR	24
51533	PHF7	140
56920	SEMA3G	1159
11188	NISCH	28747
23166	STAB1	1056
80199	FUZ	964
6540	SLC6A13	180
3423	IDS	258
5646	PRSS3	172
7752	ZNF200	1830
920	CD4	1628
10233	LRRC23	966
695	BTK	79
3077	HFE	96
22955	SCMH1	4977
2534	FYN	11339
3097	HIVEP2	1556
2326	FMO1	112
6924	ELOA	6393
11313	LYPLA2	6078
1185	CLCN6	1793
9902	MRC2	22311
6534	SLC6A7	2
10867	TSPAN9	7285
55727	BTBD7	3196
9546	APBA3	857
54903	MKS1	2579
51099	ABHD5	3300
3730	ANOS1	1630
26993	AKAP8L	2214
54799	MBTD1	8387
51096	UTP18	3938
54476	RNF216	5662
54902	TTC19	7506
5725	PTBP1	48906
8193	DPF1	807
9066	SYT7	2024
23395	LARS2	2442
5286	PIK3C2A	8825
5329	PLAUR	841
54443	ANLN	7944
58525	WIZ	10455
23637	RABGAP1	7114
1634	DCN	7756
54814	QPCTL	449
5536	PPP5C	4903
23177	CEP68	4743
8491	MAP4K3	7474
27033	ZBTB32	13
7305	TYROBP	1370
57146	TMEM159	536
2556	GABRA3	49
672	BRCA1	4906
2067	ERCC1	3005
933	CD22	1346
7869	SEMA3B	1042
51360	MBTPS2	3519
4007	PRICKLE3	216
4057	LTF	1
2137	EXTL3	9200
60481	ELOVL5	5478
240	ALOX5	928
8284	KDM5D	4039
57658	CALCOCO1	7931
55148	UBR7	2792
11183	MAP4K5	2226
30845	EHD3	927
5704	PSMC4	6803
23324	MAN2B2	1834
57709	SLC7A14	539
5010	CLDN11	1213
51629	SLC25A39	11154
9961	MVP	780
51667	NUB1	3998
5238	PGM3	2355
112611	RWDD2A	325
1195	CLK1	8185
55703	POLR3B	1657
23357	ANGEL1	1604
9604	RNF14	2816
1774	DNASE1L1	190
1663	DDX11	4415
50865	HEBP1	3585
