Entrezgene	gene_name	expression
7105	TSPAN6	8016
64102	TNMD	4
8813	DPM1	3381
57147	SCYL3	1749
55732	C1orf112	1713
2268	FGR	108
3075	CFH	426
2519	FUCA2	2951
2729	GCLC	1211
4800	NFYA	3400
90529	STPG1	425
57185	NIPAL3	608
81887	LAS1L	3260
22875	ENPP4	891
6405	SEMA3F	9219
1080	CFTR	34
54467	ANKIB1	5763
1595	CYP51A1	24
889	KRIT1	1049
5893	RAD52	732
572	BAD	440
51056	LAP3	2655
4267	CD99	5646
9957	HS3ST1	481
26	AOC1	1
23072	HECW1	3
8379	MAD1L1	9
3927	LASP1	6968
29916	SNX11	1211
55365	TMEM176A	659
4074	M6PR	914
90293	KLHL13	185
56603	CYP26B1	1397
3382	ICA1	1236
79007	DBNDD1	1995
57679	ALS2	2685
843	CASP10	232
8837	CFLAR	4981
7035	TFPI	510
55471	NDUFAF7	1118
10181	RBM5	8058
9108	MTMR7	598
6542	SLC7A2	3024
381	ARF5	4546
23098	SARM1	344
26073	POLDIP2	5640
23129	PLXND1	2392
204	AK2	6366
952	CD38	245
2288	FKBP4	5852
23028	KDM1A	6716
10180	RBM6	6295
84254	CAMKK1	316
5965	RECQL	324
55610	VPS50	1892
126393	HSPB6	185
115703	ARHGAP33	4399
4706	NDUFAB1	3823
5166	PDK4	2179
85413	SLC22A16	31
51364	ZMYND10	152
170302	ARX	2
10165	SLC25A13	2025
7982	ST7	1476
996	CDC27	5361
6521	SLC4A1	6
799	CALCR	11
3052	HCCS	1395
1856	DVL2	4726
64063	PRSS22	11
5976	UPF1	5566
8935	SKAP2	2928
292	SLC25A5	5627
55013	MCUB	771
3207	HOXA11	11547
5439	POLR2J	5585
56919	DHX33	2706
4222	MEOX1	20201
221981	THSD7A	222
3980	LIG3	2022
79657	RPAP3	2393
6296	ACSM3	589
81691	REXO5	273
57019	CIAPIN1	2310
56928	SPPL2B	4750
80256	FAM214B	1034
51226	COPZ2	202
5577	PRKAR2B	2606
10943	MSL3	3498
1387	CREBBP	9416
9256	TSPOAP1	1688
4353	MPO	32
5444	PON1	56
6936	GCFC2	2562
84058	WDR54	2902
54677	CROT	1663
5244	ABCB4	305
55904	KMT2E	11271
57414	RHBDD2	6750
30812	SOX8	314
25998	IBTK	2541
7748	ZNF195	1756
23077	MYCBP2	2410
26224	FBXL3	4597
3683	ITGAL	166
5164	PDK2	1420
3675	ITGA3	2165
7543	ZFX	4427
3920	LAMP2	6295
3674	ITGA2B	170
51666	ASB4	19
51573	GDE1	1889
55049	REX1BD	2452
9244	CRLF1	288
114881	OSBPL7	571
26022	TMEM98	9828
51087	YBX2	1236
9020	MAP3K14	565
6833	ABCC8	160
54972	TMEM132A	3944
163	AP2B1	12863
6863	TAC1	46
10127	ZNF263	1540
6376	CX3CL1	503
64847	SPATA20	2331
8913	CACNA1G	431
51330	TNFRSF12A	237
1750	DLX6	30
4293	MAP3K9	629
5898	RALA	6774
55971	BAIAP2L1	1334
80853	KDM7A	1544
2115	ETV1	15278
55750	AGK	3515
221	ALDH3B1	45
55001	TTC22	1
57157	PHTF2	5482
10344	CCL26	1
9855	FARP2	2688
10083	USH1C	68
79017	GGCT	1776
10926	DBF4	2580
6915	TBXA2R	195
3475	IFRD1	1636
56891	LGALS14	286
1352	COX10	1758
9569	GTF2IRD1	6208
54623	PAF1	4414
27072	VPS41	6657
9912	ARHGAP44	563
60528	ELAC2	4639
85477	SCIN	22
414	ARSD	1144
8228	PNPLA4	1078
8735	MYH13	5
79602	ADIPOR2	5389
51265	CDKL3	169
151531	UPP2	29
10942	PRSS21	5
57787	MARK4	6175
8842	PROM1	1298
115098	CCDC124	4852
90273	CEACAM21	13
5048	PAFAH1B1	9136
4843	NOS2	171
1770	DNAH9	303
9703	KIAA0100	4311
9058	SLC13A2	1
8522	GAS7	1977
79090	TRAPPC6A	1193
4145	MATK	169
974	CD79B	35
6329	SCN4A	172
54879	ST7L	658
8277	TKTL1	18
113000	RPUSD1	817
64285	RHBDF1	491
55692	LUC7L	4461
9254	CACNA2D2	1463
8938	BAIAP3	76
115939	TSR3	1412
9091	PIGQ	2028
57585	CRAMP1	1996
7005	TEAD3	2078
6401	SELE	6
55735	DNAJC11	470
2328	FMO3	14
29116	MYLIP	2763
27035	NOX1	363
1870	E2F2	1163
5689	PSMB1	11255
6853	SYN1	393
3720	JARID2	5141
6792	CDKL5	902
57172	CAMK1G	279
728642	CDK11A	25
65220	NADK	1083
7021	TFAP2B	1
9940	DLEC1	20
9265	CYTH3	3218
53616	ADAM22	602
6856	SYPL1	3919
1534	CYB561	981
9043	SPAG9	7298
1951	CELSR3	208
10157	AASS	2917
55200	PLEKHG6	138
51188	SS18L2	1555
84954	MPND	580
4257	MGST1	1001
1407	CRY1	1767
8993	PGLYRP1	3
4784	NFIX	584
6482	ST3GAL1	1708
64386	MMP25	36
9235	IL32	1431
5310	PKD1	1192
23542	MAPK8IP2	309
9862	MED24	10091
23221	RHOBTB2	902
54497	HEATR5B	2120
7095	SEC62	16160
6224	RPS20	69650
7812	CSDE1	43637
9690	UBE3C	3291
5980	REV3L	2464
10178	TENM1	22
10747	MASP2	136
389434	IYD	2
199870	FAM76A	1518
80342	TRAF3IP3	46
29954	POMT2	1050
51534	VTA1	5327
51085	MLXIPL	187
9031	BAZ1B	19880
10048	RANBP9	3181
51513	ETV7	23
83932	SPRTN	976
51603	EEF1AKNMT	5111
8798	DYRK4	1664
7756	ZNF207	13948
7384	UQCRC1	12185
83930	STARD3NL	5506
928	CD9	4498
57467	HHATL	33
9918	NCAPD2	13663
25900	IFFO1	973
2696	GIPR	21
51533	PHF7	213
56920	SEMA3G	861
11188	NISCH	12585
23166	STAB1	664
80199	FUZ	386
6540	SLC6A13	149
3423	IDS	123
5646	PRSS3	31
7752	ZNF200	1246
920	CD4	800
10233	LRRC23	801
695	BTK	41
3077	HFE	76
22955	SCMH1	3646
2534	FYN	8832
3097	HIVEP2	1965
2326	FMO1	87
6924	ELOA	2288
11313	LYPLA2	4352
1185	CLCN6	782
9902	MRC2	3672
10867	TSPAN9	3347
55727	BTBD7	2497
9546	APBA3	921
54903	MKS1	1858
51099	ABHD5	2583
3730	ANOS1	104
26993	AKAP8L	1987
54799	MBTD1	6929
51096	UTP18	3044
54476	RNF216	4258
54902	TTC19	5003
5725	PTBP1	35010
8193	DPF1	588
9066	SYT7	180
23395	LARS2	1277
5286	PIK3C2A	3169
5329	PLAUR	760
54443	ANLN	4059
58525	WIZ	9845
23637	RABGAP1	4716
1634	DCN	1814
54814	QPCTL	261
5536	PPP5C	3161
23177	CEP68	1995
8491	MAP4K3	7434
27033	ZBTB32	17
7305	TYROBP	605
57146	TMEM159	738
2556	GABRA3	1
672	BRCA1	3051
2067	ERCC1	2871
933	CD22	818
7869	SEMA3B	1845
51360	MBTPS2	1651
4007	PRICKLE3	162
4057	LTF	31
2137	EXTL3	3940
60481	ELOVL5	4522
240	ALOX5	53
8284	KDM5D	7
57658	CALCOCO1	6968
55148	UBR7	2453
11183	MAP4K5	2536
30845	EHD3	749
5704	PSMC4	7019
23324	MAN2B2	956
57709	SLC7A14	11
5010	CLDN11	78
51629	SLC25A39	12177
9961	MVP	415
51667	NUB1	5069
5238	PGM3	2201
112611	RWDD2A	437
1195	CLK1	7272
55703	POLR3B	1156
23357	ANGEL1	599
9604	RNF14	3334
1774	DNASE1L1	119
1663	DDX11	3715
50865	HEBP1	1254
9052	GPRC5A	257
10046	MAMLD1	207
923	CD6	42
10460	TACC3	9289
23376	UFL1	2531
23649	POLA2	597
23144	ZC3H3	4979
823	CAPN1	5092
55	ACP3	1
4190	MDH1	8836
10463	SLC30A9	7491
10903	MTMR11	1389
1355	COX15	2648
440193	CCDC88C	3974
10138	YAF2	3200
10771	ZMYND11	4544
7454	WAS	253
1800	DPEP1	331
637	BID	1667
9782	MATR3	544
29881	NPC1L1	9
64132	XYLT2	2104
84220	RGPD5	11
81551	STMN4	33
23386	NUDCD3	6654
55349	CHDH	206
53832	IL20RA	942
22802	CLCA4	1
55830	GLT8D1	5520
27032	ATP2C1	19670
3479	IGF1	21
92745	SLC38A5	47
10928	RALBP1	6616
22902	RUFY3	3288
1272	CNTN1	40
6556	SLC11A1	34
25937	WWTR1	4137
8540	AGPS	2502
63932	CXorf56	1544
477	ATP1A2	90
55622	TTC27	1268
147948	ZNF582	205
23584	VSIG2	33
23187	PHLDB1	1133
8685	MARCO	4
1591	CYP24A1	9
56981	PRDM11	1441
57586	SYT13	632
6591	SNAI2	1554
972	CD74	20235
3082	HGF	38
54764	ZRANB1	884
23154	NCDN	2438
25960	ADGRA2	1827
55734	ZFP64	2328
4331	MNAT1	825
23034	SAMD4A	89
864	RUNX3	66
4361	MRE11	2099
58473	PLEKHB1	644
1992	SERPINB1	1044
64816	CYP3A43	5
11136	SLC7A9	93
6683	SPAST	4831
9369	NRXN3	2245
114879	OSBPL5	686
9716	AQR	5857
1373	CPS1	83
2273	FHL1	6507
51507	RTF2	4099
55655	NLRP2	177
57210	SLC45A4	1814
9921	RNF10	9838
55778	ZNF839	133
64429	ZDHHC6	3103
57476	GRAMD1B	1339
6050	RNH1	1811
4719	NDUFS1	6458
9821	RB1CC1	6828
23071	ERP44	3213
211	ALAS1	2422
330	BIRC3	60
11215	AKAP11	3319
51022	GLRX2	5021
6617	SNAPC1	713
51071	DERA	1766
11171	STRAP	12012
1244	ABCC2	43
50619	DEF6	394
51177	PLEKHO1	25938
2730	GCLM	756
23304	UBR2	2765
30846	EHD2	3017
55635	DEPDC1	2231
25901	CCDC28A	1502
58528	RRAGD	2339
3298	HSF2	4341
51230	PHF20	4978
8630	HSD17B6	51
10062	NR1H3	252
1890	TYMP	162
29781	NCAPH2	3988
10953	TOMM34	5247
11231	SEC63	8290
23633	KPNA6	7082
7431	VIM	40007
355	FAS	875
8635	RNASET2	373
960	CD44	225
3755	KCNG1	4648
56895	AGPAT4	2197
57823	SLAMF7	95
11119	BTN3A1	1136
4285	MIPEP	1117
5583	PRKCH	464
3645	INSRR	117
3459	IFNGR1	3171
11285	B4GALT7	1637
9047	SH2D2A	307
7444	VRK2	221
7133	TNFRSF1B	375
55591	VEZT	5148
5452	POU2F2	310
65980	BRD9	2871
6642	SNX1	6999
9519	TBPL1	1434
56938	ARNTL2	712
9774	BCLAF1	16390
55334	SLC39A9	3504
286	ANK1	56
51106	TFB1M	487
9135	RABEP1	3533
3149	HMGB3	12705
23279	NUP160	5790
578	BAK1	1033
4593	MUSK	14
22807	IKZF2	231
2896	GRN	8937
51306	FAM13B	2753
57514	ARHGAP31	683
55166	CENPQ	1385
6301	SARS1	8165
8498	RANBP3	6156
5926	ARID4A	2246
7260	EIPR1	1360
10908	PNPLA6	3276
8100	IFT88	2542
56052	ALG1	316
55596	ZCCHC8	2844
10061	ABCF2	2966
54480	CHPF2	1153
57554	LRRC7	3859
2530	FUT8	297
55236	UBA6	4353
9846	GAB2	719
535	ATP6V0A1	3197
8554	PIAS1	6711
9497	SLC4A7	3371
321	APBA2	5061
5606	MAP2K3	1545
79645	EFCAB1	1828
9168	TMSB10	88480
28990	ASTE1	630
25897	RNF19A	4806
8504	PEX3	1108
11345	GABARAPL2	6294
4653	MYOC	24
26751	SH3YL1	3209
84908	FAM136A	4107
7414	VCL	9496
55789	DEPDC1B	2725
23604	DAPK2	302
8439	NSMAF	1966
159	ADSS2	1487
26228	STAP1	18
7077	TIMP2	22126
5981	RFC1	6619
55773	TBC1D23	2824
8452	CUL3	4707
9172	MYOM2	711
5009	OTC	2
10858	CYP46A1	173
26009	ZZZ3	3479
6570	SLC18A1	1
9099	USP2	57
846	CASR	4
27175	TUBG2	1519
51121	RPL26L1	2700
