Entrezgene	gene_name	expression
7105	TSPAN6	17855
64102	TNMD	1457
8813	DPM1	3627
57147	SCYL3	1414
55732	C1orf112	1716
2268	FGR	94
3075	CFH	8557
2519	FUCA2	2638
2729	GCLC	1970
4800	NFYA	7459
90529	STPG1	1289
57185	NIPAL3	2670
81887	LAS1L	4314
22875	ENPP4	1973
6405	SEMA3F	15460
1080	CFTR	46
54467	ANKIB1	6443
1595	CYP51A1	159
889	KRIT1	887
5893	RAD52	1502
572	BAD	587
51056	LAP3	4702
4267	CD99	8737
9957	HS3ST1	3574
26	AOC1	204
51384	WNT16	186
23072	HECW1	274
8379	MAD1L1	9
3927	LASP1	14903
29916	SNX11	1586
55365	TMEM176A	512
4074	M6PR	2768
90293	KLHL13	4829
56603	CYP26B1	2447
3382	ICA1	655
79007	DBNDD1	3157
57679	ALS2	4966
843	CASP10	381
8837	CFLAR	6176
7035	TFPI	1028
55471	NDUFAF7	1370
10181	RBM5	9584
9108	MTMR7	643
6542	SLC7A2	3146
381	ARF5	4675
23098	SARM1	1163
26073	POLDIP2	6650
23129	PLXND1	7899
204	AK2	10629
952	CD38	125
2288	FKBP4	7144
23028	KDM1A	29649
10180	RBM6	5163
84254	CAMKK1	247
5965	RECQL	1870
55610	VPS50	2663
126393	HSPB6	839
115703	ARHGAP33	3496
4706	NDUFAB1	5148
5166	PDK4	2715
85413	SLC22A16	42
51364	ZMYND10	106
340273	ABCB5	15
170302	ARX	310
10165	SLC25A13	2828
7982	ST7	4053
996	CDC27	8713
6521	SLC4A1	15
799	CALCR	175
3052	HCCS	1479
1856	DVL2	9108
64063	PRSS22	95
5976	UPF1	14687
8935	SKAP2	1988
292	SLC25A5	13429
55013	MCUB	502
3207	HOXA11	10334
5439	POLR2J	2477
56919	DHX33	4714
4222	MEOX1	4424
221981	THSD7A	3861
3980	LIG3	7902
79657	RPAP3	4618
6296	ACSM3	1776
81691	REXO5	419
57019	CIAPIN1	4937
56928	SPPL2B	4609
80256	FAM214B	1202
51226	COPZ2	579
5577	PRKAR2B	4768
10943	MSL3	4017
1387	CREBBP	44393
9256	TSPOAP1	3206
4353	MPO	23
5444	PON1	6
6936	GCFC2	3681
84058	WDR54	3502
54677	CROT	1835
5244	ABCB4	525
55904	KMT2E	27852
57414	RHBDD2	8850
30812	SOX8	1988
25998	IBTK	6772
7748	ZNF195	6525
23077	MYCBP2	7640
26224	FBXL3	4919
3683	ITGAL	244
5164	PDK2	3745
3675	ITGA3	2868
7543	ZFX	9728
3920	LAMP2	13501
3674	ITGA2B	144
51666	ASB4	12
51573	GDE1	6380
55049	REX1BD	2468
9244	CRLF1	1409
114881	OSBPL7	1276
26022	TMEM98	13393
51087	YBX2	422
9020	MAP3K14	999
6833	ABCC8	215
10368	CACNG3	1
54972	TMEM132A	11132
163	AP2B1	31869
6863	TAC1	154
10127	ZNF263	3329
6376	CX3CL1	1326
64847	SPATA20	4423
8913	CACNA1G	4827
51330	TNFRSF12A	705
1750	DLX6	55
4293	MAP3K9	1740
5898	RALA	8289
55971	BAIAP2L1	2236
80853	KDM7A	4687
2115	ETV1	19746
55750	AGK	3737
221	ALDH3B1	247
55001	TTC22	346
57157	PHTF2	4062
10344	CCL26	11
9855	FARP2	5381
10083	USH1C	915
79017	GGCT	1039
10926	DBF4	2572
6915	TBXA2R	147
3475	IFRD1	948
1352	COX10	2558
9569	GTF2IRD1	5829
54623	PAF1	5194
27072	VPS41	7228
9912	ARHGAP44	1347
60528	ELAC2	7237
85477	SCIN	583
414	ARSD	3864
8228	PNPLA4	1884
8735	MYH13	36
79602	ADIPOR2	5153
51265	CDKL3	101
151531	UPP2	54
10942	PRSS21	117
57787	MARK4	7476
8842	PROM1	7558
115098	CCDC124	3900
90273	CEACAM21	13
5048	PAFAH1B1	12863
4843	NOS2	143
1770	DNAH9	625
9703	KIAA0100	13332
9058	SLC13A2	1
8522	GAS7	4182
79090	TRAPPC6A	908
4145	MATK	28
974	CD79B	9
6329	SCN4A	103
54879	ST7L	1595
8277	TKTL1	80
5080	PAX6	2
113000	RPUSD1	1542
64285	RHBDF1	1767
55692	LUC7L	6297
9254	CACNA2D2	4437
8938	BAIAP3	659
115939	TSR3	1764
9091	PIGQ	3655
57585	CRAMP1	2752
7005	TEAD3	3878
6401	SELE	27
55735	DNAJC11	2690
2328	FMO3	37
29116	MYLIP	4788
27035	NOX1	96
1870	E2F2	1834
5689	PSMB1	9921
6853	SYN1	309
3720	JARID2	7226
6792	CDKL5	2535
57172	CAMK1G	845
728642	CDK11A	37
65220	NADK	3755
7021	TFAP2B	12
9940	DLEC1	60
9265	CYTH3	9359
53616	ADAM22	5405
6856	SYPL1	8795
1534	CYB561	1662
9043	SPAG9	14409
1951	CELSR3	483
10157	AASS	4335
55200	PLEKHG6	174
51188	SS18L2	1253
84954	MPND	783
4257	MGST1	2348
1407	CRY1	3550
8993	PGLYRP1	2
4784	NFIX	32280
6482	ST3GAL1	3427
64386	MMP25	54
9235	IL32	756
5310	PKD1	6985
23542	MAPK8IP2	80
9862	MED24	11530
23221	RHOBTB2	1681
54497	HEATR5B	5053
7095	SEC62	17102
6224	RPS20	98810
7812	CSDE1	74107
9690	UBE3C	6564
5980	REV3L	10007
10178	TENM1	4510
5081	PAX7	898
10747	MASP2	194
389434	IYD	23
199870	FAM76A	1428
80342	TRAF3IP3	49
29954	POMT2	3370
51534	VTA1	7849
51085	MLXIPL	285
9031	BAZ1B	20988
10048	RANBP9	5233
51513	ETV7	21
83932	SPRTN	1457
51603	EEF1AKNMT	3142
8798	DYRK4	1329
