Entrezgene	gene_name	expression
7105	TSPAN6	20217
64102	TNMD	32
8813	DPM1	4369
57147	SCYL3	1526
55732	C1orf112	1572
2268	FGR	122
3075	CFH	1111
2519	FUCA2	2934
2729	GCLC	1927
4800	NFYA	5574
90529	STPG1	1276
57185	NIPAL3	2298
81887	LAS1L	5285
22875	ENPP4	943
6405	SEMA3F	24539
1080	CFTR	78
54467	ANKIB1	6119
1595	CYP51A1	127
889	KRIT1	1314
5893	RAD52	1321
572	BAD	922
51056	LAP3	5000
4267	CD99	10325
9957	HS3ST1	761
26	AOC1	21
51384	WNT16	13
23072	HECW1	51
8379	MAD1L1	26
3927	LASP1	13230
29916	SNX11	1536
55365	TMEM176A	1428
4074	M6PR	3226
90293	KLHL13	2224
56603	CYP26B1	642
3382	ICA1	509
79007	DBNDD1	2062
57679	ALS2	4250
843	CASP10	473
8837	CFLAR	2733
7035	TFPI	894
55471	NDUFAF7	1789
10181	RBM5	10778
9108	MTMR7	379
6542	SLC7A2	3223
381	ARF5	8658
23098	SARM1	721
26073	POLDIP2	8949
23129	PLXND1	13993
204	AK2	13769
952	CD38	181
2288	FKBP4	9408
23028	KDM1A	25810
10180	RBM6	7448
84254	CAMKK1	253
5965	RECQL	1244
55610	VPS50	2597
126393	HSPB6	475
115703	ARHGAP33	5832
4706	NDUFAB1	7147
5166	PDK4	4014
85413	SLC22A16	46
51364	ZMYND10	97
340273	ABCB5	3
170302	ARX	1
10165	SLC25A13	3773
7982	ST7	3514
996	CDC27	10294
6521	SLC4A1	11
799	CALCR	164
3052	HCCS	2187
1856	DVL2	9375
64063	PRSS22	15
5976	UPF1	13689
8935	SKAP2	1738
292	SLC25A5	11688
55013	MCUB	513
3207	HOXA11	12283
5439	POLR2J	4002
56919	DHX33	5042
4222	MEOX1	14727
221981	THSD7A	2600
3980	LIG3	7896
79657	RPAP3	5502
6296	ACSM3	2297
81691	REXO5	647
57019	CIAPIN1	6474
56928	SPPL2B	5621
80256	FAM214B	1156
51226	COPZ2	464
5577	PRKAR2B	4424
10943	MSL3	4645
1387	CREBBP	29583
9256	TSPOAP1	3814
4353	MPO	46
