Entrezgene	gene_name	expression
7105	TSPAN6	12336
64102	TNMD	4
8813	DPM1	2879
57147	SCYL3	1363
55732	C1orf112	1294
2268	FGR	108
3075	CFH	859
2519	FUCA2	2584
2729	GCLC	922
4800	NFYA	3895
90529	STPG1	1399
57185	NIPAL3	3901
81887	LAS1L	3850
22875	ENPP4	1636
6405	SEMA3F	29933
1080	CFTR	177
54467	ANKIB1	16131
1595	CYP51A1	786
889	KRIT1	844
5893	RAD52	547
572	BAD	329
51056	LAP3	3489
4267	CD99	5209
9957	HS3ST1	218
26	AOC1	37
23072	HECW1	26
8379	MAD1L1	13
3927	LASP1	14135
29916	SNX11	1334
55365	TMEM176A	1646
4074	M6PR	3264
90293	KLHL13	9073
56603	CYP26B1	905
3382	ICA1	99
79007	DBNDD1	1089
57679	ALS2	4125
843	CASP10	242
8837	CFLAR	5675
7035	TFPI	610
55471	NDUFAF7	1053
10181	RBM5	6376
9108	MTMR7	286
6542	SLC7A2	498
381	ARF5	4815
23098	SARM1	673
26073	POLDIP2	6955
23129	PLXND1	7938
204	AK2	7379
952	CD38	177
2288	FKBP4	7535
23028	KDM1A	23571
10180	RBM6	4815
84254	CAMKK1	282
5965	RECQL	1554
55610	VPS50	2618
126393	HSPB6	225
115703	ARHGAP33	2342
4706	NDUFAB1	4562
5166	PDK4	6923
85413	SLC22A16	40
51364	ZMYND10	92
340273	ABCB5	2
10165	SLC25A13	5147
7982	ST7	1536
996	CDC27	8000
6521	SLC4A1	20
799	CALCR	77
3052	HCCS	1541
1856	DVL2	6713
64063	PRSS22	7
5976	UPF1	11851
8935	SKAP2	3225
292	SLC25A5	7774
55013	MCUB	449
3207	HOXA11	8856
5439	POLR2J	3234
56919	DHX33	3172
4222	MEOX1	16260
221981	THSD7A	312
3980	LIG3	5739
79657	RPAP3	3626
6296	ACSM3	920
81691	REXO5	342
57019	CIAPIN1	2509
56928	SPPL2B	3751
80256	FAM214B	2033
51226	COPZ2	255
5577	PRKAR2B	5058
10943	MSL3	3019
1387	CREBBP	32548
9256	TSPOAP1	2585
4353	MPO	32
5444	PON1	44
6936	GCFC2	3355
84058	WDR54	4473
54677	CROT	4114
5244	ABCB4	1183
55904	KMT2E	19478
57414	RHBDD2	15656
30812	SOX8	605
25998	IBTK	6113
7748	ZNF195	3387
23077	MYCBP2	3803
26224	FBXL3	3572
3683	ITGAL	216
5164	PDK2	4622
3675	ITGA3	3875
7543	ZFX	6805
3920	LAMP2	11228
3674	ITGA2B	98
51666	ASB4	1333
51573	GDE1	6657
55049	REX1BD	1205
9244	CRLF1	104
114881	OSBPL7	562
26022	TMEM98	11086
51087	YBX2	907
9020	MAP3K14	1704
6833	ABCC8	10122
54972	TMEM132A	7579
163	AP2B1	26329
6863	TAC1	24
10127	ZNF263	2308
6376	CX3CL1	608
64847	SPATA20	2408
8913	CACNA1G	1011
51330	TNFRSF12A	518
1750	DLX6	8
4293	MAP3K9	892
5898	RALA	6882
55971	BAIAP2L1	815
80853	KDM7A	1753
2115	ETV1	20938
55750	AGK	3149
221	ALDH3B1	127
55001	TTC22	8
57157	PHTF2	5439
10344	CCL26	15
9855	FARP2	4077
10083	USH1C	505
79017	GGCT	853
10926	DBF4	1750
6915	TBXA2R	210
3475	IFRD1	816
56891	LGALS14	76
