Entrezgene	gene_name	expression
7105	TSPAN6	17091
64102	TNMD	8
8813	DPM1	4785
57147	SCYL3	1251
55732	C1orf112	2156
2268	FGR	92
3075	CFH	406
2519	FUCA2	3749
2729	GCLC	1983
4800	NFYA	3909
90529	STPG1	1605
57185	NIPAL3	2213
81887	LAS1L	4943
22875	ENPP4	1929
6405	SEMA3F	18631
1080	CFTR	112
54467	ANKIB1	4972
1595	CYP51A1	208
889	KRIT1	943
5893	RAD52	915
572	BAD	887
51056	LAP3	5128
4267	CD99	7814
9957	HS3ST1	369
26	AOC1	2176
51384	WNT16	6
23072	HECW1	62
8379	MAD1L1	22
3927	LASP1	9919
29916	SNX11	1255
55365	TMEM176A	15853
4074	M6PR	3856
90293	KLHL13	3683
56603	CYP26B1	891
3382	ICA1	698
79007	DBNDD1	2586
57679	ALS2	1871
843	CASP10	176
8837	CFLAR	2734
7035	TFPI	1922
55471	NDUFAF7	794
10181	RBM5	4604
9108	MTMR7	435
6542	SLC7A2	6306
381	ARF5	7349
23098	SARM1	1072
26073	POLDIP2	10136
23129	PLXND1	5686
204	AK2	11682
952	CD38	188
2288	FKBP4	10759
23028	KDM1A	38054
10180	RBM6	5173
84254	CAMKK1	325
5965	RECQL	1653
55610	VPS50	2603
126393	HSPB6	467
115703	ARHGAP33	4490
4706	NDUFAB1	6850
5166	PDK4	2132
85413	SLC22A16	13
51364	ZMYND10	121
340273	ABCB5	8
170302	ARX	1
10165	SLC25A13	6056
7982	ST7	3169
996	CDC27	7140
6521	SLC4A1	10
799	CALCR	52
3052	HCCS	2038
1856	DVL2	5390
64063	PRSS22	47
5976	UPF1	10299
8935	SKAP2	1196
292	SLC25A5	24470
55013	MCUB	466
3207	HOXA11	2479
5439	POLR2J	5756
56919	DHX33	2636
4222	MEOX1	2276
221981	THSD7A	2658
3980	LIG3	5527
79657	RPAP3	5745
6296	ACSM3	2965
81691	REXO5	1214
57019	CIAPIN1	3905
56928	SPPL2B	4141
80256	FAM214B	989
51226	COPZ2	242
5577	PRKAR2B	8989
10943	MSL3	3621
1387	CREBBP	15838
9256	TSPOAP1	2645
4353	MPO	164
5444	PON1	36
6936	GCFC2	2660
84058	WDR54	2019
54677	CROT	1231
5244	ABCB4	1140
55904	KMT2E	13300
57414	RHBDD2	19397
30812	SOX8	276
25998	IBTK	7029
7748	ZNF195	4777
23077	MYCBP2	5204
26224	FBXL3	4257
