Entrezgene	gene_name	expression
7105	TSPAN6	10530
64102	TNMD	56
8813	DPM1	3403
57147	SCYL3	870
55732	C1orf112	554
2268	FGR	78
3075	CFH	495
2519	FUCA2	4514
2729	GCLC	1049
4800	NFYA	3613
90529	STPG1	1203
57185	NIPAL3	1183
81887	LAS1L	3615
22875	ENPP4	1085
6405	SEMA3F	11737
1080	CFTR	59
54467	ANKIB1	4872
1595	CYP51A1	25
889	KRIT1	1269
5893	RAD52	535
572	BAD	1035
51056	LAP3	2011
4267	CD99	12780
9957	HS3ST1	593
26	AOC1	172
51384	WNT16	9
23072	HECW1	21
8379	MAD1L1	12
3927	LASP1	5973
29916	SNX11	891
55365	TMEM176A	2632
4074	M6PR	819
90293	KLHL13	1139
56603	CYP26B1	280
3382	ICA1	247
79007	DBNDD1	1734
57679	ALS2	1932
843	CASP10	200
8837	CFLAR	4446
7035	TFPI	528
55471	NDUFAF7	1126
10181	RBM5	3606
9108	MTMR7	527
6542	SLC7A2	2500
381	ARF5	5100
23098	SARM1	329
26073	POLDIP2	4396
23129	PLXND1	2639
204	AK2	8629
952	CD38	129
2288	FKBP4	4165
23028	KDM1A	13098
10180	RBM6	3743
84254	CAMKK1	134
5965	RECQL	267
55610	VPS50	1496
126393	HSPB6	1132
115703	ARHGAP33	4317
4706	NDUFAB1	5380
5166	PDK4	1938
85413	SLC22A16	24
51364	ZMYND10	124
340273	ABCB5	2
170302	ARX	2
10165	SLC25A13	2331
7982	ST7	2557
996	CDC27	6404
6521	SLC4A1	12
799	CALCR	51
3052	HCCS	1312
1856	DVL2	2089
64063	PRSS22	25
5976	UPF1	6713
8935	SKAP2	1986
292	SLC25A5	9324
55013	MCUB	585
3207	HOXA11	10566
5439	POLR2J	6145
56919	DHX33	1633
4222	MEOX1	20079
221981	THSD7A	495
3980	LIG3	1488
79657	RPAP3	4220
6296	ACSM3	820
81691	REXO5	293
57019	CIAPIN1	2105
56928	SPPL2B	5044
80256	FAM214B	1005
51226	COPZ2	554
5577	PRKAR2B	3025
10943	MSL3	3002
1387	CREBBP	15588
9256	TSPOAP1	1630
4353	MPO	30
5444	PON1	87
6936	GCFC2	3319
84058	WDR54	3443
54677	CROT	1425
5244	ABCB4	183
55904	KMT2E	13263
57414	RHBDD2	11083
30812	SOX8	1256
25998	IBTK	4302
7748	ZNF195	3408
23077	MYCBP2	1973
26224	FBXL3	3691
3683	ITGAL	191
5164	PDK2	1298
3675	ITGA3	5664
7543	ZFX	5213
3920	LAMP2	10264
3674	ITGA2B	134
51666	ASB4	9
51573	GDE1	4574
55049	REX1BD	2043
9244	CRLF1	367
114881	OSBPL7	668
26022	TMEM98	8533
51087	YBX2	547
9020	MAP3K14	444
6833	ABCC8	173
