Entrezgene	gene_name	expression
7105	TSPAN6	7119
64102	TNMD	7
8813	DPM1	1928
57147	SCYL3	1078
55732	C1orf112	462
2268	FGR	136
3075	CFH	5513
2519	FUCA2	2421
2729	GCLC	1098
4800	NFYA	2285
90529	STPG1	1219
57185	NIPAL3	3090
81887	LAS1L	2690
22875	ENPP4	1559
6405	SEMA3F	18926
1080	CFTR	191
54467	ANKIB1	5418
1595	CYP51A1	170
889	KRIT1	678
5893	RAD52	824
572	BAD	560
51056	LAP3	6794
4267	CD99	4073
9957	HS3ST1	309
26	AOC1	780
51384	WNT16	6
23072	HECW1	54
8379	MAD1L1	7
3927	LASP1	9865
29916	SNX11	1203
55365	TMEM176A	2488
4074	M6PR	1721
90293	KLHL13	1046
56603	CYP26B1	331
3382	ICA1	478
79007	DBNDD1	1796
57679	ALS2	2680
843	CASP10	541
8837	CFLAR	7284
7035	TFPI	1021
55471	NDUFAF7	753
10181	RBM5	5729
9108	MTMR7	260
6542	SLC7A2	1434
381	ARF5	3754
23098	SARM1	419
26073	POLDIP2	5251
23129	PLXND1	8566
204	AK2	6920
952	CD38	301
2288	FKBP4	4414
23028	KDM1A	9883
10180	RBM6	3429
84254	CAMKK1	157
5965	RECQL	828
55610	VPS50	2149
126393	HSPB6	101
115703	ARHGAP33	1486
4706	NDUFAB1	3193
5166	PDK4	6482
85413	SLC22A16	10
51364	ZMYND10	120
170302	ARX	1
10165	SLC25A13	1460
7982	ST7	1274
996	CDC27	4256
6521	SLC4A1	1
799	CALCR	24
3052	HCCS	1376
1856	DVL2	4803
64063	PRSS22	3
5976	UPF1	9592
8935	SKAP2	673
292	SLC25A5	8285
55013	MCUB	773
3207	HOXA11	1331
5439	POLR2J	1439
56919	DHX33	1979
4222	MEOX1	15850
221981	THSD7A	2349
3980	LIG3	4060
79657	RPAP3	2666
6296	ACSM3	1345
81691	REXO5	203
57019	CIAPIN1	2480
56928	SPPL2B	2940
80256	FAM214B	803
51226	COPZ2	611
5577	PRKAR2B	6732
10943	MSL3	2946
1387	CREBBP	21994
9256	TSPOAP1	1833
4353	MPO	17
5444	PON1	636
6936	GCFC2	2125
84058	WDR54	1117
54677	CROT	1558
5244	ABCB4	243
55904	KMT2E	15379
57414	RHBDD2	8329
30812	SOX8	13
25998	IBTK	5569
7748	ZNF195	3020
23077	MYCBP2	3192
26224	FBXL3	6170
3683	ITGAL	347
5164	PDK2	3124
3675	ITGA3	37228
7543	ZFX	6624
3920	LAMP2	12560
3674	ITGA2B	35
51666	ASB4	8
51573	GDE1	4003
55049	REX1BD	1210
9244	CRLF1	39
114881	OSBPL7	887
26022	TMEM98	7761
51087	YBX2	373
9020	MAP3K14	523
6833	ABCC8	79
10368	CACNG3	2
54972	TMEM132A	9530
163	AP2B1	18489
6863	TAC1	2
10127	ZNF263	1844
6376	CX3CL1	3509
64847	SPATA20	3996
8913	CACNA1G	499
51330	TNFRSF12A	714
1750	DLX6	10
4293	MAP3K9	697
5898	RALA	4067
55971	BAIAP2L1	1396
80853	KDM7A	2762
2115	ETV1	2805
55750	AGK	2295
221	ALDH3B1	379
55001	TTC22	88
57157	PHTF2	2342
10344	CCL26	3
9855	FARP2	3981
10083	USH1C	408
79017	GGCT	507
10926	DBF4	1232
6915	TBXA2R	427
3475	IFRD1	483
56891	LGALS14	2
1352	COX10	1687
9569	GTF2IRD1	4678
54623	PAF1	3529
27072	VPS41	4893
9912	ARHGAP44	1010
60528	ELAC2	4622
85477	SCIN	2342
414	ARSD	5113
8228	PNPLA4	2207
8735	MYH13	98
79602	ADIPOR2	4098
51265	CDKL3	69
151531	UPP2	94
10942	PRSS21	3
57787	MARK4	4994
8842	PROM1	452
115098	CCDC124	2147
90273	CEACAM21	21
5048	PAFAH1B1	9311
4843	NOS2	237
1770	DNAH9	411
9703	KIAA0100	6578
9058	SLC13A2	51
8522	GAS7	13337
79090	TRAPPC6A	829
4145	MATK	46
974	CD79B	21
6329	SCN4A	165
54879	ST7L	776
8277	TKTL1	31
5080	PAX6	4
113000	RPUSD1	861
64285	RHBDF1	1818
55692	LUC7L	3196
9254	CACNA2D2	5365
8938	BAIAP3	230
115939	TSR3	1440
9091	PIGQ	2470
57585	CRAMP1	1204
7005	TEAD3	3394
6401	SELE	22
55735	DNAJC11	2735
2328	FMO3	33
29116	MYLIP	4368
27035	NOX1	85
1870	E2F2	924
5689	PSMB1	6995
6853	SYN1	1153
3720	JARID2	9847
6792	CDKL5	2464
57172	CAMK1G	1118
728642	CDK11A	39
65220	NADK	1908
7021	TFAP2B	1166
9940	DLEC1	41
9265	CYTH3	3319
53616	ADAM22	3636
6856	SYPL1	7567
1534	CYB561	2381
9043	SPAG9	6962
1951	CELSR3	90
10157	AASS	2179
55200	PLEKHG6	115
51188	SS18L2	530
84954	MPND	501
4257	MGST1	944
1407	CRY1	1524
8993	PGLYRP1	8
4784	NFIX	2586
6482	ST3GAL1	4024
64386	MMP25	25
9235	IL32	881
5310	PKD1	3481
23542	MAPK8IP2	187
9862	MED24	6848
23221	RHOBTB2	1192
54497	HEATR5B	2027
7095	SEC62	17348
6224	RPS20	35186
7812	CSDE1	40107
9690	UBE3C	4682
5980	REV3L	7119
10178	TENM1	447
10747	MASP2	147
389434	IYD	33
199870	FAM76A	941
80342	TRAF3IP3	58
29954	POMT2	2214
51534	VTA1	4064
51085	MLXIPL	820
9031	BAZ1B	10862
10048	RANBP9	3355
51513	ETV7	136
83932	SPRTN	956
51603	EEF1AKNMT	1520
8798	DYRK4	876
7756	ZNF207	12138
7384	UQCRC1	8209
83930	STARD3NL	3578
928	CD9	9512
57467	HHATL	8
9918	NCAPD2	10977
25900	IFFO1	1010
2696	GIPR	19
51533	PHF7	184
56920	SEMA3G	512
11188	NISCH	8602
23166	STAB1	1725
80199	FUZ	602
6540	SLC6A13	655
3423	IDS	391
5646	PRSS3	21
7752	ZNF200	1940
920	CD4	1951
