Entrezgene	gene_name	expression
7105	TSPAN6	19717
64102	TNMD	8
8813	DPM1	2954
57147	SCYL3	1038
55732	C1orf112	1524
2268	FGR	81
3075	CFH	609
2519	FUCA2	1806
2729	GCLC	711
4800	NFYA	3258
90529	STPG1	511
57185	NIPAL3	447
81887	LAS1L	4130
22875	ENPP4	938
6405	SEMA3F	19557
1080	CFTR	25
54467	ANKIB1	3319
1595	CYP51A1	223
889	KRIT1	768
5893	RAD52	1225
572	BAD	438
51056	LAP3	2814
4267	CD99	2195
9957	HS3ST1	341
26	AOC1	54
51384	WNT16	12
23072	HECW1	67
8379	MAD1L1	39
3927	LASP1	4269
29916	SNX11	592
55365	TMEM176A	732
4074	M6PR	2907
90293	KLHL13	1001
56603	CYP26B1	2283
3382	ICA1	232
79007	DBNDD1	1223
57679	ALS2	1541
843	CASP10	134
8837	CFLAR	1989
7035	TFPI	788
55471	NDUFAF7	537
10181	RBM5	6640
9108	MTMR7	492
6542	SLC7A2	3012
381	ARF5	3673
23098	SARM1	533
26073	POLDIP2	4224
23129	PLXND1	4613
204	AK2	6266
952	CD38	300
2288	FKBP4	10830
23028	KDM1A	13709
10180	RBM6	5672
84254	CAMKK1	154
5965	RECQL	1335
55610	VPS50	1733
126393	HSPB6	650
115703	ARHGAP33	4376
4706	NDUFAB1	6271
5166	PDK4	3046
85413	SLC22A16	12
51364	ZMYND10	69
340273	ABCB5	5
170302	ARX	2
10165	SLC25A13	8473
7982	ST7	2048
996	CDC27	4363
6521	SLC4A1	17
799	CALCR	37
3052	HCCS	1371
1856	DVL2	4601
64063	PRSS22	5
5976	UPF1	8199
8935	SKAP2	2505
292	SLC25A5	13079
55013	MCUB	302
3207	HOXA11	6697
5439	POLR2J	4564
56919	DHX33	1834
4222	MEOX1	20789
221981	THSD7A	692
3980	LIG3	3865
79657	RPAP3	4721
6296	ACSM3	129
81691	REXO5	826
57019	CIAPIN1	3174
56928	SPPL2B	3028
80256	FAM214B	442
