Entrezgene	gene_name	expression
7105	TSPAN6	10787
64102	TNMD	10
8813	DPM1	2970
57147	SCYL3	4407
55732	C1orf112	2886
2268	FGR	86
3075	CFH	4911
2519	FUCA2	4539
2729	GCLC	2262
4800	NFYA	9744
90529	STPG1	1919
57185	NIPAL3	3148
81887	LAS1L	4284
22875	ENPP4	3120
6405	SEMA3F	22755
1080	CFTR	5
54467	ANKIB1	9816
1595	CYP51A1	190
889	KRIT1	877
5893	RAD52	1754
572	BAD	190
51056	LAP3	2731
4267	CD99	5476
9957	HS3ST1	104
26	AOC1	250
51384	WNT16	5
23072	HECW1	17
8379	MAD1L1	18
3927	LASP1	14178
29916	SNX11	1128
55365	TMEM176A	2155
4074	M6PR	4365
90293	KLHL13	1671
56603	CYP26B1	1457
3382	ICA1	705
79007	DBNDD1	1471
57679	ALS2	5140
843	CASP10	599
8837	CFLAR	4864
7035	TFPI	1287
55471	NDUFAF7	833
10181	RBM5	8761
9108	MTMR7	685
6542	SLC7A2	2480
381	ARF5	5366
23098	SARM1	819
26073	POLDIP2	5666
23129	PLXND1	8252
204	AK2	7119
952	CD38	317
2288	FKBP4	8406
23028	KDM1A	22790
10180	RBM6	5556
84254	CAMKK1	165
5965	RECQL	1692
55610	VPS50	2680
126393	HSPB6	571
115703	ARHGAP33	1558
4706	NDUFAB1	3911
5166	PDK4	2354
85413	SLC22A16	86
51364	ZMYND10	194
340273	ABCB5	3
170302	ARX	3
10165	SLC25A13	3469
7982	ST7	1909
996	CDC27	8593
6521	SLC4A1	21
799	CALCR	23
3052	HCCS	1142
1856	DVL2	7181
64063	PRSS22	1
5976	UPF1	12663
8935	SKAP2	2271
292	SLC25A5	5899
55013	MCUB	1267
3207	HOXA11	8032
5439	POLR2J	1845
56919	DHX33	4123
4222	MEOX1	23772
221981	THSD7A	1027
3980	LIG3	8082
79657	RPAP3	6230
6296	ACSM3	1386
81691	REXO5	295
57019	CIAPIN1	4015
56928	SPPL2B	4852
80256	FAM214B	535
51226	COPZ2	267
5577	PRKAR2B	1054
10943	MSL3	3239
1387	CREBBP	50747
9256	TSPOAP1	1541
4353	MPO	83
5444	PON1	28
6936	GCFC2	5263
84058	WDR54	2950
54677	CROT	1629
5244	ABCB4	1672
55904	KMT2E	23785
57414	RHBDD2	6051
30812	SOX8	378
25998	IBTK	7062
7748	ZNF195	3009
23077	MYCBP2	5322
26224	FBXL3	6089
3683	ITGAL	154
5164	PDK2	2828
3675	ITGA3	7914
7543	ZFX	6996
3920	LAMP2	13337
3674	ITGA2B	58
51666	ASB4	8
51573	GDE1	4512
55049	REX1BD	1117
9244	CRLF1	304
114881	OSBPL7	584
26022	TMEM98	13420
51087	YBX2	551
9020	MAP3K14	1188
6833	ABCC8	529
54972	TMEM132A	8894
163	AP2B1	29788
6863	TAC1	60
10127	ZNF263	2933
6376	CX3CL1	1184
64847	SPATA20	2934
8913	CACNA1G	2597
51330	TNFRSF12A	459
1750	DLX6	16
4293	MAP3K9	2191
5898	RALA	8308
55971	BAIAP2L1	2004
80853	KDM7A	3842
2115	ETV1	15827
55750	AGK	3152
221	ALDH3B1	59
55001	TTC22	6
57157	PHTF2	4664
10344	CCL26	8
9855	FARP2	5388
10083	USH1C	239
79017	GGCT	776
10926	DBF4	1835
6915	TBXA2R	154
3475	IFRD1	840
56891	LGALS14	5
1352	COX10	2121
9569	GTF2IRD1	10792
54623	PAF1	3737
27072	VPS41	9121
9912	ARHGAP44	1973
60528	ELAC2	6510
85477	SCIN	27
414	ARSD	5660
8228	PNPLA4	1007
8735	MYH13	114
79602	ADIPOR2	7476
51265	CDKL3	164
151531	UPP2	19
10942	PRSS21	3
57787	MARK4	7560
8842	PROM1	1128
115098	CCDC124	2078
90273	CEACAM21	11
5048	PAFAH1B1	14845
4843	NOS2	175
1770	DNAH9	1320
9703	KIAA0100	15267
9058	SLC13A2	9
8522	GAS7	5995
79090	TRAPPC6A	655
4145	MATK	437
1087	CEACAM7	1
974	CD79B	29
6329	SCN4A	199
54879	ST7L	1206
8277	TKTL1	59
5080	PAX6	4
113000	RPUSD1	806
64285	RHBDF1	1853
55692	LUC7L	4477
9254	CACNA2D2	3702
8938	BAIAP3	5012
115939	TSR3	1437
9091	PIGQ	3559
57585	CRAMP1	2307
7005	TEAD3	3418
6401	SELE	8
55735	DNAJC11	2612
2328	FMO3	6
29116	MYLIP	7592
27035	NOX1	114
1870	E2F2	1740
5689	PSMB1	12611
6853	SYN1	112
3720	JARID2	15276
6792	CDKL5	1117
57172	CAMK1G	1433
728642	CDK11A	58
65220	NADK	4127
7021	TFAP2B	71
9940	DLEC1	172
9265	CYTH3	5450
53616	ADAM22	3484
6856	SYPL1	6114
1534	CYB561	1684
9043	SPAG9	12440
1951	CELSR3	159
10157	AASS	4650
55200	PLEKHG6	187
51188	SS18L2	690
84954	MPND	302
4257	MGST1	2975
1407	CRY1	5697
8993	PGLYRP1	3
4784	NFIX	8205
6482	ST3GAL1	3625
