Entrezgene	gene_name	expression
7105	TSPAN6	11032
64102	TNMD	9
8813	DPM1	4277
57147	SCYL3	1377
55732	C1orf112	1857
2268	FGR	37
3075	CFH	1010
2519	FUCA2	3026
2729	GCLC	1614
4800	NFYA	7417
90529	STPG1	587
57185	NIPAL3	760
81887	LAS1L	3372
22875	ENPP4	1085
6405	SEMA3F	14249
1080	CFTR	5
54467	ANKIB1	4568
1595	CYP51A1	50
889	KRIT1	930
5893	RAD52	618
572	BAD	388
51056	LAP3	3544
4267	CD99	6051
9957	HS3ST1	281
26	AOC1	16
51384	WNT16	3
23072	HECW1	19
8379	MAD1L1	13
3927	LASP1	6684
29916	SNX11	999
55365	TMEM176A	743
4074	M6PR	924
90293	KLHL13	283
56603	CYP26B1	266
3382	ICA1	117
79007	DBNDD1	1566
57679	ALS2	2222
843	CASP10	249
8837	CFLAR	2697
7035	TFPI	1490
55471	NDUFAF7	856
10181	RBM5	6429
9108	MTMR7	445
6542	SLC7A2	2859
381	ARF5	3456
23098	SARM1	618
26073	POLDIP2	4484
23129	PLXND1	3804
204	AK2	5960
952	CD38	69
2288	FKBP4	7235
23028	KDM1A	14808
10180	RBM6	6083
84254	CAMKK1	127
5965	RECQL	782
55610	VPS50	1770
126393	HSPB6	146
115703	ARHGAP33	2484
4706	NDUFAB1	5607
5166	PDK4	1432
85413	SLC22A16	27
51364	ZMYND10	90
340273	ABCB5	4
10165	SLC25A13	2794
7982	ST7	1221
996	CDC27	6103
6521	SLC4A1	15
799	CALCR	4
3052	HCCS	1093
1856	DVL2	2309
64063	PRSS22	1
5976	UPF1	7535
8935	SKAP2	1162
292	SLC25A5	7888
55013	MCUB	498
3207	HOXA11	6939
5439	POLR2J	3234
56919	DHX33	1919
4222	MEOX1	26959
221981	THSD7A	408
3980	LIG3	5143
79657	RPAP3	3710
6296	ACSM3	320
81691	REXO5	511
57019	CIAPIN1	2066
56928	SPPL2B	2497
80256	FAM214B	1173
51226	COPZ2	194
5577	PRKAR2B	2181
10943	MSL3	3479
1387	CREBBP	24967
9256	TSPOAP1	1908
4353	MPO	33
5444	PON1	24
6936	GCFC2	3412
84058	WDR54	2908
54677	CROT	880
5244	ABCB4	116
55904	KMT2E	13272
57414	RHBDD2	9046
30812	SOX8	1497
25998	IBTK	4665
7748	ZNF195	5331
23077	MYCBP2	2677
26224	FBXL3	3826
3683	ITGAL	93
5164	PDK2	2139
3675	ITGA3	1579
7543	ZFX	4787
3920	LAMP2	6293
3674	ITGA2B	124
51666	ASB4	9
51573	GDE1	3792
55049	REX1BD	642
9244	CRLF1	297
114881	OSBPL7	331
26022	TMEM98	10284
51087	YBX2	534
3883	KRT33A	3
9020	MAP3K14	459
6833	ABCC8	428
54972	TMEM132A	7223
163	AP2B1	16976
6863	TAC1	29
10127	ZNF263	1866
6376	CX3CL1	124
64847	SPATA20	725
8913	CACNA1G	293
51330	TNFRSF12A	507
1750	DLX6	10
4293	MAP3K9	2122
5898	RALA	5263
55971	BAIAP2L1	1889
80853	KDM7A	1978
2115	ETV1	10618
55750	AGK	3110
221	ALDH3B1	71
55001	TTC22	1
57157	PHTF2	3235
10344	CCL26	8
9855	FARP2	3353
10083	USH1C	59
79017	GGCT	1110
10926	DBF4	3229
6915	TBXA2R	128
3475	IFRD1	978
56891	LGALS14	28
1352	COX10	744
9569	GTF2IRD1	6236
54623	PAF1	3343
27072	VPS41	3861
9912	ARHGAP44	420
60528	ELAC2	2649
85477	SCIN	54
414	ARSD	3155
8228	PNPLA4	810
8735	MYH13	12
79602	ADIPOR2	4516
51265	CDKL3	86
151531	UPP2	15
57787	MARK4	4771
8842	PROM1	6176
115098	CCDC124	3078
90273	CEACAM21	20
5048	PAFAH1B1	5444
4843	NOS2	109
1770	DNAH9	144
9703	KIAA0100	9347
9058	SLC13A2	1
8522	GAS7	1632
79090	TRAPPC6A	506
4145	MATK	19
1087	CEACAM7	1
974	CD79B	16
6329	SCN4A	154
54879	ST7L	828
8277	TKTL1	38
5080	PAX6	4
113000	RPUSD1	1187
64285	RHBDF1	588
55692	LUC7L	4713
9254	CACNA2D2	2934
8938	BAIAP3	676
115939	TSR3	1344
9091	PIGQ	2992
57585	CRAMP1	2556
7005	TEAD3	3865
6401	SELE	2
55735	DNAJC11	1200
2328	FMO3	31
29116	MYLIP	7348
27035	NOX1	244
1870	E2F2	1451
5689	PSMB1	11263
6853	SYN1	112
3720	JARID2	7688
6792	CDKL5	872
57172	CAMK1G	348
728642	CDK11A	50
65220	NADK	2028
7021	TFAP2B	1
9940	DLEC1	23
9265	CYTH3	2059
53616	ADAM22	1376
6856	SYPL1	5992
1534	CYB561	1066
9043	SPAG9	8698
1951	CELSR3	415
10157	AASS	2201
55200	PLEKHG6	102
51188	SS18L2	1627
84954	MPND	432
4257	MGST1	829
1407	CRY1	2306
8993	PGLYRP1	4
4784	NFIX	827
6482	ST3GAL1	2202
64386	MMP25	21
9235	IL32	723
5310	PKD1	3724
23542	MAPK8IP2	1452
9862	MED24	9328
23221	RHOBTB2	1170
54497	HEATR5B	1966
7095	SEC62	13210
6224	RPS20	148818
7812	CSDE1	43146
