Entrezgene	gene_name	expression
7105	TSPAN6	11150
64102	TNMD	6
8813	DPM1	4003
57147	SCYL3	2388
55732	C1orf112	2996
2268	FGR	45
3075	CFH	639
2519	FUCA2	3430
2729	GCLC	1537
4800	NFYA	5386
90529	STPG1	813
57185	NIPAL3	1047
81887	LAS1L	3002
22875	ENPP4	1364
6405	SEMA3F	10977
1080	CFTR	46
54467	ANKIB1	4929
1595	CYP51A1	233
889	KRIT1	687
5893	RAD52	1040
572	BAD	352
51056	LAP3	2550
4267	CD99	7562
9957	HS3ST1	119
26	AOC1	44
51384	WNT16	1
23072	HECW1	23
8379	MAD1L1	12
3927	LASP1	6972
29916	SNX11	1027
55365	TMEM176A	687
4074	M6PR	2707
90293	KLHL13	510
56603	CYP26B1	3216
3382	ICA1	227
79007	DBNDD1	1621
57679	ALS2	3620
843	CASP10	107
8837	CFLAR	3337
7035	TFPI	723
55471	NDUFAF7	894
10181	RBM5	5553
9108	MTMR7	690
6542	SLC7A2	9201
381	ARF5	3947
23098	SARM1	640
26073	POLDIP2	5488
23129	PLXND1	4275
204	AK2	7227
952	CD38	160
2288	FKBP4	5609
23028	KDM1A	20986
10180	RBM6	4675
84254	CAMKK1	264
5965	RECQL	1724
55610	VPS50	1868
126393	HSPB6	259
115703	ARHGAP33	5192
4706	NDUFAB1	4209
5166	PDK4	2365
85413	SLC22A16	11
51364	ZMYND10	59
340273	ABCB5	2
10165	SLC25A13	4405
7982	ST7	1359
996	CDC27	7568
6521	SLC4A1	26
799	CALCR	2
3052	HCCS	1167
1856	DVL2	6405
64063	PRSS22	7
5976	UPF1	8723
8935	SKAP2	2056
292	SLC25A5	8043
55013	MCUB	984
3207	HOXA11	9508
5439	POLR2J	2009
56919	DHX33	2704
4222	MEOX1	18255
221981	THSD7A	663
3980	LIG3	6145
79657	RPAP3	5725
6296	ACSM3	845
81691	REXO5	409
57019	CIAPIN1	4513
56928	SPPL2B	2921
80256	FAM214B	1227
51226	COPZ2	118
5577	PRKAR2B	3366
10943	MSL3	3216
1387	CREBBP	30839
9256	TSPOAP1	2390
4353	MPO	50
5444	PON1	42
6936	GCFC2	2233
84058	WDR54	3036
54677	CROT	965
5244	ABCB4	231
55904	KMT2E	15867
57414	RHBDD2	6488
30812	SOX8	1817
25998	IBTK	6537
7748	ZNF195	4178
23077	MYCBP2	3628
26224	FBXL3	4056
3683	ITGAL	87
5164	PDK2	3179
3675	ITGA3	3159
7543	ZFX	3904
3920	LAMP2	7262
3674	ITGA2B	62
51666	ASB4	12
51573	GDE1	4149
55049	REX1BD	1187
9244	CRLF1	453
114881	OSBPL7	653
26022	TMEM98	8975
51087	YBX2	859
3883	KRT33A	1
9020	MAP3K14	560
6833	ABCC8	442
54972	TMEM132A	15330
163	AP2B1	20689
6863	TAC1	21
10127	ZNF263	2324
6376	CX3CL1	452
64847	SPATA20	2002
8913	CACNA1G	1711
51330	TNFRSF12A	567
1750	DLX6	4
4293	MAP3K9	2354
5898	RALA	6407
55971	BAIAP2L1	3336
80853	KDM7A	2211
2115	ETV1	6249
55750	AGK	2464
221	ALDH3B1	81
57157	PHTF2	4566
10344	CCL26	1
9855	FARP2	4120
10083	USH1C	40
79017	GGCT	880
10926	DBF4	2834
6915	TBXA2R	115
3475	IFRD1	553
56891	LGALS14	26
1352	COX10	2058
9569	GTF2IRD1	8587
54623	PAF1	3513
27072	VPS41	6456
9912	ARHGAP44	795
60528	ELAC2	5650
85477	SCIN	39
414	ARSD	2272
8228	PNPLA4	796
8735	MYH13	13
79602	ADIPOR2	8744
51265	CDKL3	76
151531	UPP2	47
10942	PRSS21	1
57787	MARK4	6209
8842	PROM1	780
115098	CCDC124	2221
90273	CEACAM21	15
5048	PAFAH1B1	11539
4843	NOS2	222
1770	DNAH9	571
9703	KIAA0100	10040
8522	GAS7	6120
79090	TRAPPC6A	506
4145	MATK	35
974	CD79B	24
6329	SCN4A	87
54879	ST7L	1116
8277	TKTL1	7
5080	PAX6	4
113000	RPUSD1	1364
64285	RHBDF1	966
55692	LUC7L	3498
9254	CACNA2D2	2533
8938	BAIAP3	1169
115939	TSR3	1481
9091	PIGQ	3027
57585	CRAMP1	2225
7005	TEAD3	4072
6401	SELE	4
55735	DNAJC11	1976
2328	FMO3	12
29116	MYLIP	4838
27035	NOX1	101
1870	E2F2	2297
5689	PSMB1	10525
6853	SYN1	89
3720	JARID2	13025
6792	CDKL5	1286
57172	CAMK1G	351
728642	CDK11A	36
65220	NADK	2414
9940	DLEC1	23
9265	CYTH3	3648
53616	ADAM22	1273
6856	SYPL1	8741
1534	CYB561	1204
9043	SPAG9	7943
1951	CELSR3	362
10157	AASS	2887
55200	PLEKHG6	471
51188	SS18L2	971
84954	MPND	263
4257	MGST1	1049
1407	CRY1	3553
8993	PGLYRP1	7
4784	NFIX	691
6482	ST3GAL1	3384
64386	MMP25	31
9235	IL32	653
5310	PKD1	5153
23542	MAPK8IP2	628
9862	MED24	9714
23221	RHOBTB2	1465
54497	HEATR5B	2692
7095	SEC62	11394
6224	RPS20	50305
7812	CSDE1	71889
9690	UBE3C	4377
5980	REV3L	11515
10178	TENM1	49
10747	MASP2	161
389434	IYD	1
199870	FAM76A	1020
80342	TRAF3IP3	15
29954	POMT2	3314
51534	VTA1	8646
51085	MLXIPL	1791
9031	BAZ1B	16039
10048	RANBP9	7674
51513	ETV7	25
83932	SPRTN	1097
51603	EEF1AKNMT	4861
8798	DYRK4	1483
7756	ZNF207	18530
7384	UQCRC1	7880
83930	STARD3NL	4276
928	CD9	7280
57467	HHATL	39
9918	NCAPD2	37001
25900	IFFO1	1101
2696	GIPR	14
51533	PHF7	186
56920	SEMA3G	456
11188	NISCH	11926
23166	STAB1	818
80199	FUZ	403
6540	SLC6A13	256
3423	IDS	339
5646	PRSS3	28
7752	ZNF200	1411
920	CD4	1387
10233	LRRC23	594
695	BTK	41
3077	HFE	73
22955	SCMH1	3076
2534	FYN	11135
3097	HIVEP2	1583
2326	FMO1	28
6924	ELOA	5331
11313	LYPLA2	5582
1185	CLCN6	2682
9902	MRC2	5988
10867	TSPAN9	3931
55727	BTBD7	7168
9546	APBA3	685
54903	MKS1	1950
51099	ABHD5	2556
3730	ANOS1	724
26993	AKAP8L	2618
54799	MBTD1	6647
51096	UTP18	3681
54476	RNF216	6512
54902	TTC19	5210
5725	PTBP1	57118
8193	DPF1	696
9066	SYT7	1667
23395	LARS2	2892
5286	PIK3C2A	7729
5329	PLAUR	665
54443	ANLN	6516
58525	WIZ	11461
23637	RABGAP1	8914
1634	DCN	8521
54814	QPCTL	428
5536	PPP5C	3806
23177	CEP68	3624
8491	MAP4K3	7439
27033	ZBTB32	23
7305	TYROBP	769
57146	TMEM159	292
2556	GABRA3	34
672	BRCA1	4682
2067	ERCC1	1969
933	CD22	2001
7869	SEMA3B	1155
51360	MBTPS2	3823
4007	PRICKLE3	157
4057	LTF	17
2137	EXTL3	7693
60481	ELOVL5	10675
240	ALOX5	115
8284	KDM5D	6564
57658	CALCOCO1	5275
55148	UBR7	4265
11183	MAP4K5	4057
30845	EHD3	809
5704	PSMC4	5265
23324	MAN2B2	1169
57709	SLC7A14	7
5010	CLDN11	54
51629	SLC25A39	7618
9961	MVP	574
51667	NUB1	4460
5238	PGM3	3609
112611	RWDD2A	689
1195	CLK1	4279
55703	POLR3B	2392
23357	ANGEL1	2720
9604	RNF14	3117
1774	DNASE1L1	216
1663	DDX11	4408
50865	HEBP1	2574
9052	GPRC5A	329
10046	MAMLD1	221
923	CD6	123
10460	TACC3	7960
23376	UFL1	6077
23649	POLA2	662
23144	ZC3H3	4011
823	CAPN1	7480
55	ACP3	11
4190	MDH1	8983
10463	SLC30A9	9597
10903	MTMR11	1730
1355	COX15	3031
440193	CCDC88C	22579
10138	YAF2	4465
10771	ZMYND11	6384
7454	WAS	259
1800	DPEP1	1776
637	BID	1036
9782	MATR3	660
29881	NPC1L1	8
64132	XYLT2	2518
84220	RGPD5	16
81551	STMN4	155
23386	NUDCD3	7089
3670	ISL1	4
55349	CHDH	447
53832	IL20RA	1447
55830	GLT8D1	4440
27032	ATP2C1	12850
3479	IGF1	40
92745	SLC38A5	17
10928	RALBP1	5850
22902	RUFY3	2945
1272	CNTN1	109
6556	SLC11A1	34
25937	WWTR1	7827
8540	AGPS	2933
63932	CXorf56	1006
477	ATP1A2	247
55622	TTC27	1627
147948	ZNF582	319
23584	VSIG2	43
23187	PHLDB1	3078
8685	MARCO	4
1591	CYP24A1	2
56981	PRDM11	2853
57586	SYT13	569
6591	SNAI2	5370
972	CD74	19414
3082	HGF	70
54764	ZRANB1	2742
23154	NCDN	2001
25960	ADGRA2	3431
55734	ZFP64	4641
4331	MNAT1	1137
23034	SAMD4A	184
864	RUNX3	95
4361	MRE11	3545
58473	PLEKHB1	2131
1992	SERPINB1	1763
64816	CYP3A43	6
11136	SLC7A9	30
6683	SPAST	6019
9369	NRXN3	2922
114879	OSBPL5	1021
9716	AQR	8435
1373	CPS1	246
2273	FHL1	3974
51507	RTF2	4498
55655	NLRP2	642
57210	SLC45A4	2296
9921	RNF10	15938
55778	ZNF839	506
64429	ZDHHC6	2061
57476	GRAMD1B	2326
6050	RNH1	3777
4719	NDUFS1	6368
9821	RB1CC1	7684
23071	ERP44	5522
211	ALAS1	2492
330	BIRC3	39
11215	AKAP11	5958
51022	GLRX2	1435
6617	SNAPC1	1313
51071	DERA	2798
11171	STRAP	23490
1244	ABCC2	34
50619	DEF6	430
51177	PLEKHO1	18648
2730	GCLM	1239
23304	UBR2	5669
30846	EHD2	1515
55635	DEPDC1	2898
25901	CCDC28A	1604
58528	RRAGD	4073
3298	HSF2	6400
51230	PHF20	7084
8630	HSD17B6	47
10062	NR1H3	248
1890	TYMP	159
29781	NCAPH2	3286
10953	TOMM34	9497
11231	SEC63	13304
23633	KPNA6	10340
7431	VIM	25277
355	FAS	1760
8635	RNASET2	695
960	CD44	376
3755	KCNG1	2196
56895	AGPAT4	3675
57823	SLAMF7	54
11119	BTN3A1	727
4285	MIPEP	1288
5583	PRKCH	232
3645	INSRR	57
3459	IFNGR1	4055
11285	B4GALT7	1228
9047	SH2D2A	515
7444	VRK2	526
7133	TNFRSF1B	846
55591	VEZT	9585
5452	POU2F2	170
65980	BRD9	2818
6642	SNX1	6057
9519	TBPL1	2205
56938	ARNTL2	947
9774	BCLAF1	32900
55334	SLC39A9	9152
286	ANK1	123
3381	IBSP	22
51106	TFB1M	909
9135	RABEP1	5724
3149	HMGB3	9616
23279	NUP160	16212
578	BAK1	1660
4593	MUSK	5
22807	IKZF2	485
2896	GRN	9462
51306	FAM13B	2388
57514	ARHGAP31	815
55166	CENPQ	1732
6301	SARS1	9011
8498	RANBP3	6871
5926	ARID4A	3723
7260	EIPR1	1589
10908	PNPLA6	3433
8100	IFT88	2312
56052	ALG1	662
55596	ZCCHC8	4101
10061	ABCF2	2122
54480	CHPF2	2997
57554	LRRC7	260
2530	FUT8	912
55236	UBA6	4751
